NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:31:15
DATA_INCLUDED	Angle
DATA_TYPES	LR_Angle

Frame	Time	LR_Angle	
1	0.00000	101.689
2	0.01000	101.704
3	0.02000	101.717
4	0.03000	101.728
5	0.04000	101.737
6	0.05000	101.743
7	0.06000	101.750
8	0.07000	101.753
9	0.08000	101.752
10	0.09000	101.746
11	0.10000	101.746
12	0.11000	101.745
13	0.12000	101.749
14	0.13000	101.755
15	0.14000	101.763
16	0.15000	101.772
17	0.16000	101.781
18	0.17000	101.789
19	0.18000	101.797
20	0.19000	101.804
21	0.20000	101.809
22	0.21000	101.812
23	0.22000	101.814
24	0.23000	101.816
25	0.24000	101.816
26	0.25000	101.817
27	0.26000	101.819
28	0.27000	101.823
29	0.28000	101.828
30	0.29000	101.834
31	0.30000	101.843
32	0.31000	101.850
33	0.32000	101.858
34	0.33000	101.866
35	0.34000	101.872
36	0.35000	101.876
37	0.36000	101.879
38	0.37000	101.882
39	0.38000	101.887
40	0.39000	101.890
41	0.40000	101.893
42	0.41000	101.896
43	0.42000	101.901
44	0.43000	101.903
45	0.44000	101.903
46	0.45000	101.901
47	0.46000	101.897
48	0.47000	101.894
49	0.48000	101.891
50	0.49000	101.887
51	0.50000	101.885
52	0.51000	101.886
53	0.52000	101.891
54	0.53000	101.894
55	0.54000	101.900
56	0.55000	101.904
57	0.56000	101.907
58	0.57000	101.910
59	0.58000	101.910
60	0.59000	101.910
61	0.60000	101.911
62	0.61000	101.913
63	0.62000	101.919
64	0.63000	101.925
65	0.64000	101.934
66	0.65000	101.941
67	0.66000	101.947
68	0.67000	101.951
69	0.68000	101.952
70	0.69000	101.952
71	0.70000	101.950
72	0.71000	101.948
73	0.72000	101.945
74	0.73000	101.943
75	0.74000	101.941
76	0.75000	101.939
77	0.76000	101.939
78	0.77000	101.938
79	0.78000	101.938
80	0.79000	101.938
81	0.80000	101.939
82	0.81000	101.937
83	0.82000	101.934
84	0.83000	101.930
85	0.84000	101.923
86	0.85000	101.916
87	0.86000	101.911
88	0.87000	101.904
89	0.88000	101.899
90	0.89000	101.897
91	0.90000	101.896
92	0.91000	101.895
93	0.92000	101.894
94	0.93000	101.893
95	0.94000	101.891
96	0.95000	101.888
97	0.96000	101.883
98	0.97000	101.877
99	0.98000	101.876
100	0.99000	101.880
101	1.00000	101.891
102	1.01000	101.906
103	1.02000	101.923
104	1.03000	101.946
105	1.04000	101.966
106	1.05000	101.984
107	1.06000	101.998
108	1.07000	102.009
109	1.08000	102.018
110	1.09000	102.026
111	1.10000	102.033
112	1.11000	102.038
113	1.12000	102.041
114	1.13000	102.046
115	1.14000	102.049
116	1.15000	102.052
117	1.16000	102.056
118	1.17000	102.061
119	1.18000	102.063
120	1.19000	102.061
121	1.20000	102.057
122	1.21000	102.047
123	1.22000	102.034
124	1.23000	102.019
125	1.24000	102.001
126	1.25000	101.983
127	1.26000	101.967
128	1.27000	101.947
129	1.28000	101.920
130	1.29000	101.885
131	1.30000	101.842
132	1.31000	101.786
133	1.32000	101.713
134	1.33000	101.629
135	1.34000	101.533
136	1.35000	101.429
137	1.36000	101.316
138	1.37000	101.196
139	1.38000	101.072
140	1.39000	100.942
141	1.40000	100.808
142	1.41000	100.661
143	1.42000	100.498
144	1.43000	100.321
145	1.44000	100.118
146	1.45000	99.881
147	1.46000	99.605
148	1.47000	99.302
149	1.48000	98.982
150	1.49000	98.662
151	1.50000	98.353
152	1.51000	98.064
153	1.52000	97.793
154	1.53000	97.530
155	1.54000	97.262
156	1.55000	96.985
157	1.56000	96.698
158	1.57000	96.402
159	1.58000	96.094
160	1.59000	95.777
161	1.60000	95.455
162	1.61000	95.136
163	1.62000	94.814
164	1.63000	94.488
165	1.64000	94.155
166	1.65000	93.819
167	1.66000	93.474
168	1.67000	93.118
169	1.68000	92.752
170	1.69000	92.386
171	1.70000	92.033
172	1.71000	91.696
173	1.72000	91.369
174	1.73000	91.034
175	1.74000	90.682
176	1.75000	90.314
177	1.76000	89.941
178	1.77000	89.568
179	1.78000	89.197
180	1.79000	88.825
181	1.80000	88.445
182	1.81000	88.048
183	1.82000	87.628
184	1.83000	87.179
185	1.84000	86.707
186	1.85000	86.220
187	1.86000	85.735
188	1.87000	85.264
189	1.88000	84.810
190	1.89000	84.365
191	1.90000	83.938
192	1.91000	83.536
193	1.92000	83.173
194	1.93000	82.849
195	1.94000	82.574
196	1.95000	82.333
197	1.96000	82.129
198	1.97000	81.968
199	1.98000	81.839
200	1.99000	81.728
201	2.00000	81.632
