NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:21
DATA_INCLUDED	Angle
DATA_TYPES	KR_Angle

Frame	Time	KR_Angle	
1	0.00000	166.522
2	0.01000	166.531
3	0.02000	166.540
4	0.03000	166.547
5	0.04000	166.552
6	0.05000	166.556
7	0.06000	166.560
8	0.07000	166.562
9	0.08000	166.562
10	0.09000	166.557
11	0.10000	166.556
12	0.11000	166.555
13	0.12000	166.556
14	0.13000	166.561
15	0.14000	166.567
16	0.15000	166.576
17	0.16000	166.582
18	0.17000	166.590
19	0.18000	166.595
20	0.19000	166.600
21	0.20000	166.602
22	0.21000	166.605
23	0.22000	166.607
24	0.23000	166.607
25	0.24000	166.606
26	0.25000	166.604
27	0.26000	166.600
28	0.27000	166.598
29	0.28000	166.597
30	0.29000	166.597
31	0.30000	166.598
32	0.31000	166.602
33	0.32000	166.607
34	0.33000	166.610
35	0.34000	166.613
36	0.35000	166.614
37	0.36000	166.613
38	0.37000	166.611
39	0.38000	166.606
40	0.39000	166.600
41	0.40000	166.595
42	0.41000	166.592
43	0.42000	166.590
44	0.43000	166.585
45	0.44000	166.578
46	0.45000	166.568
47	0.46000	166.555
48	0.47000	166.544
49	0.48000	166.535
50	0.49000	166.532
51	0.50000	166.535
52	0.51000	166.542
53	0.52000	166.552
54	0.53000	166.560
55	0.54000	166.566
56	0.55000	166.568
57	0.56000	166.568
58	0.57000	166.568
59	0.58000	166.570
60	0.59000	166.574
61	0.60000	166.583
62	0.61000	166.593
63	0.62000	166.608
64	0.63000	166.622
65	0.64000	166.636
66	0.65000	166.648
67	0.66000	166.660
68	0.67000	166.670
69	0.68000	166.675
70	0.69000	166.676
71	0.70000	166.675
72	0.71000	166.670
73	0.72000	166.663
74	0.73000	166.656
75	0.74000	166.652
76	0.75000	166.652
77	0.76000	166.658
78	0.77000	166.665
79	0.78000	166.673
80	0.79000	166.680
81	0.80000	166.682
82	0.81000	166.680
83	0.82000	166.674
84	0.83000	166.664
85	0.84000	166.654
86	0.85000	166.645
87	0.86000	166.640
88	0.87000	166.635
89	0.88000	166.634
90	0.89000	166.634
91	0.90000	166.634
92	0.91000	166.633
93	0.92000	166.632
94	0.93000	166.629
95	0.94000	166.622
96	0.95000	166.611
97	0.96000	166.593
98	0.97000	166.566
99	0.98000	166.534
100	0.99000	166.497
101	1.00000	166.459
102	1.01000	166.423
103	1.02000	166.392
104	1.03000	166.367
105	1.04000	166.345
106	1.05000	166.322
107	1.06000	166.295
108	1.07000	166.262
109	1.08000	166.223
110	1.09000	166.179
111	1.10000	166.133
112	1.11000	166.085
113	1.12000	166.037
114	1.13000	165.988
115	1.14000	165.934
116	1.15000	165.872
117	1.16000	165.810
118	1.17000	165.744
119	1.18000	165.673
120	1.19000	165.596
121	1.20000	165.509
122	1.21000	165.411
123	1.22000	165.297
124	1.23000	165.166
125	1.24000	165.016
126	1.25000	164.848
127	1.26000	164.673
128	1.27000	164.474
129	1.28000	164.248
130	1.29000	164.000
131	1.30000	163.729
132	1.31000	163.437
133	1.32000	163.116
134	1.33000	162.760
135	1.34000	162.365
136	1.35000	161.933
137	1.36000	161.473
138	1.37000	160.984
139	1.38000	160.485
140	1.39000	159.984
141	1.40000	159.474
142	1.41000	158.942
143	1.42000	158.367
144	1.43000	157.746
145	1.44000	157.070
146	1.45000	156.326
147	1.46000	155.495
148	1.47000	154.581
149	1.48000	153.603
150	1.49000	152.597
151	1.50000	151.600
152	1.51000	150.644
153	1.52000	149.735
154	1.53000	148.867
155	1.54000	148.009
156	1.55000	147.130
157	1.56000	146.198
158	1.57000	145.207
159	1.58000	144.160
160	1.59000	143.067
161	1.60000	141.953
162	1.61000	140.844
163	1.62000	139.743
164	1.63000	138.649
165	1.64000	137.563
166	1.65000	136.477
167	1.66000	135.391
168	1.67000	134.301
169	1.68000	133.205
170	1.69000	132.095
171	1.70000	130.975
172	1.71000	129.854
173	1.72000	128.737
174	1.73000	127.622
175	1.74000	126.506
176	1.75000	125.373
177	1.76000	124.222
178	1.77000	123.060
179	1.78000	121.902
180	1.79000	120.739
181	1.80000	119.572
182	1.81000	118.400
183	1.82000	117.231
184	1.83000	116.073
185	1.84000	114.927
186	1.85000	113.798
187	1.86000	112.688
188	1.87000	111.598
189	1.88000	110.527
190	1.89000	109.455
191	1.90000	108.386
192	1.91000	107.320
193	1.92000	106.268
194	1.93000	105.234
195	1.94000	104.211
196	1.95000	103.211
197	1.96000	102.234
198	1.97000	101.282
199	1.98000	100.356
200	1.99000	99.449
201	2.00000	98.566
202	2.01000	97.704
203	2.02000	96.868
204	2.03000	96.061
205	2.04000	95.282
206	2.05000	94.541
207	2.06000	93.834
208	2.07000	93.163
209	2.08000	92.530
210	2.09000	91.932
211	2.10000	91.368
212	2.11000	90.829
213	2.12000	90.312
214	2.13000	89.812
215	2.14000	89.325
216	2.15000	88.851
217	2.16000	88.393
218	2.17000	87.953
219	2.18000	87.537
220	2.19000	87.150
221	2.20000	86.793
222	2.21000	86.463
223	2.22000	86.168
224	2.23000	85.911
225	2.24000	85.703
226	2.25000	85.551
227	2.26000	85.468
228	2.27000	85.462
229	2.28000	85.517
230	2.29000	85.627
231	2.30000	85.777
232	2.31000	85.951
233	2.32000	86.132
234	2.33000	86.301
235	2.34000	86.452
236	2.35000	86.578
237	2.36000	86.690
238	2.37000	86.788
239	2.38000	86.860
240	2.39000	86.914
241	2.40000	86.948
242	2.41000	86.957
243	2.42000	86.930
244	2.43000	86.864
245	2.44000	86.759
246	2.45000	86.615
247	2.46000	86.441
248	2.47000	86.243
249	2.48000	86.031
250	2.49000	85.816
251	2.50000	85.601
252	2.51000	85.394
253	2.52000	85.198
254	2.53000	85.021
255	2.54000	84.867
256	2.55000	84.738
257	2.56000	84.634
258	2.57000	84.557
259	2.58000	84.505
260	2.59000	84.469
261	2.60000	84.445
262	2.61000	84.427
263	2.62000	84.411
264	2.63000	84.396
265	2.64000	84.380
266	2.65000	84.365
267	2.66000	84.353
268	2.67000	84.343
269	2.68000	84.334
270	2.69000	84.330
271	2.70000	84.331
272	2.71000	84.336
273	2.72000	84.347
274	2.73000	84.365
275	2.74000	84.394
276	2.75000	84.434
277	2.76000	84.483
278	2.77000	84.544
279	2.78000	84.612
280	2.79000	84.685
281	2.80000	84.760
282	2.81000	84.830
283	2.82000	84.899
284	2.83000	84.964
285	2.84000	85.029
286	2.85000	85.091
287	2.86000	85.152
288	2.87000	85.212
289	2.88000	85.268
290	2.89000	85.316
291	2.90000	85.356
292	2.91000	85.384
293	2.92000	85.404
294	2.93000	85.412
295	2.94000	85.413
296	2.95000	85.405
297	2.96000	85.394
298	2.97000	85.377
299	2.98000	85.356
300	2.99000	85.332
301	3.00000	85.305
302	3.01000	85.277
303	3.02000	85.249
304	3.03000	85.222
305	3.04000	85.196
306	3.05000	85.176
307	3.06000	85.158
308	3.07000	85.145
309	3.08000	85.134
