NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:42:02
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
267	2.66000	-2014.394
268	2.67000	-1268.084
269	2.68000	27.269
270	2.69000	1132.938
271	2.70000	1683.396
272	2.71000	1715.315
273	2.72000	1464.490
274	2.73000	985.072
275	2.74000	342.059
276	2.75000	-441.330
277	2.76000	-943.223
278	2.77000	-651.276
279	2.78000	-147.468
280	2.79000	-69.321
281	2.80000	-563.821
282	2.81000	-783.503
283	2.82000	-830.702
284	2.83000	-797.957
285	2.84000	-837.646
286	2.85000	-689.411
287	2.86000	-442.762
288	2.87000	-25.520
289	2.88000	417.857
290	2.89000	624.247
291	2.90000	594.749
292	2.91000	701.864
293	2.92000	566.803
294	2.93000	497.805
295	2.94000	295.194
296	2.95000	172.702
297	2.96000	2.174
298	2.97000	-54.340
299	2.98000	-35.071
300	2.99000	-75.470
301	3.00000	-18.888
302	3.01000	-17.197
303	3.02000	27.233
304	3.03000	45.415
305	3.04000	25.741
306	3.05000	-61.775
307	3.06000	-168.205
308	3.07000	-265.128
309	3.08000	-265.644
310	3.09000	-250.099
311	3.10000	-89.043
312	3.11000	51.705
313	3.12000	223.805
314	3.13000	279.853
315	3.14000	341.656
316	3.15000	333.858
317	3.16000	255.005
318	3.17000	97.824
319	3.18000	-13.026
320	3.19000	-93.525
321	3.20000	-86.130
322	3.21000	-49.860
323	3.22000	-72.605
324	3.23000	-58.151
325	3.24000	-30.816
326	3.25000	48.965
327	3.26000	152.874
328	3.27000	273.086
329	3.28000	347.649
330	3.29000	243.951
331	3.30000	69.554
332	3.31000	-141.360
333	3.32000	-321.451
334	3.33000	-393.544
335	3.34000	-424.829
336	3.35000	-336.555
337	3.36000	-161.385
338	3.37000	59.142
339	3.38000	218.086
340	3.39000	250.203
341	3.40000	238.327
342	3.41000	201.332
343	3.42000	105.251
344	3.43000	-46.879
345	3.44000	-194.562
346	3.45000	-216.763
347	3.46000	-223.553
348	3.47000	-258.107
349	3.48000	-215.546
350	3.49000	-172.533
351	3.50000	-126.841
352	3.51000	22.089
353	3.52000	61.575
354	3.53000	191.268
355	3.54000	415.026
356	3.55000	563.352
357	3.56000	466.190
358	3.57000	163.365
359	3.58000	-192.575
360	3.59000	-495.559
361	3.60000	-627.078
362	3.61000	-662.714
363	3.62000	-544.946
364	3.63000	-310.516
365	3.64000	-20.328
366	3.65000	221.550
367	3.66000	417.537
368	3.67000	604.039
369	3.68000	681.013
370	3.69000	617.561
371	3.70000	423.616
372	3.71000	105.044
373	3.72000	-132.304
374	3.73000	-365.269
375	3.74000	-530.770
376	3.75000	-487.320
377	3.76000	-251.421
378	3.77000	9.223
379	3.78000	200.055
380	3.79000	277.441
381	3.80000	344.909
382	3.81000	408.700
383	3.82000	460.709
384	3.83000	477.822
385	3.84000	323.988
386	3.85000	191.283
387	3.86000	-46.746
388	3.87000	-242.632
389	3.88000	-401.798
390	3.89000	-260.990
391	3.90000	-291.074
392	3.91000	-170.123
393	3.92000	63.976
394	3.93000	384.854
395	3.94000	572.324
396	3.95000	637.798
397	3.96000	520.806
398	3.97000	364.277
399	3.98000	-21.234
400	3.99000	-311.983
401	4.00000	-697.553
402	4.01000	-755.130
403	4.02000	-607.449
404	4.03000	-372.422
405	4.04000	-153.195
406	4.05000	26.485
407	4.06000	130.502
408	4.07000	118.618
409	4.08000	-103.377
410	4.09000	-287.522
411	4.10000	-233.432
412	4.11000	-208.641
413	4.12000	-120.655
414	4.13000	-61.697
415	4.14000	177.846
416	4.15000	348.482
417	4.16000	447.365
418	4.17000	336.582
419	4.18000	143.079
420	4.19000	-75.006
421	4.20000	-187.970
422	4.21000	-343.260
423	4.22000	-465.187
424	4.23000	-329.121
425	4.24000	-60.646
426	4.25000	205.814
427	4.26000	370.250
428	4.27000	406.633
429	4.28000	396.350
430	4.29000	282.045
431	4.30000	96.629
432	4.31000	-133.102
433	4.32000	-287.983
434	4.33000	-337.971
435	4.34000	-372.572
436	4.35000	-286.812
437	4.36000	-197.066
438	4.37000	-23.436
439	4.38000	107.423
440	4.39000	103.811
441	4.40000	-18.584
442	4.41000	-79.915
443	4.42000	-124.309
444	4.43000	-194.556
445	4.44000	-125.992
446	4.45000	-40.755
447	4.46000	30.079
448	4.47000	-9.906
449	4.48000	-67.578
450	4.49000	-112.178
451	4.50000	-138.339
452	4.51000	-66.258
453	4.52000	-14.238
454	4.53000	87.633
455	4.54000	186.002
456	4.55000	191.436
457	4.56000	104.054
458	4.57000	-50.307
459	4.58000	-74.105
460	4.59000	-9.597
461	4.60000	30.012
462	4.61000	54.709
463	4.62000	53.189
464	4.63000	103.842
465	4.64000	140.933
466	4.65000	148.939
467	4.66000	163.471
468	4.67000	157.705
469	4.68000	100.525
470	4.69000	49.435
471	4.70000	17.177
472	4.71000	-54.488
473	4.72000	-67.795
474	4.73000	-92.187
475	4.74000	-132.872
476	4.75000	-74.348
477	4.76000	109.070
478	4.77000	240.691
479	4.78000	260.979
480	4.79000	218.600
481	4.80000	61.344
482	4.81000	-137.263
483	4.82000	-287.800
484	4.83000	-408.125
485	4.84000	-321.922
486	4.85000	-157.791
487	4.86000	82.242
488	4.87000	143.561
