NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:29:36
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	0.585
3	0.02000	0.714
4	0.03000	0.775
5	0.04000	0.769
6	0.05000	0.694
7	0.06000	0.552
8	0.07000	0.197
9	0.08000	-0.315
10	0.09000	-0.628
11	0.10000	-0.677
12	0.11000	-0.653
13	0.12000	-0.533
14	0.13000	-0.447
15	0.14000	-0.387
16	0.15000	-0.432
17	0.16000	-0.477
18	0.17000	-0.517
19	0.18000	-0.596
20	0.19000	-0.508
21	0.20000	-0.294
22	0.21000	-0.133
23	0.22000	-0.143
24	0.23000	-0.268
25	0.24000	-0.395
26	0.25000	-0.471
27	0.26000	-0.379
28	0.27000	-0.214
29	0.28000	-0.063
30	0.29000	0.114
31	0.30000	0.262
32	0.31000	0.379
33	0.32000	0.311
34	0.33000	0.179
35	0.34000	0.173
36	0.35000	0.283
37	0.36000	0.412
38	0.37000	0.478
39	0.38000	0.516
40	0.39000	0.623
41	0.40000	0.780
42	0.41000	0.861
43	0.42000	0.749
44	0.43000	0.558
45	0.44000	0.392
46	0.45000	0.176
47	0.46000	0.059
48	0.47000	0.164
49	0.48000	0.323
50	0.49000	0.515
51	0.50000	0.641
52	0.51000	0.618
53	0.52000	0.508
54	0.53000	0.315
55	0.54000	0.069
56	0.55000	-0.124
57	0.56000	-0.086
58	0.57000	0.119
59	0.58000	0.238
60	0.59000	0.353
61	0.60000	0.393
62	0.61000	0.358
63	0.62000	0.303
64	0.63000	0.191
65	0.64000	0.147
66	0.65000	0.190
67	0.66000	0.333
68	0.67000	0.393
69	0.68000	0.268
70	0.69000	0.066
71	0.70000	-0.195
72	0.71000	-0.464
73	0.72000	-0.564
74	0.73000	-0.440
75	0.74000	-0.093
76	0.75000	0.301
77	0.76000	0.554
78	0.77000	0.675
79	0.78000	0.616
80	0.79000	0.411
81	0.80000	0.219
82	0.81000	0.038
83	0.82000	-0.109
84	0.83000	-0.176
85	0.84000	-0.136
86	0.85000	-0.074
87	0.86000	-0.022
88	0.87000	0.123
89	0.88000	0.222
90	0.89000	0.296
91	0.90000	0.370
92	0.91000	0.340
93	0.92000	0.107
94	0.93000	-0.250
95	0.94000	-0.643
96	0.95000	-1.109
97	0.96000	-1.575
98	0.97000	-2.049
99	0.98000	-2.480
100	0.99000	-2.762
101	1.00000	-2.883
102	1.01000	-2.890
103	1.02000	-2.825
104	1.03000	-2.888
105	1.04000	-3.186
106	1.05000	-3.657
107	1.06000	-4.328
108	1.07000	-5.131
109	1.08000	-5.898
110	1.09000	-6.549
111	1.10000	-7.026
112	1.11000	-7.402
