NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:33
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KL_Angular_Velocity

Frame	Time	KL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-3.317
3	0.02000	-2.082
4	0.03000	-0.940
5	0.04000	0.109
6	0.05000	1.065
7	0.06000	1.927
8	0.07000	3.183
9	0.08000	4.013
10	0.09000	4.278
11	0.10000	4.085
12	0.11000	3.687
13	0.12000	3.341
14	0.13000	3.005
15	0.14000	2.659
16	0.15000	2.362
17	0.16000	2.176
18	0.17000	1.949
19	0.18000	1.525
20	0.19000	1.123
21	0.20000	0.804
22	0.21000	0.628
23	0.22000	0.537
24	0.23000	0.351
25	0.24000	0.071
26	0.25000	-0.324
27	0.26000	-0.753
28	0.27000	-1.086
29	0.28000	-1.262
30	0.29000	-1.193
31	0.30000	-0.936
32	0.31000	-0.558
33	0.32000	-0.054
34	0.33000	0.455
35	0.34000	0.794
36	0.35000	0.958
37	0.36000	1.024
38	0.37000	1.073
39	0.38000	0.946
40	0.39000	0.599
41	0.40000	0.270
42	0.41000	0.028
43	0.42000	-0.041
44	0.43000	-0.057
45	0.44000	-0.118
46	0.45000	-0.039
47	0.46000	0.151
48	0.47000	0.424
49	0.48000	0.744
50	0.49000	0.980
51	0.50000	1.210
52	0.51000	1.425
53	0.52000	1.561
54	0.53000	1.582
55	0.54000	1.513
56	0.55000	1.354
57	0.56000	1.087
58	0.57000	0.880
59	0.58000	0.632
60	0.59000	0.189
61	0.60000	-0.360
62	0.61000	-0.947
63	0.62000	-1.496
64	0.63000	-1.958
65	0.64000	-2.323
66	0.65000	-2.627
67	0.66000	-2.756
68	0.67000	-2.573
69	0.68000	-2.286
70	0.69000	-1.873
71	0.70000	-1.107
72	0.71000	0.029
73	0.72000	1.438
74	0.73000	2.891
75	0.74000	4.247
76	0.75000	5.279
77	0.76000	5.786
78	0.77000	5.651
79	0.78000	4.774
80	0.79000	3.555
81	0.80000	2.381
82	0.81000	1.334
83	0.82000	0.563
84	0.83000	0.039
85	0.84000	-0.169
86	0.85000	-0.115
87	0.86000	0.076
88	0.87000	0.354
89	0.88000	0.551
90	0.89000	0.762
91	0.90000	0.887
92	0.91000	0.776
93	0.92000	0.463
94	0.93000	-0.108
95	0.94000	-0.692
96	0.95000	-1.172
97	0.96000	-1.427
98	0.97000	-1.305
99	0.98000	-1.007
100	0.99000	-0.603
101	1.00000	-0.203
102	1.01000	-0.055
103	1.02000	-0.182
104	1.03000	-0.476
105	1.04000	-0.919
106	1.05000	-1.458
107	1.06000	-1.948
108	1.07000	-2.223
109	1.08000	-2.292
110	1.09000	-2.189
111	1.10000	-1.866
112	1.11000	-1.293
113	1.12000	-0.433
114	1.13000	0.508
115	1.14000	1.307
116	1.15000	1.858
117	1.16000	2.060
118	1.17000	1.900
119	1.18000	1.412
120	1.19000	0.670
121	1.20000	-0.154
122	1.21000	-0.825
123	1.22000	-1.341
124	1.23000	-1.741
125	1.24000	-1.960
126	1.25000	-1.931
127	1.26000	-1.724
128	1.27000	-1.387
129	1.28000	-0.887
130	1.29000	-0.476
131	1.30000	-0.302
132	1.31000	-0.241
133	1.32000	-0.324
134	1.33000	-0.578
135	1.34000	-0.865
136	1.35000	-1.016
137	1.36000	-0.988
138	1.37000	-0.723
139	1.38000	-0.268
140	1.39000	0.127
141	1.40000	0.449
142	1.41000	0.694
143	1.42000	0.701
144	1.43000	0.413
145	1.44000	-0.079
146	1.45000	-0.656
147	1.46000	-1.243
148	1.47000	-1.785
149	1.48000	-2.082
150	1.49000	-2.070
151	1.50000	-1.838
152	1.51000	-1.457
153	1.52000	-0.869
154	1.53000	-0.144
155	1.54000	0.523
156	1.55000	1.057
157	1.56000	1.248
158	1.57000	1.154
159	1.58000	0.902
160	1.59000	0.410
161	1.60000	-0.278
162	1.61000	-0.977
163	1.62000	-1.500
164	1.63000	-1.974
165	1.64000	-2.441
166	1.65000	-2.928
167	1.66000	-3.415
168	1.67000	-3.694
169	1.68000	-3.803
170	1.69000	-3.847
171	1.70000	-3.773
172	1.71000	-3.615
173	1.72000	-3.744
174	1.73000	-4.324
175	1.74000	-5.172
176	1.75000	-6.332
177	1.76000	-7.544
178	1.77000	-8.461
179	1.78000	-8.920
180	1.79000	-8.841
181	1.80000	-8.158
182	1.81000	-6.906
183	1.82000	-5.385
184	1.83000	-3.512
185	1.84000	-1.341
186	1.85000	0.629
187	1.86000	2.112
188	1.87000	3.024
189	1.88000	3.270
190	1.89000	2.876
191	1.90000	2.000
192	1.91000	0.840
193	1.92000	-0.471
194	1.93000	-1.908
195	1.94000	-3.525
196	1.95000	-6.122
197	1.96000	-10.375
198	1.97000	-16.124
199	1.98000	-23.521
200	1.99000	-32.363
201	2.00000	-41.785
202	2.01000	-50.753
203	2.02000	-58.107
