NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:21:25
DATA_INCLUDED	Angle
DATA_TYPES	LR_Angle

Frame	Time	LR_Angle	
1	0.00000	98.500
2	0.01000	98.449
3	0.02000	98.406
4	0.03000	98.371
5	0.04000	98.343
6	0.05000	98.324
7	0.06000	98.309
8	0.07000	98.310
9	0.08000	98.331
10	0.09000	98.327
11	0.10000	98.327
12	0.11000	98.328
13	0.12000	98.331
14	0.13000	98.334
15	0.14000	98.338
16	0.15000	98.341
17	0.16000	98.343
18	0.17000	98.348
19	0.18000	98.351
20	0.19000	98.353
21	0.20000	98.357
22	0.21000	98.362
23	0.22000	98.365
24	0.23000	98.368
25	0.24000	98.370
26	0.25000	98.369
27	0.26000	98.366
28	0.27000	98.364
29	0.28000	98.361
30	0.29000	98.358
31	0.30000	98.359
32	0.31000	98.358
33	0.32000	98.358
34	0.33000	98.357
35	0.34000	98.357
36	0.35000	98.357
37	0.36000	98.358
38	0.37000	98.360
39	0.38000	98.362
40	0.39000	98.368
41	0.40000	98.373
42	0.41000	98.376
43	0.42000	98.379
44	0.43000	98.379
45	0.44000	98.381
46	0.45000	98.383
47	0.46000	98.387
48	0.47000	98.390
49	0.48000	98.393
50	0.49000	98.398
51	0.50000	98.402
52	0.51000	98.405
53	0.52000	98.407
54	0.53000	98.406
55	0.54000	98.405
56	0.55000	98.406
57	0.56000	98.404
58	0.57000	98.402
59	0.58000	98.397
60	0.59000	98.393
61	0.60000	98.389
62	0.61000	98.387
63	0.62000	98.384
64	0.63000	98.380
65	0.64000	98.379
66	0.65000	98.378
67	0.66000	98.377
68	0.67000	98.376
69	0.68000	98.374
70	0.69000	98.369
71	0.70000	98.366
72	0.71000	98.363
73	0.72000	98.360
74	0.73000	98.357
75	0.74000	98.355
76	0.75000	98.354
77	0.76000	98.355
78	0.77000	98.358
79	0.78000	98.361
80	0.79000	98.363
81	0.80000	98.366
82	0.81000	98.367
83	0.82000	98.368
84	0.83000	98.365
85	0.84000	98.360
86	0.85000	98.355
87	0.86000	98.350
88	0.87000	98.345
89	0.88000	98.340
90	0.89000	98.337
91	0.90000	98.336
92	0.91000	98.338
93	0.92000	98.342
94	0.93000	98.346
95	0.94000	98.354
96	0.95000	98.361
97	0.96000	98.367
98	0.97000	98.371
99	0.98000	98.374
100	0.99000	98.377
101	1.00000	98.381
102	1.01000	98.383
103	1.02000	98.385
104	1.03000	98.387
105	1.04000	98.389
106	1.05000	98.391
107	1.06000	98.395
108	1.07000	98.399
109	1.08000	98.405
110	1.09000	98.413
111	1.10000	98.422
112	1.11000	98.430
113	1.12000	98.438
114	1.13000	98.443
115	1.14000	98.447
116	1.15000	98.451
117	1.16000	98.452
118	1.17000	98.450
119	1.18000	98.450
120	1.19000	98.449
121	1.20000	98.446
122	1.21000	98.443
123	1.22000	98.439
124	1.23000	98.434
125	1.24000	98.431
126	1.25000	98.427
127	1.26000	98.424
128	1.27000	98.421
129	1.28000	98.424
130	1.29000	98.427
131	1.30000	98.431
132	1.31000	98.436
133	1.32000	98.439
134	1.33000	98.442
135	1.34000	98.442
136	1.35000	98.439
137	1.36000	98.436
138	1.37000	98.432
139	1.38000	98.430
140	1.39000	98.428
