NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:25
DATA_INCLUDED	Angle
DATA_TYPES	LR_Angle

Frame	Time	LR_Angle	
281	2.80000	98.234
282	2.81000	98.279
283	2.82000	98.246
284	2.83000	98.130
285	2.84000	97.934
286	2.85000	97.654
287	2.86000	97.305
288	2.87000	96.912
289	2.88000	96.516
290	2.89000	96.163
291	2.90000	95.871
292	2.91000	95.639
293	2.92000	95.478
294	2.93000	95.373
295	2.94000	95.318
296	2.95000	95.292
297	2.96000	95.283
298	2.97000	95.275
299	2.98000	95.261
300	2.99000	95.244
301	3.00000	95.220
302	3.01000	95.193
303	3.02000	95.165
304	3.03000	95.139
305	3.04000	95.118
306	3.05000	95.100
307	3.06000	95.075
308	3.07000	95.033
309	3.08000	94.965
310	3.09000	94.871
311	3.10000	94.751
312	3.11000	94.623
313	3.12000	94.500
314	3.13000	94.399
315	3.14000	94.326
316	3.15000	94.287
317	3.16000	94.281
318	3.17000	94.302
319	3.18000	94.332
320	3.19000	94.360
321	3.20000	94.379
322	3.21000	94.390
323	3.22000	94.396
324	3.23000	94.394
325	3.24000	94.387
326	3.25000	94.376
327	3.26000	94.370
328	3.27000	94.380
329	3.28000	94.417
330	3.29000	94.489
331	3.30000	94.585
332	3.31000	94.688
333	3.32000	94.777
334	3.33000	94.834
335	3.34000	94.851
336	3.35000	94.826
337	3.36000	94.768
338	3.37000	94.693
339	3.38000	94.624
340	3.39000	94.577
341	3.40000	94.555
342	3.41000	94.556
343	3.42000	94.578
344	3.43000	94.611
345	3.44000	94.639
346	3.45000	94.647
347	3.46000	94.633
348	3.47000	94.598
349	3.48000	94.536
350	3.49000	94.453
351	3.50000	94.353
352	3.51000	94.239
353	3.52000	94.129
354	3.53000	94.024
355	3.54000	93.938
356	3.55000	93.894
357	3.56000	93.907
358	3.57000	93.965
359	3.58000	94.041
360	3.59000	94.097
361	3.60000	94.103
362	3.61000	94.047
363	3.62000	93.924
364	3.63000	93.747
365	3.64000	93.539
366	3.65000	93.329
367	3.66000	93.141
368	3.67000	92.995
369	3.68000	92.909
370	3.69000	92.891
371	3.70000	92.935
372	3.71000	93.021
373	3.72000	93.118
374	3.73000	93.202
375	3.74000	93.249
376	3.75000	93.243
377	3.76000	93.189
378	3.77000	93.109
379	3.78000	93.030
380	3.79000	92.971
381	3.80000	92.940
382	3.81000	92.943
383	3.82000	92.987
384	3.83000	93.078
385	3.84000	93.216
386	3.85000	93.386
387	3.86000	93.576
388	3.87000	93.761
389	3.88000	93.921
390	3.89000	94.042
391	3.90000	94.136
392	3.91000	94.201
393	3.92000	94.250
394	3.93000	94.304
395	3.94000	94.397
396	3.95000	94.548
397	3.96000	94.762
398	3.97000	95.028
399	3.98000	95.331
400	3.99000	95.631
401	4.00000	95.901
402	4.01000	96.100
403	4.02000	96.224
404	4.03000	96.288
405	4.04000	96.314
406	4.05000	96.325
407	4.06000	96.338
408	4.07000	96.364
409	4.08000	96.403
410	4.09000	96.431
411	4.10000	96.430
412	4.11000	96.406
413	4.12000	96.361
414	4.13000	96.304
415	4.14000	96.241
416	4.15000	96.195
417	4.16000	96.185
418	4.17000	96.219
419	4.18000	96.287
420	4.19000	96.369
421	4.20000	96.443
422	4.21000	96.499
423	4.22000	96.521
424	4.23000	96.496
425	4.24000	96.438
426	4.25000	96.374
427	4.26000	96.330
428	4.27000	96.324
429	4.28000	96.358
430	4.29000	96.432
431	4.30000	96.534
432	4.31000	96.646
433	4.32000	96.745
434	4.33000	96.814
435	4.34000	96.850
436	4.35000	96.849
437	4.36000	96.819
438	4.37000	96.769
439	4.38000	96.717
440	4.39000	96.675
441	4.40000	96.644
442	4.41000	96.612
443	4.42000	96.571
444	4.43000	96.518
445	4.44000	96.445
446	4.45000	96.359
447	4.46000	96.270
448	4.47000	96.184
449	4.48000	96.096
450	4.49000	96.002
451	4.50000	95.897
452	4.51000	95.778
453	4.52000	95.652
454	4.53000	95.525
455	4.54000	95.406
456	4.55000	95.306
457	4.56000	95.225
458	4.57000	95.155
459	4.58000	95.080
460	4.59000	94.997
461	4.60000	94.913
462	4.61000	94.832
463	4.62000	94.757
464	4.63000	94.687
465	4.64000	94.628
466	4.65000	94.582
467	4.66000	94.552
468	4.67000	94.537
469	4.68000	94.539
470	4.69000	94.551
471	4.70000	94.567
472	4.71000	94.585
473	4.72000	94.598
474	4.73000	94.604
475	4.74000	94.601
476	4.75000	94.585
477	4.76000	94.561
478	4.77000	94.548
479	4.78000	94.559
480	4.79000	94.596
481	4.80000	94.655
482	4.81000	94.720
483	4.82000	94.772
484	4.83000	94.794
485	4.84000	94.776
486	4.85000	94.726
487	4.86000	94.660
488	4.87000	94.602
489	4.88000	94.558
490	4.89000	94.534
491	4.90000	94.531
492	4.91000	94.542
493	4.92000	94.563
494	4.93000	94.583
495	4.94000	94.594
496	4.95000	94.595
497	4.96000	94.579
498	4.97000	94.542
499	4.98000	94.479
500	4.99000	94.398
501	5.00000	94.315
502	5.01000	94.248
503	5.02000	94.213
504	5.03000	94.217
505	5.04000	94.262
506	5.05000	94.337
507	5.06000	94.417
508	5.07000	94.480
509	5.08000	94.514
510	5.09000	94.517
511	5.10000	94.489
512	5.11000	94.441
513	5.12000	94.390
514	5.13000	94.355
515	5.14000	94.349
516	5.15000	94.368
517	5.16000	94.405
518	5.17000	94.452
519	5.18000	94.502
520	5.19000	94.549
521	5.20000	94.576
522	5.21000	94.574
523	5.22000	94.542
524	5.23000	94.473
525	5.24000	94.369
526	5.25000	94.244
527	5.26000	94.121
528	5.27000	94.017
529	5.28000	93.952
530	5.29000	93.935
531	5.30000	93.961
532	5.31000	94.022
533	5.32000	94.107
534	5.33000	94.194
535	5.34000	94.267
536	5.35000	94.322
537	5.36000	94.363
538	5.37000	94.400
539	5.38000	94.449
540	5.39000	94.514
541	5.40000	94.601
542	5.41000	94.696
543	5.42000	94.792
544	5.43000	94.876
545	5.44000	94.935
546	5.45000	94.961
547	5.46000	94.951
548	5.47000	94.904
549	5.48000	94.835
550	5.49000	94.764
551	5.50000	94.709
552	5.51000	94.676
553	5.52000	94.672
554	5.53000	94.702
555	5.54000	94.760
556	5.55000	94.825
557	5.56000	94.885
558	5.57000	94.934
559	5.58000	94.976
560	5.59000	95.013
561	5.60000	95.043
562	5.61000	95.074
563	5.62000	95.114
564	5.63000	95.179
565	5.64000	95.267
566	5.65000	95.369
567	5.66000	95.479
568	5.67000	95.584
569	5.68000	95.677
570	5.69000	95.744
571	5.70000	95.785
572	5.71000	95.807
573	5.72000	95.826
574	5.73000	95.864
575	5.74000	95.930
576	5.75000	96.014
577	5.76000	96.095
578	5.77000	96.185
579	5.78000	96.266
580	5.79000	96.332
581	5.80000	96.390
582	5.81000	96.446
583	5.82000	96.520
584	5.83000	96.620
585	5.84000	96.746
586	5.85000	96.886
587	5.86000	97.034
588	5.87000	97.210
589	5.88000	97.395
590	5.89000	97.590
591	5.90000	97.803
592	5.91000	98.045
593	5.92000	98.334
594	5.93000	98.674
595	5.94000	99.082
596	5.95000	99.520
597	5.96000	99.928
598	5.97000	100.262
599	5.98000	100.524
600	5.99000	100.730
601	6.00000	100.910
602	6.01000	101.059
603	6.02000	101.321
604	6.03000	101.658
605	6.04000	101.737
606	6.05000	101.400
607	6.06000	100.515
608	6.07000	99.067
609	6.08000	97.169
610	6.09000	95.046
611	6.10000	93.013
612	6.11000	91.352
613	6.12000	90.362
614	6.13000	89.964
615	6.14000	89.860
616	6.15000	90.004
617	6.16000	90.236
618	6.17000	90.435
619	6.18000	90.519
620	6.19000	90.500
621	6.20000	90.432
622	6.21000	90.344
623	6.22000	90.250
624	6.23000	90.143
625	6.24000	90.031
626	6.25000	89.963
627	6.26000	89.965
628	6.27000	90.038
629	6.28000	90.166
630	6.29000	90.343
631	6.30000	90.559
632	6.31000	90.798
633	6.32000	91.052
634	6.33000	91.315
635	6.34000	91.583
636	6.35000	91.872
637	6.36000	92.183
638	6.37000	92.499
639	6.38000	92.800
640	6.39000	93.081
641	6.40000	93.339
642	6.41000	93.571
643	6.42000	93.791
644	6.43000	94.008
645	6.44000	94.221
646	6.45000	94.435
647	6.46000	94.652
648	6.47000	94.862
649	6.48000	95.061
650	6.49000	95.246
651	6.50000	95.417
652	6.51000	95.578
653	6.52000	95.739
654	6.53000	95.904
655	6.54000	96.072
656	6.55000	96.237
657	6.56000	96.395
658	6.57000	96.546
659	6.58000	96.686
660	6.59000	96.816
661	6.60000	96.933
662	6.61000	97.032
663	6.62000	97.115
664	6.63000	97.183
665	6.64000	97.240
666	6.65000	97.291
667	6.66000	97.333
668	6.67000	97.367
669	6.68000	97.391
670	6.69000	97.412
671	6.70000	97.427
672	6.71000	97.439
673	6.72000	97.453
674	6.73000	97.472
675	6.74000	97.496
676	6.75000	97.521
677	6.76000	97.546
678	6.77000	97.567
679	6.78000	97.581
680	6.79000	97.587
681	6.80000	97.584
682	6.81000	97.572
683	6.82000	97.553
684	6.83000	97.531
685	6.84000	97.503
686	6.85000	97.467
687	6.86000	97.426
688	6.87000	97.380
689	6.88000	97.327
690	6.89000	97.270
691	6.90000	97.205
692	6.91000	97.136
693	6.92000	97.066
694	6.93000	97.001
695	6.94000	96.940
696	6.95000	96.887
697	6.96000	96.833
698	6.97000	96.777
699	6.98000	96.722
700	6.99000	96.665
701	7.00000	96.609
702	7.01000	96.552
703	7.02000	96.496
704	7.03000	96.440
705	7.04000	96.382
706	7.05000	96.321
707	7.06000	96.251
708	7.07000	96.172
709	7.08000	96.082
710	7.09000	95.980
711	7.10000	95.872
712	7.11000	95.755
713	7.12000	95.631
714	7.13000	95.496
715	7.14000	95.352
716	7.15000	95.203
717	7.16000	95.058
718	7.17000	94.916
719	7.18000	94.781
720	7.19000	94.651
721	7.20000	94.525
722	7.21000	94.405
723	7.22000	94.293
724	7.23000	94.197
725	7.24000	94.119
726	7.25000	94.064
727	7.26000	94.034
728	7.27000	94.022
729	7.28000	94.019
730	7.29000	94.017
731	7.30000	94.000
732	7.31000	93.970
733	7.32000	93.932
734	7.33000	93.897
735	7.34000	93.859
736	7.35000	93.819
737	7.36000	93.780
738	7.37000	93.743
739	7.38000	93.712
740	7.39000	93.693
741	7.40000	93.677
742	7.41000	93.666
743	7.42000	93.655
744	7.43000	93.637
745	7.44000	93.605
746	7.45000	93.563
747	7.46000	93.515
748	7.47000	93.468
749	7.48000	93.435
750	7.49000	93.424
751	7.50000	93.434
752	7.51000	93.464
753	7.52000	93.506
754	7.53000	93.550
755	7.54000	93.588
756	7.55000	93.618
757	7.56000	93.638
758	7.57000	93.648
759	7.58000	93.651
760	7.59000	93.649
761	7.60000	93.642
762	7.61000	93.631
763	7.62000	93.615
764	7.63000	93.590
765	7.64000	93.551
766	7.65000	93.506
767	7.66000	93.441
768	7.67000	93.366
769	7.68000	93.285
770	7.69000	93.198
771	7.70000	93.101
772	7.71000	92.995
773	7.72000	92.884
774	7.73000	92.768
775	7.74000	92.655
776	7.75000	92.544
777	7.76000	92.418
778	7.77000	92.288
779	7.78000	92.156
780	7.79000	92.020
781	7.80000	91.874
782	7.81000	91.708
783	7.82000	91.515
784	7.83000	91.304
785	7.84000	91.088
786	7.85000	90.865
787	7.86000	90.634
788	7.87000	90.392
789	7.88000	90.167
790	7.89000	89.963
791	7.90000	89.768
792	7.91000	89.565
793	7.92000	89.345
794	7.93000	89.106
795	7.94000	88.845
796	7.95000	88.574
797	7.96000	88.281
798	7.97000	87.971
799	7.98000	87.665
800	7.99000	87.366
801	8.00000	87.069
802	8.01000	86.781
803	8.02000	86.498
804	8.03000	86.218
805	8.04000	85.944
806	8.05000	85.680
807	8.06000	85.413
808	8.07000	85.166
809	8.08000	84.919
810	8.09000	84.663
811	8.10000	84.397
812	8.11000	84.141
813	8.12000	83.902
814	8.13000	83.678
815	8.14000	83.470
816	8.15000	83.284
817	8.16000	83.129
818	8.17000	83.021
819	8.18000	82.931
820	8.19000	82.862
821	8.20000	82.813
822	8.21000	82.793
823	8.22000	82.796
824	8.23000	82.804
825	8.24000	82.807
826	8.25000	82.797
827	8.26000	82.770
828	8.27000	82.731
829	8.28000	82.679
830	8.29000	82.615
831	8.30000	82.543
832	8.31000	82.465
833	8.32000	82.388
834	8.33000	82.305
835	8.34000	82.217
836	8.35000	82.120
837	8.36000	82.016
838	8.37000	81.911
839	8.38000	81.792
840	8.39000	81.637
841	8.40000	81.459
842	8.41000	81.263
843	8.42000	81.061
844	8.43000	80.866
845	8.44000	80.690
846	8.45000	80.562
847	8.46000	80.485
848	8.47000	80.440
849	8.48000	80.400
850	8.49000	80.346
851	8.50000	80.281
852	8.51000	80.211
853	8.52000	80.149
854	8.53000	80.109
855	8.54000	80.102
856	8.55000	80.141
857	8.56000	80.210
858	8.57000	80.277
859	8.58000	80.334
860	8.59000	80.377
861	8.60000	80.428
862	8.61000	80.516
863	8.62000	80.650
864	8.63000	80.845
865	8.64000	81.116
866	8.65000	81.452
867	8.66000	81.847
868	8.67000	82.301
869	8.68000	82.786
870	8.69000	83.254
871	8.70000	83.682
872	8.71000	84.055
873	8.72000	84.351
874	8.73000	84.574
875	8.74000	84.789
876	8.75000	85.113
877	8.76000	85.502
878	8.77000	85.924
879	8.78000	86.323
880	8.79000	86.644
881	8.80000	86.858
882	8.81000	86.939
883	8.82000	86.893
884	8.83000	86.742
885	8.84000	86.572
886	8.85000	86.477
887	8.86000	86.394
888	8.87000	86.363
889	8.88000	86.392
890	8.89000	86.468
891	8.90000	86.570
892	8.91000	86.680
893	8.92000	86.779
894	8.93000	86.841
895	8.94000	86.846
896	8.95000	86.807
897	8.96000	86.752
898	8.97000	86.722
899	8.98000	86.735
900	8.99000	86.799
901	9.00000	86.907
902	9.01000	87.035
903	9.02000	87.158
904	9.03000	87.248
905	9.04000	87.290
906	9.05000	87.284
907	9.06000	87.234
908	9.07000	87.160
909	9.08000	87.102
910	9.09000	87.085
911	9.10000	87.115
912	9.11000	87.190
913	9.12000	87.317
914	9.13000	87.486
915	9.14000	87.682
916	9.15000	87.889
917	9.16000	88.083
918	9.17000	88.245
919	9.18000	88.374
920	9.19000	88.477
921	9.20000	88.555
922	9.21000	88.619
923	9.22000	88.682
924	9.23000	88.753
925	9.24000	88.845
926	9.25000	88.962
927	9.26000	89.097
928	9.27000	89.239
929	9.28000	89.387
930	9.29000	89.544
931	9.30000	89.698
932	9.31000	89.838
933	9.32000	89.969
934	9.33000	90.096
935	9.34000	90.226
936	9.35000	90.361
937	9.36000	90.493
938	9.37000	90.625
939	9.38000	90.762
940	9.39000	90.910
941	9.40000	91.070
942	9.41000	91.234
943	9.42000	91.401
944	9.43000	91.562
945	9.44000	91.708
946	9.45000	91.842
947	9.46000	91.940
948	9.47000	92.023
949	9.48000	92.089
950	9.49000	92.142
951	9.50000	92.192
952	9.51000	92.241
953	9.52000	92.289
954	9.53000	92.333
955	9.54000	92.371
956	9.55000	92.403
957	9.56000	92.411
958	9.57000	92.411
959	9.58000	92.390
960	9.59000	92.353
961	9.60000	92.307
962	9.61000	92.254
963	9.62000	92.194
964	9.63000	92.127
965	9.64000	92.054
966	9.65000	91.974
967	9.66000	91.883
968	9.67000	91.788
969	9.68000	91.690
970	9.69000	91.600
971	9.70000	91.512
972	9.71000	91.428
973	9.72000	91.334
974	9.73000	91.216
975	9.74000	91.057
976	9.75000	90.845
977	9.76000	90.577
978	9.77000	90.266
979	9.78000	89.929
980	9.79000	89.580
981	9.80000	89.233
982	9.81000	88.904
983	9.82000	88.594
984	9.83000	88.303
985	9.84000	88.025
986	9.85000	87.737
987	9.86000	87.437
988	9.87000	87.129
989	9.88000	86.807
990	9.89000	86.468
991	9.90000	86.103
992	9.91000	85.713
993	9.92000	85.299
994	9.93000	84.862
995	9.94000	84.407
996	9.95000	83.958
997	9.96000	83.498
998	9.97000	83.027
999	9.98000	82.544
1000	9.99000	82.051
