NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:23:04
DATA_INCLUDED	Position
DATA_TYPES	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z

Frame	Time	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	
20	0.19000	285.547	252.100	1606.457	496.955	217.283	38.874	322.479	181.881	588.673	238.227	203.721	105.675	252.847	-180.832	111.064	314.168	-147.840	592.252	510.954	-199.859	40.094	310.138	-203.240	1615.737	304.945	-194.229	1042.460	0.000	0.000	0.000
21	0.20000	285.448	252.083	1606.404	496.966	217.286	38.887	322.336	181.813	588.661	238.213	203.738	105.703	252.854	-180.854	111.071	314.144	-147.927	592.275	510.958	-199.859	40.096	310.038	-203.241	1615.753	304.829	-194.308	1042.440	0.000	0.000	0.000
22	0.21000	285.315	252.074	1606.337	496.955	217.276	38.860	322.164	181.779	588.688	238.202	203.739	105.690	252.840	-180.857	111.088	314.105	-147.948	592.283	510.955	-199.843	40.081	309.939	-203.245	1615.782	304.698	-194.401	1042.440	0.000	0.000	0.000
23	0.22000	285.190	252.061	1606.274	496.952	217.273	38.868	322.017	181.774	588.726	238.187	203.764	105.698	252.833	-180.866	111.074	314.087	-147.942	592.249	510.957	-199.876	40.091	309.847	-203.257	1615.851	304.597	-194.500	1042.497	0.000	0.000	0.000
24	0.23000	285.090	252.044	1606.232	496.964	217.286	38.868	321.854	181.744	588.749	238.195	203.759	105.708	252.834	-180.868	111.091	314.046	-148.001	592.270	510.961	-199.870	40.084	309.742	-203.266	1615.877	304.501	-194.598	1042.497	0.000	0.000	0.000
25	0.24000	284.975	251.989	1606.191	496.951	217.280	38.863	321.650	181.675	588.780	238.169	203.765	105.721	252.824	-180.908	111.118	314.002	-148.064	592.273	510.964	-199.850	40.087	309.648	-203.294	1615.972	304.461	-194.707	1042.474	0.000	0.000	0.000
26	0.25000	284.862	251.953	1606.179	496.941	217.275	38.880	321.432	181.625	588.776	238.165	203.757	105.714	252.816	-180.924	111.084	313.980	-148.099	592.266	510.944	-199.862	40.087	309.559	-203.309	1616.053	304.376	-194.836	1042.453	0.000	0.000	0.000
27	0.26000	284.744	251.934	1606.138	496.948	217.290	38.904	321.238	181.543	588.774	238.148	203.725	105.706	252.812	-180.911	111.060	313.960	-148.139	592.238	510.955	-199.846	40.090	309.490	-203.342	1616.113	304.385	-194.928	1042.448	0.000	0.000	0.000
28	0.27000	284.619	251.901	1606.114	496.939	217.283	38.920	321.091	181.485	588.787	238.110	203.706	105.692	252.798	-180.917	111.050	313.945	-148.190	592.215	510.952	-199.853	40.105	309.512	-204.158	1616.983	304.381	-195.039	1042.399	0.000	0.000	0.000
29	0.28000	284.504	251.856	1606.099	496.948	217.290	38.922	320.975	181.412	588.802	238.112	203.649	105.687	252.808	-180.894	111.032	313.938	-148.248	592.235	510.950	-199.859	40.104	309.472	-204.127	1616.932	304.387	-195.121	1042.442	0.000	0.000	0.000
30	0.29000	284.386	251.838	1606.105	496.935	217.287	38.944	320.865	181.341	588.769	238.099	203.642	105.709	252.819	-180.911	111.026	313.947	-148.286	592.220	510.946	-199.852	40.115	309.416	-204.225	1616.998	304.373	-195.175	1042.468	0.000	0.000	0.000
31	0.30000	284.288	251.781	1606.110	496.932	217.281	38.940	320.795	181.297	588.747	238.099	203.620	105.684	252.826	-180.904	111.023	313.950	-148.384	592.258	510.946	-199.847	40.127	309.400	-204.275	1617.045	304.351	-195.266	1042.460	0.000	0.000	0.000
32	0.31000	284.202	251.708	1606.111	496.934	217.302	38.923	320.753	181.266	588.759	238.123	203.579	105.679	252.834	-180.925	111.021	313.921	-148.445	592.272	510.950	-199.857	40.102	309.375	-204.266	1617.009	304.378	-195.336	1042.507	0.000	0.000	0.000
33	0.32000	284.110	251.661	1606.088	496.941	217.295	38.921	320.689	181.182	588.721	238.133	203.572	105.693	252.839	-180.931	111.024	313.944	-148.445	592.221	510.959	-199.853	40.105	309.387	-204.353	1617.040	304.355	-195.429	1042.523	0.000	0.000	0.000
34	0.33000	284.019	251.609	1606.111	496.957	217.299	38.901	320.634	181.146	588.728	238.171	203.562	105.671	252.831	-180.937	110.999	313.939	-148.474	592.225	510.955	-199.838	40.091	309.391	-204.374	1617.022	304.309	-195.525	1042.534	0.000	0.000	0.000
35	0.34000	283.933	251.531	1606.127	496.958	217.311	38.877	320.609	181.089	588.729	238.174	203.539	105.709	252.855	-180.969	111.011	313.947	-148.504	592.210	510.960	-199.837	40.102	309.351	-204.449	1617.024	304.341	-195.599	1042.504	0.000	0.000	0.000
36	0.35000	283.833	251.487	1606.150	496.965	217.299	38.861	320.528	181.076	588.770	238.208	203.517	105.731	252.840	-180.953	110.981	313.961	-148.543	592.190	510.951	-199.841	40.101	309.387	-204.525	1617.076	304.283	-195.668	1042.536	0.000	0.000	0.000
37	0.36000	283.728	251.367	1606.162	496.959	217.294	38.854	320.440	181.026	588.771	238.183	203.523	105.719	252.865	-180.987	111.011	313.958	-148.535	592.175	510.957	-199.842	40.090	309.386	-204.572	1617.096	304.211	-195.740	1042.588	0.000	0.000	0.000
38	0.37000	283.650	251.275	1606.173	496.956	217.293	38.866	320.342	181.036	588.790	238.175	203.522	105.698	252.845	-180.960	110.971	313.943	-148.592	592.223	510.957	-199.829	40.081	309.434	-204.490	1616.960	304.179	-195.804	1042.544	0.000	0.000	0.000
39	0.38000	283.524	251.214	1606.193	496.959	217.303	38.888	320.238	181.044	588.808	238.135	203.534	105.729	252.846	-180.998	111.009	313.912	-148.586	592.243	510.946	-199.843	40.085	309.399	-204.540	1616.894	304.108	-195.872	1042.561	0.000	0.000	0.000
40	0.39000	283.438	251.105	1606.220	496.957	217.315	38.894	320.134	181.008	588.811	238.128	203.541	105.726	252.839	-180.982	111.006	313.876	-148.627	592.202	510.958	-199.825	40.075	309.477	-204.773	1617.067	304.030	-195.930	1042.560	0.000	0.000	0.000
41	0.40000	283.333	251.038	1606.207	496.961	217.310	38.905	320.060	181.003	588.837	238.109	203.562	105.719	252.828	-180.997	110.999	313.825	-148.682	592.245	510.969	-199.822	40.070	309.466	-204.742	1616.953	303.947	-196.010	1042.584	0.000	0.000	0.000
42	0.41000	283.214	250.936	1606.236	496.953	217.307	38.916	319.980	180.953	588.808	238.115	203.559	105.709	252.822	-181.011	110.989	313.775	-148.708	592.245	510.963	-199.832	40.092	309.411	-204.251	1616.339	303.907	-196.066	1042.560	0.000	0.000	0.000
43	0.42000	283.110	250.838	1606.264	496.932	217.299	38.927	319.904	180.908	588.847	238.109	203.544	105.714	252.822	-181.013	110.995	313.728	-148.737	592.216	510.956	-199.833	40.073	309.450	-205.001	1616.997	303.871	-196.119	1042.521	0.000	0.000	0.000
44	0.43000	283.018	250.720	1606.264	496.946	217.299	38.928	319.827	180.830	588.805	238.095	203.540	105.716	252.824	-181.038	111.016	313.685	-148.746	592.226	510.951	-199.832	40.073	309.384	-204.442	1616.307	303.831	-196.170	1042.498	0.000	0.000	0.000
45	0.44000	282.921	250.600	1606.283	496.947	217.295	38.921	319.769	180.818	588.837	238.107	203.531	105.687	252.815	-181.013	110.954	313.636	-148.786	592.215	510.957	-199.813	40.097	309.376	-205.149	1616.809	303.805	-196.241	1042.423	0.000	0.000	0.000
46	0.45000	282.800	250.486	1606.312	496.933	217.289	38.907	319.730	180.772	588.860	238.088	203.520	105.747	252.805	-181.011	110.961	313.613	-148.801	592.193	510.957	-199.833	40.091	309.372	-205.281	1616.810	303.741	-196.268	1042.378	0.000	0.000	0.000
47	0.46000	282.711	250.359	1606.315	496.955	217.310	38.913	319.710	180.756	588.869	238.101	203.516	105.741	252.797	-180.984	110.932	313.573	-148.793	592.162	510.957	-199.825	40.077	309.255	-204.776	1616.172	303.701	-196.301	1042.378	0.000	0.000	0.000
48	0.47000	282.616	250.273	1606.360	496.947	217.299	38.909	319.696	180.734	588.869	238.090	203.506	105.744	252.811	-180.975	110.935	313.537	-148.832	592.196	510.959	-199.825	40.075	309.204	-204.888	1616.102	303.695	-196.349	1042.353	0.000	0.000	0.000
49	0.48000	282.526	250.167	1606.385	496.958	217.317	38.907	319.675	180.707	588.876	238.101	203.478	105.744	252.815	-180.967	110.943	313.493	-148.841	592.176	510.961	-199.820	40.074	309.162	-205.498	1616.594	303.663	-196.384	1042.331	0.000	0.000	0.000
50	0.49000	282.477	250.044	1606.397	496.950	217.322	38.908	319.671	180.678	588.873	238.154	203.461	105.722	252.833	-180.985	110.954	313.462	-148.858	592.180	510.956	-199.819	40.078	309.058	-205.143	1616.075	303.649	-196.403	1042.365	0.000	0.000	0.000
51	0.50000	282.401	249.926	1606.425	496.954	217.312	38.905	319.656	180.656	588.871	238.136	203.437	105.734	252.820	-180.989	110.928	313.414	-148.889	592.187	510.953	-199.819	40.069	308.999	-205.245	1616.058	303.655	-196.441	1042.345	0.000	0.000	0.000
52	0.51000	282.304	249.795	1606.435	496.947	217.305	38.904	319.660	180.620	588.852	238.140	203.433	105.755	252.806	-180.987	110.925	313.386	-148.910	592.179	510.961	-199.807	40.062	308.962	-205.871	1616.490	303.708	-196.510	1042.321	0.000	0.000	0.000
