NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:05
DATA_INCLUDED	Angle
DATA_TYPES	LL_Angle

Frame	Time	LL_Angle	
1	0.00000	94.667
2	0.01000	94.676
3	0.02000	94.684
4	0.03000	94.691
5	0.04000	94.696
6	0.05000	94.701
7	0.06000	94.706
8	0.07000	94.708
9	0.08000	94.708
10	0.09000	94.706
11	0.10000	94.704
12	0.11000	94.698
13	0.12000	94.692
14	0.13000	94.683
15	0.14000	94.674
16	0.15000	94.668
17	0.16000	94.668
18	0.17000	94.673
19	0.18000	94.682
20	0.19000	94.698
21	0.20000	94.716
22	0.21000	94.737
23	0.22000	94.759
24	0.23000	94.780
25	0.24000	94.798
26	0.25000	94.816
27	0.26000	94.831
28	0.27000	94.843
29	0.28000	94.853
30	0.29000	94.861
31	0.30000	94.869
32	0.31000	94.881
33	0.32000	94.894
34	0.33000	94.907
35	0.34000	94.920
36	0.35000	94.934
37	0.36000	94.945
38	0.37000	94.954
39	0.38000	94.961
40	0.39000	94.967
41	0.40000	94.970
42	0.41000	94.977
43	0.42000	94.985
44	0.43000	94.992
45	0.44000	94.999
46	0.45000	95.006
47	0.46000	95.012
48	0.47000	95.018
49	0.48000	95.023
50	0.49000	95.025
51	0.50000	95.026
52	0.51000	95.026
53	0.52000	95.024
54	0.53000	95.020
55	0.54000	95.015
56	0.55000	95.014
57	0.56000	95.012
58	0.57000	95.013
59	0.58000	95.015
60	0.59000	95.019
61	0.60000	95.023
62	0.61000	95.025
63	0.62000	95.027
64	0.63000	95.029
65	0.64000	95.029
66	0.65000	95.031
67	0.66000	95.028
68	0.67000	95.025
69	0.68000	95.023
70	0.69000	95.019
71	0.70000	95.013
72	0.71000	95.005
73	0.72000	94.998
74	0.73000	94.994
75	0.74000	94.993
76	0.75000	94.994
77	0.76000	94.997
78	0.77000	95.004
79	0.78000	95.012
80	0.79000	95.018
81	0.80000	95.022
82	0.81000	95.021
83	0.82000	95.020
84	0.83000	95.017
85	0.84000	95.013
86	0.85000	95.008
87	0.86000	95.003
88	0.87000	94.999
89	0.88000	94.995
90	0.89000	94.991
91	0.90000	94.988
92	0.91000	94.988
93	0.92000	94.989
94	0.93000	94.990
95	0.94000	94.990
96	0.95000	94.990
97	0.96000	94.990
98	0.97000	94.989
99	0.98000	94.989
100	0.99000	94.987
101	1.00000	94.988
102	1.01000	94.991
103	1.02000	94.994
104	1.03000	94.996
105	1.04000	94.997
106	1.05000	94.997
107	1.06000	94.997
108	1.07000	94.996
109	1.08000	94.995
110	1.09000	94.994
111	1.10000	94.995
112	1.11000	94.997
113	1.12000	95.001
114	1.13000	95.004
115	1.14000	95.006
116	1.15000	95.009
117	1.16000	95.011
118	1.17000	95.011
119	1.18000	95.010
120	1.19000	95.005
121	1.20000	95.000
122	1.21000	94.995
123	1.22000	94.988
124	1.23000	94.982
125	1.24000	94.979
126	1.25000	94.978
127	1.26000	94.982
128	1.27000	94.985
129	1.28000	94.990
130	1.29000	94.993
131	1.30000	94.996
132	1.31000	94.996
133	1.32000	94.993
134	1.33000	94.989
135	1.34000	94.986
136	1.35000	94.982
137	1.36000	94.980
138	1.37000	94.980
139	1.38000	94.981
140	1.39000	94.983
141	1.40000	94.983
142	1.41000	94.983
143	1.42000	94.982
144	1.43000	94.979
145	1.44000	94.975
146	1.45000	94.967
147	1.46000	94.958
148	1.47000	94.950
149	1.48000	94.941
150	1.49000	94.933
151	1.50000	94.925
152	1.51000	94.919
153	1.52000	94.914
154	1.53000	94.910
155	1.54000	94.906
156	1.55000	94.901
157	1.56000	94.896
158	1.57000	94.892
159	1.58000	94.885
160	1.59000	94.876
161	1.60000	94.866
162	1.61000	94.855
163	1.62000	94.845
164	1.63000	94.839
165	1.64000	94.840
166	1.65000	94.849
167	1.66000	94.869
168	1.67000	94.899
169	1.68000	94.936
170	1.69000	94.980
171	1.70000	95.029
172	1.71000	95.082
173	1.72000	95.140
174	1.73000	95.202
175	1.74000	95.269
176	1.75000	95.344
177	1.76000	95.428
