NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:38:10
DATA_INCLUDED	Angle
DATA_TYPES	LL_Angle

Frame	Time	LL_Angle	
1	0.00000	95.171
2	0.01000	95.174
3	0.02000	95.179
4	0.03000	95.188
5	0.04000	95.199
6	0.05000	95.215
7	0.06000	95.245
8	0.07000	95.272
9	0.08000	95.291
10	0.09000	95.304
11	0.10000	95.310
12	0.11000	95.307
13	0.12000	95.299
14	0.13000	95.288
15	0.14000	95.279
16	0.15000	95.274
17	0.16000	95.277
18	0.17000	95.285
19	0.18000	95.300
20	0.19000	95.317
21	0.20000	95.335
22	0.21000	95.349
23	0.22000	95.354
24	0.23000	95.352
25	0.24000	95.340
26	0.25000	95.320
27	0.26000	95.294
28	0.27000	95.264
29	0.28000	95.237
30	0.29000	95.215
31	0.30000	95.202
32	0.31000	95.198
33	0.32000	95.200
34	0.33000	95.210
35	0.34000	95.220
36	0.35000	95.230
37	0.36000	95.235
38	0.37000	95.233
39	0.38000	95.224
40	0.39000	95.207
41	0.40000	95.184
42	0.41000	95.159
43	0.42000	95.136
44	0.43000	95.119
45	0.44000	95.109
46	0.45000	95.107
47	0.46000	95.113
48	0.47000	95.124
49	0.48000	95.136
50	0.49000	95.145
51	0.50000	95.152
52	0.51000	95.154
53	0.52000	95.151
54	0.53000	95.145
55	0.54000	95.133
56	0.55000	95.119
57	0.56000	95.105
58	0.57000	95.092
59	0.58000	95.078
60	0.59000	95.066
61	0.60000	95.054
62	0.61000	95.041
63	0.62000	95.023
64	0.63000	95.002
65	0.64000	94.976
66	0.65000	94.944
67	0.66000	94.911
68	0.67000	94.882
69	0.68000	94.861
70	0.69000	94.852
71	0.70000	94.853
72	0.71000	94.865
73	0.72000	94.888
74	0.73000	94.918
75	0.74000	94.948
76	0.75000	94.977
77	0.76000	95.002
78	0.77000	95.023
79	0.78000	95.038
80	0.79000	95.044
81	0.80000	95.044
82	0.81000	95.041
83	0.82000	95.042
84	0.83000	95.045
85	0.84000	95.052
86	0.85000	95.064
87	0.86000	95.079
88	0.87000	95.096
89	0.88000	95.111
90	0.89000	95.124
91	0.90000	95.131
92	0.91000	95.133
93	0.92000	95.130
94	0.93000	95.122
95	0.94000	95.110
96	0.95000	95.097
97	0.96000	95.087
98	0.97000	95.083
99	0.98000	95.082
100	0.99000	95.086
101	1.00000	95.091
102	1.01000	95.096
103	1.02000	95.098
104	1.03000	95.096
105	1.04000	95.089
