NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:27:00
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
1	0.00000	165.300
2	0.01000	165.328
3	0.02000	165.351
4	0.03000	165.368
5	0.04000	165.379
6	0.05000	165.384
7	0.06000	165.381
8	0.07000	165.371
9	0.08000	165.357
10	0.09000	165.339
11	0.10000	165.323
12	0.11000	165.310
13	0.12000	165.304
14	0.13000	165.305
15	0.14000	165.310
16	0.15000	165.321
17	0.16000	165.333
18	0.17000	165.343
19	0.18000	165.349
20	0.19000	165.351
21	0.20000	165.348
22	0.21000	165.342
23	0.22000	165.336
24	0.23000	165.333
25	0.24000	165.332
26	0.25000	165.337
27	0.26000	165.346
28	0.27000	165.359
29	0.28000	165.374
30	0.29000	165.388
31	0.30000	165.398
32	0.31000	165.402
33	0.32000	165.401
34	0.33000	165.395
35	0.34000	165.384
36	0.35000	165.371
37	0.36000	165.362
38	0.37000	165.360
39	0.38000	165.367
40	0.39000	165.381
41	0.40000	165.401
42	0.41000	165.423
43	0.42000	165.442
44	0.43000	165.455
45	0.44000	165.456
46	0.45000	165.445
47	0.46000	165.423
48	0.47000	165.395
49	0.48000	165.365
50	0.49000	165.336
51	0.50000	165.313
52	0.51000	165.299
53	0.52000	165.293
54	0.53000	165.295
55	0.54000	165.301
56	0.55000	165.307
57	0.56000	165.312
58	0.57000	165.313
59	0.58000	165.311
60	0.59000	165.306
61	0.60000	165.299
62	0.61000	165.293
63	0.62000	165.288
64	0.63000	165.287
65	0.64000	165.292
66	0.65000	165.300
67	0.66000	165.311
68	0.67000	165.322
69	0.68000	165.333
70	0.69000	165.337
71	0.70000	165.335
72	0.71000	165.327
73	0.72000	165.312
74	0.73000	165.294
75	0.74000	165.278
76	0.75000	165.264
77	0.76000	165.257
78	0.77000	165.257
79	0.78000	165.265
80	0.79000	165.277
81	0.80000	165.290
82	0.81000	165.299
83	0.82000	165.302
84	0.83000	165.298
85	0.84000	165.286
86	0.85000	165.269
87	0.86000	165.251
88	0.87000	165.235
89	0.88000	165.225
90	0.89000	165.224
91	0.90000	165.231
92	0.91000	165.245
93	0.92000	165.264
94	0.93000	165.284
95	0.94000	165.296
96	0.95000	165.298
97	0.96000	165.289
98	0.97000	165.269
99	0.98000	165.243
100	0.99000	165.213
101	1.00000	165.185
102	1.01000	165.162
103	1.02000	165.148
104	1.03000	165.143
105	1.04000	165.143
106	1.05000	165.147
107	1.06000	165.153
108	1.07000	165.159
109	1.08000	165.156
110	1.09000	165.144
111	1.10000	165.119
112	1.11000	165.074
113	1.12000	165.001
114	1.13000	164.893
115	1.14000	164.745
116	1.15000	164.554
117	1.16000	164.316
118	1.17000	164.037
119	1.18000	163.721
120	1.19000	163.381
121	1.20000	163.024
122	1.21000	162.654
123	1.22000	162.276
124	1.23000	161.894
125	1.24000	161.505
126	1.25000	161.111
127	1.26000	160.712
128	1.27000	160.316
129	1.28000	159.929
130	1.29000	159.553
131	1.30000	159.192
132	1.31000	158.843
133	1.32000	158.497
134	1.33000	158.139
135	1.34000	157.747
