NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:39:03
DATA_INCLUDED	Angle
DATA_TYPES	HR_Angle

Frame	Time	HR_Angle	
1	0.00000	169.257
2	0.01000	169.261
3	0.02000	169.269
4	0.03000	169.278
5	0.04000	169.291
6	0.05000	169.306
7	0.06000	169.325
8	0.07000	169.346
9	0.08000	169.371
10	0.09000	169.395
11	0.10000	169.415
12	0.11000	169.431
13	0.12000	169.443
14	0.13000	169.452
15	0.14000	169.460
16	0.15000	169.469
17	0.16000	169.477
18	0.17000	169.487
19	0.18000	169.497
20	0.19000	169.508
21	0.20000	169.519
22	0.21000	169.529
23	0.22000	169.539
24	0.23000	169.547
25	0.24000	169.556
26	0.25000	169.562
27	0.26000	169.565
28	0.27000	169.568
29	0.28000	169.570
30	0.29000	169.572
31	0.30000	169.574
32	0.31000	169.576
33	0.32000	169.578
34	0.33000	169.568
35	0.34000	169.574
36	0.35000	169.592
37	0.36000	169.630
38	0.37000	169.645
39	0.38000	169.675
40	0.39000	169.691
41	0.40000	169.693
42	0.41000	169.668
43	0.42000	169.644
44	0.43000	169.619
45	0.44000	169.623
46	0.45000	169.642
47	0.46000	169.674
48	0.47000	169.686
49	0.48000	169.723
50	0.49000	169.741
51	0.50000	169.747
52	0.51000	169.740
53	0.52000	169.742
54	0.53000	169.743
55	0.54000	169.744
56	0.55000	169.746
57	0.56000	169.748
58	0.57000	169.753
59	0.58000	169.763
60	0.59000	169.775
61	0.60000	169.788
62	0.61000	169.804
63	0.62000	169.818
64	0.63000	169.832
65	0.64000	169.848
66	0.65000	169.865
67	0.66000	169.882
68	0.67000	169.902
69	0.68000	169.920
70	0.69000	169.934
71	0.70000	169.945
72	0.71000	169.954
73	0.72000	169.961
74	0.73000	169.966
75	0.74000	169.972
76	0.75000	169.976
77	0.76000	169.978
78	0.77000	169.982
79	0.78000	169.983
80	0.79000	169.982
81	0.80000	169.980
82	0.81000	169.976
83	0.82000	169.971
84	0.83000	169.963
85	0.84000	169.954
86	0.85000	169.945
87	0.86000	169.934
88	0.87000	169.925
89	0.88000	169.915
90	0.89000	169.907
91	0.90000	169.901
92	0.91000	169.894
93	0.92000	169.889
94	0.93000	169.882
95	0.94000	169.876
96	0.95000	169.870
97	0.96000	169.863
98	0.97000	169.854
99	0.98000	169.844
100	0.99000	169.834
101	1.00000	169.825
102	1.01000	169.818
103	1.02000	169.814
104	1.03000	169.811
105	1.04000	169.810
106	1.05000	169.810
107	1.06000	169.811
108	1.07000	169.809
109	1.08000	169.808
110	1.09000	169.804
111	1.10000	169.799
112	1.11000	169.794
113	1.12000	169.789
114	1.13000	169.784
115	1.14000	169.779
116	1.15000	169.773
117	1.16000	169.771
118	1.17000	169.771
119	1.18000	169.773
120	1.19000	169.775
121	1.20000	169.777
122	1.21000	169.779
123	1.22000	169.776
124	1.23000	169.771
125	1.24000	169.760
126	1.25000	169.746
127	1.26000	169.733
128	1.27000	169.722
129	1.28000	169.713
130	1.29000	169.704
131	1.30000	169.697
132	1.31000	169.691
133	1.32000	169.683
134	1.33000	169.676
135	1.34000	169.667
136	1.35000	169.657
137	1.36000	169.649
138	1.37000	169.642
139	1.38000	169.636
140	1.39000	169.630
141	1.40000	169.624
142	1.41000	169.620
143	1.42000	169.617
144	1.43000	169.615
145	1.44000	169.613
146	1.45000	169.613
147	1.46000	169.615
148	1.47000	169.619
149	1.48000	169.619
150	1.49000	169.620
151	1.50000	169.620
152	1.51000	169.624
153	1.52000	169.629
154	1.53000	169.635
155	1.54000	169.641
156	1.55000	169.650
157	1.56000	169.661
158	1.57000	169.672
159	1.58000	169.681
160	1.59000	169.690
161	1.60000	169.697
162	1.61000	169.704
163	1.62000	169.709
164	1.63000	169.711
165	1.64000	169.712
166	1.65000	169.714
167	1.66000	169.714
168	1.67000	169.716
169	1.68000	169.719
170	1.69000	169.724
171	1.70000	169.729
172	1.71000	169.738
173	1.72000	169.745
174	1.73000	169.751
175	1.74000	169.753
176	1.75000	169.750
177	1.76000	169.744
178	1.77000	169.735
179	1.78000	169.725
180	1.79000	169.717
181	1.80000	169.721
182	1.81000	169.711
183	1.82000	169.684
184	1.83000	169.646
185	1.84000	169.598
186	1.85000	169.544
187	1.86000	169.486
188	1.87000	169.430
189	1.88000	169.380
190	1.89000	169.334
191	1.90000	169.287
192	1.91000	169.212
193	1.92000	169.121
194	1.93000	169.020
195	1.94000	168.911
196	1.95000	168.797
197	1.96000	168.681
198	1.97000	168.571
199	1.98000	168.469
200	1.99000	168.375
201	2.00000	168.291
202	2.01000	168.221
203	2.02000	168.167
204	2.03000	168.125
205	2.04000	168.092
206	2.05000	168.060
207	2.06000	168.021
208	2.07000	167.974
209	2.08000	167.921
210	2.09000	167.857
211	2.10000	167.787
212	2.11000	167.713
213	2.12000	167.638
214	2.13000	167.565
215	2.14000	167.495
216	2.15000	167.426
217	2.16000	167.361
218	2.17000	167.294
219	2.18000	167.224
220	2.19000	167.149
221	2.20000	167.066
222	2.21000	166.980
223	2.22000	166.898
224	2.23000	166.821
225	2.24000	166.754
226	2.25000	166.697
227	2.26000	166.650
228	2.27000	166.612
229	2.28000	166.582
230	2.29000	166.557
231	2.30000	166.530
232	2.31000	166.499
233	2.32000	166.457
234	2.33000	166.397
235	2.34000	166.318
236	2.35000	166.212
237	2.36000	166.103
238	2.37000	166.000
239	2.38000	165.908
240	2.39000	165.833
241	2.40000	165.769
242	2.41000	165.706
243	2.42000	165.627
244	2.43000	165.483
245	2.44000	165.254
246	2.45000	164.924
247	2.46000	164.516
248	2.47000	164.033
249	2.48000	163.485
250	2.49000	162.893
251	2.50000	162.269
252	2.51000	161.629
253	2.52000	160.971
254	2.53000	160.273
255	2.54000	159.548
256	2.55000	158.790
257	2.56000	158.010
258	2.57000	157.210
259	2.58000	156.392
260	2.59000	155.555
261	2.60000	154.701
262	2.61000	153.834
263	2.62000	152.960
264	2.63000	152.086
265	2.64000	151.221
266	2.65000	150.362
267	2.66000	149.516
268	2.67000	148.684
269	2.68000	147.865
270	2.69000	147.052
271	2.70000	146.241
272	2.71000	145.426
273	2.72000	144.601
274	2.73000	143.758
275	2.74000	142.897
276	2.75000	142.014
277	2.76000	141.116
278	2.77000	140.211
279	2.78000	139.316
280	2.79000	138.448
281	2.80000	137.617
282	2.81000	136.827
283	2.82000	136.077
284	2.83000	135.359
285	2.84000	134.673
286	2.85000	134.001
287	2.86000	133.337
288	2.87000	132.666
289	2.88000	131.977
290	2.89000	131.264
291	2.90000	130.522
292	2.91000	129.736
293	2.92000	128.911
294	2.93000	128.045
295	2.94000	127.146
296	2.95000	126.213
297	2.96000	125.266
298	2.97000	124.310
299	2.98000	123.348
300	2.99000	122.398
301	3.00000	121.475
302	3.01000	120.587
303	3.02000	119.744
304	3.03000	118.945
305	3.04000	118.182
306	3.05000	117.440
307	3.06000	116.729
308	3.07000	116.038
309	3.08000	115.355
310	3.09000	114.688
311	3.10000	114.039
312	3.11000	113.413
313	3.12000	112.804
314	3.13000	112.209
315	3.14000	111.609
316	3.15000	110.995
317	3.16000	110.368
318	3.17000	109.720
319	3.18000	109.056
320	3.19000	108.386
321	3.20000	107.721
322	3.21000	107.077
323	3.22000	106.466
324	3.23000	105.891
325	3.24000	105.354
326	3.25000	104.848
327	3.26000	104.363
328	3.27000	103.888
329	3.28000	103.419
330	3.29000	102.952
331	3.30000	102.481
332	3.31000	102.003
333	3.32000	101.518
334	3.33000	101.025
335	3.34000	100.534
336	3.35000	100.044
337	3.36000	99.561
338	3.37000	99.090
339	3.38000	98.634
340	3.39000	98.193
341	3.40000	97.762
342	3.41000	97.338
343	3.42000	96.921
344	3.43000	96.510
345	3.44000	96.115
346	3.45000	95.737
347	3.46000	95.380
348	3.47000	95.042
349	3.48000	94.718
350	3.49000	94.401
351	3.50000	94.088
352	3.51000	93.771
353	3.52000	93.446
354	3.53000	93.108
355	3.54000	92.763
356	3.55000	92.411
357	3.56000	92.061
358	3.57000	91.721
359	3.58000	91.397
360	3.59000	91.095
361	3.60000	90.817
362	3.61000	90.560
363	3.62000	90.317
364	3.63000	90.079
365	3.64000	89.834
366	3.65000	89.574
367	3.66000	89.290
368	3.67000	88.979
369	3.68000	88.645
370	3.69000	88.294
371	3.70000	87.934
372	3.71000	87.577
373	3.72000	87.231
374	3.73000	86.902
375	3.74000	86.594
376	3.75000	86.307
377	3.76000	86.039
378	3.77000	85.788
379	3.78000	85.562
380	3.79000	85.360
381	3.80000	85.182
382	3.81000	85.024
383	3.82000	84.887
384	3.83000	84.766
385	3.84000	84.660
386	3.85000	84.568
387	3.86000	84.489
388	3.87000	84.424
389	3.88000	84.379
390	3.89000	84.341
391	3.90000	84.316
392	3.91000	84.295
393	3.92000	84.280
394	3.93000	84.268
395	3.94000	84.265
396	3.95000	84.273
397	3.96000	84.298
398	3.97000	84.336
399	3.98000	84.387
400	3.99000	84.441
401	4.00000	84.502
402	4.01000	84.571
403	4.02000	84.652
404	4.03000	84.753
405	4.04000	84.877
406	4.05000	85.015
407	4.06000	85.161
408	4.07000	85.298
409	4.08000	85.416
410	4.09000	85.499
411	4.10000	85.540
412	4.11000	85.546
413	4.12000	85.516
414	4.13000	85.447
415	4.14000	85.330
416	4.15000	85.166
417	4.16000	84.968
418	4.17000	84.756
419	4.18000	84.549
420	4.19000	84.354
421	4.20000	84.187
422	4.21000	84.056
423	4.22000	83.952
424	4.23000	83.854
425	4.24000	83.745
426	4.25000	83.618
427	4.26000	83.473
428	4.27000	83.315
429	4.28000	83.148
430	4.29000	82.977
431	4.30000	82.809
432	4.31000	82.649
433	4.32000	82.500
434	4.33000	82.362
435	4.34000	82.235
436	4.35000	82.122
437	4.36000	82.019
438	4.37000	81.930
439	4.38000	81.863
440	4.39000	81.821
441	4.40000	81.803
442	4.41000	81.806
443	4.42000	81.830
444	4.43000	81.868
445	4.44000	81.910
446	4.45000	81.952
447	4.46000	81.982
448	4.47000	82.004
449	4.48000	82.022
450	4.49000	82.036
451	4.50000	82.046
452	4.51000	82.055
453	4.52000	82.063
454	4.53000	82.070
455	4.54000	82.076
456	4.55000	82.083
457	4.56000	82.089
458	4.57000	82.100
459	4.58000	82.113
460	4.59000	82.128
461	4.60000	82.139
462	4.61000	82.147
463	4.62000	82.145
464	4.63000	82.130
465	4.64000	82.100
466	4.65000	82.060
467	4.66000	82.013
468	4.67000	81.965
469	4.68000	81.921
470	4.69000	81.886
471	4.70000	81.854
472	4.71000	81.833
473	4.72000	81.814
474	4.73000	81.798
475	4.74000	81.782
476	4.75000	81.770
477	4.76000	81.762
478	4.77000	81.760
479	4.78000	81.768
480	4.79000	81.794
481	4.80000	81.841
482	4.81000	81.912
483	4.82000	82.000
484	4.83000	82.101
485	4.84000	82.205
486	4.85000	82.303
487	4.86000	82.385
488	4.87000	82.447
489	4.88000	82.489
490	4.89000	82.521
491	4.90000	82.540
492	4.91000	82.552
493	4.92000	82.562
494	4.93000	82.573
