NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:40:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-0.919
3	0.02000	-0.305
4	0.03000	0.224
5	0.04000	0.667
6	0.05000	1.023
7	0.06000	1.293
8	0.07000	1.850
9	0.08000	2.076
10	0.09000	1.794
11	0.10000	1.363
12	0.11000	1.049
13	0.12000	0.989
14	0.13000	1.192
15	0.14000	1.591
16	0.15000	2.088
17	0.16000	2.609
18	0.17000	3.053
19	0.18000	3.389
20	0.19000	3.550
21	0.20000	3.491
22	0.21000	3.254
23	0.22000	3.083
24	0.23000	2.966
25	0.24000	2.635
26	0.25000	2.269
27	0.26000	2.022
28	0.27000	1.776
29	0.28000	1.538
30	0.29000	1.293
31	0.30000	0.910
32	0.31000	0.399
33	0.32000	-0.877
34	0.33000	-0.915
35	0.34000	0.720
36	0.35000	2.889
37	0.36000	2.703
38	0.37000	2.286
39	0.38000	2.759
40	0.39000	1.238
41	0.40000	-1.140
42	0.41000	-2.471
43	0.42000	-2.015
44	0.43000	0.202
45	0.44000	3.438
46	0.45000	5.364
47	0.46000	4.462
48	0.47000	4.327
49	0.48000	4.413
50	0.49000	2.015
51	0.50000	0.105
52	0.51000	0.002
53	0.52000	0.765
54	0.53000	0.802
55	0.54000	0.875
56	0.55000	0.630
57	0.56000	0.326
58	0.57000	0.352
59	0.58000	0.260
60	0.59000	-0.195
61	0.60000	-0.413
62	0.61000	-0.617
63	0.62000	-0.931
64	0.63000	-0.937
65	0.64000	-0.850
66	0.65000	-0.712
67	0.66000	-0.400
68	0.67000	-0.320
69	0.68000	-0.663
70	0.69000	-0.996
71	0.70000	-1.155
72	0.71000	-1.168
73	0.72000	-1.025
74	0.73000	-0.793
75	0.74000	-0.473
76	0.75000	-0.236
77	0.76000	0.023
78	0.77000	0.219
79	0.78000	0.207
80	0.79000	0.281
81	0.80000	0.380
82	0.81000	0.488
83	0.82000	0.619
84	0.83000	0.803
85	0.84000	1.138
86	0.85000	1.387
