NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:26:23
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HL_Angular_Velocity

Frame	Time	HL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	2.310
3	0.02000	1.843
4	0.03000	1.427
5	0.04000	1.060
6	0.05000	0.744
7	0.06000	0.477
8	0.07000	0.146
9	0.08000	-0.107
10	0.09000	-0.108
11	0.10000	0.021
12	0.11000	0.095
13	0.12000	0.227
14	0.13000	0.312
15	0.14000	0.406
16	0.15000	0.490
17	0.16000	0.471
18	0.17000	0.366
19	0.18000	0.180
20	0.19000	-0.081
21	0.20000	-0.383
22	0.21000	-0.576
23	0.22000	-0.668
24	0.23000	-0.694
25	0.24000	-0.633
26	0.25000	-0.532
27	0.26000	-0.384
28	0.27000	-0.262
29	0.28000	-0.240
30	0.29000	-0.265
31	0.30000	-0.334
32	0.31000	-0.448
33	0.32000	-0.629
34	0.33000	-0.852
35	0.34000	-1.096
36	0.35000	-1.145
37	0.36000	-1.033
38	0.37000	-0.823
39	0.38000	-0.507
40	0.39000	-0.181
41	0.40000	0.089
42	0.41000	0.188
43	0.42000	0.112
44	0.43000	-0.287
45	0.44000	-0.904
46	0.45000	-1.478
47	0.46000	-1.995
48	0.47000	-2.188
49	0.48000	-2.012
50	0.49000	-1.622
51	0.50000	-1.024
52	0.51000	-0.418
53	0.52000	0.087
54	0.53000	0.348
55	0.54000	0.339
56	0.55000	0.170
57	0.56000	0.044
58	0.57000	-0.017
59	0.58000	-0.062
60	0.59000	-0.063
61	0.60000	-0.035
62	0.61000	-0.032
63	0.62000	0.015
64	0.63000	0.141
65	0.64000	0.267
66	0.65000	0.396
67	0.66000	0.529
68	0.67000	0.532
69	0.68000	0.415
70	0.69000	0.243
71	0.70000	-0.014
72	0.71000	-0.341
73	0.72000	-0.636
74	0.73000	-0.754
75	0.74000	-0.679
76	0.75000	-0.468
77	0.76000	-0.156
78	0.77000	0.230
79	0.78000	0.492
80	0.79000	0.615
81	0.80000	0.526
82	0.81000	0.240
83	0.82000	-0.077
84	0.83000	-0.362
85	0.84000	-0.579
86	0.85000	-0.656
87	0.86000	-0.617
88	0.87000	-0.449
89	0.88000	-0.141
90	0.89000	0.204
91	0.90000	0.537
92	0.91000	0.814
93	0.92000	1.034
94	0.93000	0.996
95	0.94000	0.682
96	0.95000	0.292
97	0.96000	-0.196
98	0.97000	-0.787
99	0.98000	-1.249
100	0.99000	-1.538
101	1.00000	-1.617
102	1.01000	-1.548
103	1.02000	-1.480
104	1.03000	-1.476
105	1.04000	-1.434
106	1.05000	-1.424
107	1.06000	-1.553
108	1.07000	-1.951
109	1.08000	-2.566
110	1.09000	-3.317
111	1.10000	-4.471
112	1.11000	-6.256
113	1.12000	-8.625
114	1.13000	-11.351
115	1.14000	-14.317
116	1.15000	-17.485
117	1.16000	-20.503
118	1.17000	-23.209
119	1.18000	-25.732
120	1.19000	-28.114
121	1.20000	-30.628
122	1.21000	-33.348
123	1.22000	-36.221
124	1.23000	-39.467
125	1.24000	-42.998
126	1.25000	-46.391
127	1.26000	-49.249
128	1.27000	-51.472
129	1.28000	-53.370
130	1.29000	-54.923
131	1.30000	-56.200
132	1.31000	-57.572
133	1.32000	-59.433
134	1.33000	-62.239
135	1.34000	-65.956
136	1.35000	-69.966
137	1.36000	-73.937
138	1.37000	-77.541
139	1.38000	-80.376
140	1.39000	-82.004
141	1.40000	-83.321
142	1.41000	-84.647
143	1.42000	-85.628
144	1.43000	-87.014
145	1.44000	-88.936
146	1.45000	-91.345
147	1.46000	-94.225
148	1.47000	-96.911
149	1.48000	-98.640
150	1.49000	-99.510
151	1.50000	-100.726
152	1.51000	-102.248
153	1.52000	-104.252
154	1.53000	-107.068
155	1.54000	-109.506
156	1.55000	-111.227
157	1.56000	-112.010
158	1.57000	-111.808
159	1.58000	-111.048
160	1.59000	-110.429
161	1.60000	-110.713
162	1.61000	-112.029
163	1.62000	-114.142
164	1.63000	-116.131
165	1.64000	-116.973
166	1.65000	-116.750
167	1.66000	-115.882
168	1.67000	-114.972
169	1.68000	-114.446
170	1.69000	-114.415
171	1.70000	-114.895
172	1.71000	-115.456
173	1.72000	-115.575
174	1.73000	-114.953
175	1.74000	-113.680
176	1.75000	-112.066
177	1.76000	-110.434
178	1.77000	-109.184
179	1.78000	-108.423
180	1.79000	-108.266
181	1.80000	-108.723
182	1.81000	-109.378
183	1.82000	-110.354
184	1.83000	-111.274
185	1.84000	-111.719
186	1.85000	-111.548
187	1.86000	-110.679
188	1.87000	-109.406
189	1.88000	-107.697
190	1.89000	-105.484
191	1.90000	-102.721
192	1.91000	-99.679
193	1.92000	-97.132
194	1.93000	-95.023
195	1.94000	-93.000
196	1.95000	-91.159
197	1.96000	-89.376
198	1.97000	-87.775
199	1.98000	-86.471
