NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:38:41
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LL_Angular_Acceleration

Frame	Time	LL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	263.580
3	0.02000	180.927
4	0.03000	109.959
5	0.04000	50.674
6	0.05000	3.074
7	0.06000	-32.841
8	0.07000	-83.519
9	0.08000	-59.189
10	0.09000	-66.567
11	0.10000	-92.976
12	0.11000	-43.152
13	0.12000	-34.891
14	0.13000	20.710
15	0.14000	34.059
16	0.15000	85.334
17	0.16000	51.978
18	0.17000	61.102
19	0.18000	33.922
20	0.19000	-2.497
21	0.20000	-37.711
22	0.21000	-82.469
23	0.22000	-80.568
24	0.23000	-92.188
25	0.24000	-81.655
26	0.25000	-54.082
27	0.26000	-49.223
28	0.27000	27.287
29	0.28000	55.868
30	0.29000	88.045
31	0.30000	93.883
32	0.31000	61.392
33	0.32000	72.048
34	0.33000	10.044
35	0.34000	-6.737
36	0.35000	-47.268
37	0.36000	-79.655
38	0.37000	-60.389
39	0.38000	-78.866
40	0.39000	-64.656
41	0.40000	-20.669
42	0.41000	22.457
43	0.42000	66.480
44	0.43000	57.841
45	0.44000	88.577
46	0.45000	76.369
47	0.46000	49.141
48	0.47000	13.181
49	0.48000	-28.229
50	0.49000	-25.860
51	0.50000	-45.416
52	0.51000	-52.107
53	0.52000	-33.007
54	0.53000	-54.057
55	0.54000	-23.089
56	0.55000	-0.139
57	0.56000	5.497
58	0.57000	0.970
59	0.58000	9.894
60	0.59000	8.691
61	0.60000	-23.317
62	0.61000	-40.237
63	0.62000	-29.157
64	0.63000	-56.547
65	0.64000	-50.185
66	0.65000	-18.266
67	0.66000	43.897
68	0.67000	82.856
69	0.68000	110.876
70	0.69000	106.843
71	0.70000	107.939
72	0.71000	107.505
73	0.72000	74.026
74	0.73000	6.142
75	0.74000	-19.350
76	0.75000	-43.696
77	0.76000	-29.969
78	0.77000	-68.048
79	0.78000	-82.328
80	0.79000	-62.864
81	0.80000	-28.969
82	0.81000	31.249
83	0.82000	32.179
84	0.83000	33.682
85	0.84000	50.375
86	0.85000	31.117
87	0.86000	22.746
88	0.87000	-22.035
89	0.88000	-30.448
90	0.89000	-49.473
91	0.90000	-51.389
92	0.91000	-44.518
93	0.92000	-56.134
94	0.93000	-37.351
95	0.94000	-14.209
96	0.95000	31.197
97	0.96000	60.148
98	0.97000	36.495
99	0.98000	40.868
100	0.99000	17.026
101	1.00000	-8.102
102	1.01000	-25.549
103	1.02000	-35.747
104	1.03000	-56.247
105	1.04000	-69.764
106	1.05000	-40.207
107	1.06000	-13.655
108	1.07000	4.962
109	1.08000	31.387
110	1.09000	66.473
111	1.10000	61.684
112	1.11000	74.903
113	1.12000	67.531
114	1.13000	22.115
115	1.14000	-11.009
116	1.15000	-21.048
117	1.16000	-26.237
118	1.17000	-45.969
119	1.18000	-51.748
120	1.19000	-31.748
121	1.20000	-43.773
122	1.21000	-8.716
123	1.22000	16.551
124	1.23000	29.565
125	1.24000	38.674
126	1.25000	42.602
127	1.26000	29.843
128	1.27000	-4.419
129	1.28000	9.930
130	1.29000	-34.730
131	1.30000	-32.359
132	1.31000	-32.084
133	1.32000	-34.735
134	1.33000	-28.134
135	1.34000	-8.407
136	1.35000	26.450
137	1.36000	33.280
138	1.37000	33.874
139	1.38000	47.874
140	1.39000	21.498
141	1.40000	23.285
142	1.41000	-16.118
143	1.42000	-19.681
144	1.43000	-51.451
145	1.44000	-33.335
146	1.45000	-16.584
147	1.46000	-41.762
148	1.47000	-2.808
149	1.48000	18.929
150	1.49000	41.039
151	1.50000	50.938
152	1.51000	44.778
153	1.52000	43.211
154	1.53000	15.919
155	1.54000	1.736
156	1.55000	-21.509
157	1.56000	-42.702
158	1.57000	-15.197
159	1.58000	-34.160
160	1.59000	-43.349
161	1.60000	-21.097
162	1.61000	-29.356
163	1.62000	3.888
164	1.63000	7.976
165	1.64000	31.114
166	1.65000	30.146
167	1.66000	23.508
168	1.67000	32.703
169	1.68000	-0.416
170	1.69000	-37.423
171	1.70000	-24.547
172	1.71000	-57.805
173	1.72000	-46.273
