NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:31:32
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LR_Angular_Velocity

Frame	Time	LR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	0.905
3	0.02000	0.857
4	0.03000	0.792
5	0.04000	0.710
6	0.05000	0.611
7	0.06000	0.495
8	0.07000	0.073
9	0.08000	-0.363
10	0.09000	-0.310
11	0.10000	-0.026
12	0.11000	0.142
13	0.12000	0.462
14	0.13000	0.697
15	0.14000	0.848
16	0.15000	0.908
17	0.16000	0.878
18	0.17000	0.836
19	0.18000	0.727
20	0.19000	0.592
21	0.20000	0.407
22	0.21000	0.228
23	0.22000	0.183
24	0.23000	0.129
25	0.24000	0.088
26	0.25000	0.147
27	0.26000	0.275
28	0.27000	0.451
29	0.28000	0.573
30	0.29000	0.729
31	0.30000	0.797
32	0.31000	0.777
33	0.32000	0.802
34	0.33000	0.657
35	0.34000	0.475
36	0.35000	0.361
37	0.36000	0.328
38	0.37000	0.389
39	0.38000	0.365
40	0.39000	0.340
41	0.40000	0.318
42	0.41000	0.369
43	0.42000	0.349
44	0.43000	0.137
45	0.44000	-0.093
46	0.45000	-0.320
47	0.46000	-0.374
48	0.47000	-0.298
49	0.48000	-0.321
50	0.49000	-0.286
51	0.50000	-0.040
52	0.51000	0.264
53	0.52000	0.395
54	0.53000	0.458
55	0.54000	0.488
56	0.55000	0.360
57	0.56000	0.274
58	0.57000	0.142
59	0.58000	0.011
60	0.59000	0.042
61	0.60000	0.184
62	0.61000	0.394
63	0.62000	0.583
64	0.63000	0.753
65	0.64000	0.800
66	0.65000	0.692
67	0.66000	0.517
68	0.67000	0.233
69	0.68000	0.025
70	0.69000	-0.086
71	0.70000	-0.212
72	0.71000	-0.249
73	0.72000	-0.214
74	0.73000	-0.220
75	0.74000	-0.202
76	0.75000	-0.110
77	0.76000	-0.064
78	0.77000	-0.025
79	0.78000	0.016
80	0.79000	0.036
81	0.80000	-0.065
82	0.81000	-0.227
83	0.82000	-0.363
84	0.83000	-0.595
85	0.84000	-0.674
86	0.85000	-0.588
87	0.86000	-0.608
88	0.87000	-0.576
89	0.88000	-0.387
90	0.89000	-0.172
91	0.90000	-0.080
92	0.91000	-0.077
93	0.92000	-0.094
94	0.93000	-0.185
95	0.94000	-0.275
96	0.95000	-0.384
97	0.96000	-0.514
98	0.97000	-0.356
99	0.98000	0.144
100	0.99000	0.744
101	1.00000	1.282
102	1.01000	1.634
103	1.02000	1.992
104	1.03000	2.155
105	1.04000	1.919
106	1.05000	1.564
107	1.06000	1.248
108	1.07000	1.036
109	1.08000	0.846
110	1.09000	0.721
111	1.10000	0.616
112	1.11000	0.422
113	1.12000	0.393
114	1.13000	0.383
115	1.14000	0.284
116	1.15000	0.364
117	1.16000	0.484
118	1.17000	0.345
119	1.18000	-0.011
120	1.19000	-0.329
121	1.20000	-0.709
122	1.21000	-1.128
123	1.22000	-1.402
124	1.23000	-1.628
125	1.24000	-1.789
126	1.25000	-1.743
127	1.26000	-1.802
128	1.27000	-2.320
129	1.28000	-3.086
130	1.29000	-3.900
131	1.30000	-4.993
132	1.31000	-6.456
133	1.32000	-7.836
134	1.33000	-8.982
135	1.34000	-9.989
136	1.35000	-10.883
137	1.36000	-11.643
138	1.37000	-12.205
139	1.38000	-12.696
140	1.39000	-13.165
141	1.40000	-14.046
142	1.41000	-15.510
143	1.42000	-17.022
144	1.43000	-18.989
145	1.44000	-22.012
146	1.45000	-25.654
147	1.46000	-28.939
148	1.47000	-31.175
149	1.48000	-32.017
150	1.49000	-31.427
151	1.50000	-29.868
152	1.51000	-28.028
153	1.52000	-26.686
154	1.53000	-26.519
155	1.54000	-27.259
156	1.55000	-28.200
157	1.56000	-29.162
158	1.57000	-30.193
159	1.58000	-31.274
160	1.59000	-31.989
161	1.60000	-32.049
162	1.61000	-32.014
163	1.62000	-32.375
164	1.63000	-32.970
165	1.64000	-33.468
166	1.65000	-34.044
167	1.66000	-35.041
168	1.67000	-36.094
169	1.68000	-36.574
170	1.69000	-35.984
171	1.70000	-34.528
172	1.71000	-33.161
173	1.72000	-33.078
174	1.73000	-34.352
175	1.74000	-36.014
176	1.75000	-37.066
177	1.76000	-37.324
178	1.77000	-37.188
179	1.78000	-37.120
180	1.79000	-37.617
181	1.80000	-38.868
182	1.81000	-40.858
183	1.82000	-43.431
184	1.83000	-46.022
185	1.84000	-47.972
186	1.85000	-48.635
187	1.86000	-47.804
188	1.87000	-46.247
189	1.88000	-44.918
190	1.89000	-43.600
191	1.90000	-41.457
192	1.91000	-38.213
193	1.92000	-34.336
194	1.93000	-29.974
195	1.94000	-25.829
196	1.95000	-22.266
197	1.96000	-18.238
198	1.97000	-14.473
199	1.98000	-12.026
200	1.99000	-10.379
201	2.00000	-8.962
202	2.01000	-7.957
203	2.02000	-7.484
204	2.03000	-6.818
205	2.04000	-6.223
206	2.05000	-5.883
207	2.06000	-4.811
208	2.07000	-2.714
209	2.08000	0.399
210	2.09000	4.761
211	2.10000	9.654
212	2.11000	13.273
213	2.12000	14.897
214	2.13000	14.858
215	2.14000	14.110
216	2.15000	13.197
217	2.16000	12.397
218	2.17000	12.410
219	2.18000	12.822
220	2.19000	13.764
221	2.20000	14.788
222	2.21000	14.443
223	2.22000	13.269
224	2.23000	13.941
225	2.24000	19.096
226	2.25000	30.817
227	2.26000	47.169
228	2.27000	61.726
229	2.28000	69.826
230	2.29000	70.378
231	2.30000	64.228
232	2.31000	52.931
233	2.32000	39.740
234	2.33000	28.894
235	2.34000	23.269
236	2.35000	24.118
237	2.36000	28.066
238	2.37000	29.828
239	2.38000	27.991
240	2.39000	23.179
