NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:32:21
DATA_INCLUDED	Position
DATA_TYPES	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z

Frame	Time	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	
20	0.19000	263.431	-143.437	593.424	216.628	203.912	1673.333	477.470	-210.403	35.507	203.911	-163.187	1655.284	221.537	-171.563	110.913	212.902	220.353	106.371	227.276	239.288	1050.302	273.842	201.671	584.952	220.643	-184.349	1044.307	469.067	250.236	35.743
21	0.20000	263.346	-143.408	593.426	216.641	203.970	1673.333	477.469	-210.411	35.502	203.921	-163.184	1655.341	221.522	-171.555	110.898	212.884	220.356	106.391	227.234	239.305	1050.318	273.827	201.625	584.924	220.490	-184.342	1044.274	469.058	250.238	35.766
22	0.21000	263.271	-143.444	593.434	216.676	203.993	1673.300	477.467	-210.414	35.513	203.864	-163.211	1655.301	221.518	-171.569	110.890	212.862	220.351	106.366	227.171	239.294	1050.317	273.830	201.682	584.938	220.418	-184.328	1044.264	469.059	250.241	35.771
23	0.22000	263.215	-143.436	593.439	216.717	204.021	1673.312	477.470	-210.404	35.512	203.835	-163.255	1655.204	221.515	-171.564	110.880	212.843	220.354	106.348	227.100	239.326	1050.344	273.825	201.676	584.917	220.338	-184.358	1044.271	469.042	250.241	35.797
24	0.23000	263.176	-143.451	593.420	216.750	204.063	1673.314	477.456	-210.403	35.526	203.781	-163.314	1655.157	221.497	-171.589	110.870	212.842	220.369	106.343	227.024	239.333	1050.329	273.792	201.677	584.889	220.290	-184.343	1044.286	469.048	250.235	35.788
25	0.24000	263.137	-143.447	593.420	216.771	204.064	1673.298	477.465	-210.409	35.525	203.760	-163.363	1655.180	221.475	-171.590	110.893	212.849	220.362	106.340	226.949	239.347	1050.324	273.761	201.651	584.863	220.224	-184.371	1044.324	469.057	250.237	35.768
26	0.25000	263.106	-143.465	593.412	216.785	204.074	1673.318	477.461	-210.415	35.530	203.719	-163.394	1655.231	221.482	-171.594	110.856	212.869	220.379	106.352	226.906	239.340	1050.279	273.714	201.648	584.848	220.150	-184.397	1044.367	469.056	250.227	35.766
27	0.26000	263.109	-143.472	593.400	216.795	204.066	1673.323	477.452	-210.408	35.529	203.668	-163.356	1655.214	221.481	-171.593	110.877	212.876	220.379	106.382	226.861	239.337	1050.262	273.640	201.652	584.883	220.066	-184.420	1044.366	469.063	250.232	35.736
28	0.27000	263.077	-143.479	593.419	216.819	204.054	1673.347	477.457	-210.400	35.532	203.646	-163.344	1655.234	221.490	-171.601	110.876	212.897	220.365	106.336	226.788	239.350	1050.287	273.536	201.639	584.902	219.980	-184.429	1044.370	469.058	250.230	35.706
29	0.28000	263.059	-143.481	593.405	216.821	204.064	1673.437	477.463	-210.388	35.535	203.619	-163.386	1655.257	221.493	-171.597	110.866	212.890	220.363	106.368	226.718	239.334	1050.316	273.431	201.618	584.928	219.919	-184.430	1044.358	469.066	250.236	35.701
30	0.29000	263.036	-143.481	593.428	216.829	204.022	1673.474	477.464	-210.410	35.505	203.577	-163.415	1655.295	221.507	-171.593	110.875	212.885	220.378	106.360	226.646	239.338	1050.350	273.315	201.596	584.920	219.851	-184.385	1044.332	469.064	250.251	35.706
31	0.30000	262.985	-143.487	593.460	216.842	204.001	1673.540	477.461	-210.407	35.503	203.508	-163.445	1655.293	221.498	-171.612	110.884	212.874	220.386	106.381	226.588	239.336	1050.390	273.224	201.627	584.925	219.805	-184.354	1044.330	469.062	250.232	35.725
32	0.31000	262.946	-143.480	593.492	216.845	203.965	1673.587	477.464	-210.399	35.510	203.410	-163.478	1655.322	221.504	-171.620	110.902	212.871	220.389	106.393	226.537	239.339	1050.409	273.174	201.629	584.921	219.731	-184.345	1044.365	469.056	250.248	35.726
33	0.32000	262.878	-143.445	593.463	216.834	203.950	1673.648	477.463	-210.404	35.507	203.368	-163.478	1655.330	221.509	-171.597	110.890	212.860	220.374	106.325	226.497	239.363	1050.437	273.180	201.687	584.930	219.663	-184.339	1044.398	469.053	250.240	35.754
34	0.33000	262.808	-143.391	593.461	216.783	203.893	1673.720	477.456	-210.406	35.524	203.287	-163.506	1655.319	221.507	-171.595	110.895	212.840	220.386	106.351	226.452	239.371	1050.460	273.181	201.676	584.899	219.605	-184.342	1044.417	469.050	250.227	35.782
35	0.34000	262.743	-143.381	593.465	216.721	203.858	1673.795	477.464	-210.402	35.504	203.224	-163.499	1655.334	221.498	-171.596	110.897	212.820	220.385	106.341	226.380	239.348	1050.447	273.238	201.699	584.897	219.551	-184.326	1044.458	469.052	250.234	35.794
36	0.35000	262.689	-143.387	593.466	216.675	203.774	1673.861	477.465	-210.424	35.525	203.205	-163.545	1655.277	221.481	-171.590	110.889	212.838	220.366	106.314	226.334	239.407	1050.455	273.265	201.753	584.912	219.505	-184.304	1044.458	469.045	250.230	35.783
37	0.36000	262.655	-143.344	593.432	216.619	203.701	1673.926	477.460	-210.410	35.514	203.190	-163.583	1655.286	221.487	-171.603	110.907	212.845	220.381	106.357	226.283	239.433	1050.450	273.320	201.788	584.909	219.464	-184.263	1044.446	469.053	250.239	35.773
38	0.37000	262.651	-143.293	593.419	216.586	203.605	1673.971	477.455	-210.404	35.523	203.180	-163.625	1655.280	221.478	-171.605	110.909	212.866	220.398	106.350	226.267	239.447	1050.436	273.340	201.803	584.900	219.431	-184.250	1044.441	469.050	250.231	35.729
39	0.38000	262.647	-143.298	593.448	216.554	203.539	1674.023	477.470	-210.416	35.514	203.148	-163.718	1655.248	221.492	-171.601	110.886	212.871	220.437	106.363	226.269	239.494	1050.443	273.322	201.785	584.926	219.379	-184.225	1044.427	469.062	250.249	35.706
40	0.39000	262.662	-143.288	593.478	216.527	203.469	1674.065	477.464	-210.409	35.501	203.079	-163.799	1655.184	221.486	-171.606	110.901	212.897	220.436	106.405	226.269	239.523	1050.474	273.242	201.822	584.971	219.336	-184.204	1044.427	469.072	250.237	35.678
41	0.40000	262.653	-143.253	593.502	216.507	203.442	1674.101	477.462	-210.427	35.505	202.983	-163.891	1655.167	221.507	-171.608	110.914	212.892	220.433	106.415	226.283	239.530	1050.504	273.149	201.850	585.014	219.289	-184.205	1044.434	469.063	250.231	35.643
42	0.41000	262.636	-143.220	593.485	216.487	203.364	1674.126	477.465	-210.426	35.490	202.891	-163.950	1655.047	221.504	-171.592	110.939	212.920	220.440	106.400	226.283	239.568	1050.563	273.038	201.857	585.031	219.254	-184.180	1044.424	469.079	250.238	35.638
43	0.42000	262.620	-143.166	593.470	216.448	203.303	1674.149	477.468	-210.410	35.483	202.797	-164.052	1655.093	221.487	-171.591	110.937	212.902	220.437	106.419	226.304	239.568	1050.592	272.929	201.864	585.036	219.226	-184.157	1044.420	469.087	250.249	35.640
44	0.43000	262.619	-143.173	593.435	216.421	203.276	1674.207	477.465	-210.413	35.505	202.707	-164.114	1655.046	221.503	-171.560	110.915	212.909	220.452	106.421	226.292	239.594	1050.609	272.869	201.849	585.039	219.214	-184.139	1044.408	469.073	250.245	35.657
45	0.44000	262.617	-143.144	593.405	216.367	203.224	1674.224	477.471	-210.416	35.482	202.665	-164.156	1655.048	221.515	-171.566	110.909	212.893	220.445	106.397	226.293	239.617	1050.610	272.850	201.858	585.010	219.183	-184.092	1044.367	469.065	250.260	35.704
46	0.45000	262.652	-143.145	593.385	216.298	203.232	1674.269	477.471	-210.421	35.481	202.608	-164.203	1655.062	221.534	-171.548	110.924	212.858	220.445	106.393	226.276	239.670	1050.605	272.872	201.861	584.996	219.143	-184.096	1044.349	469.051	250.233	35.700
47	0.46000	262.726	-143.125	593.390	216.256	203.162	1674.292	477.473	-210.414	35.471	202.565	-164.250	1655.038	221.559	-171.549	110.935	212.859	220.443	106.360	226.232	239.686	1050.587	272.954	201.867	584.953	219.110	-184.090	1044.344	469.054	250.228	35.737
48	0.47000	262.804	-143.100	593.386	216.221	203.095	1674.318	477.478	-210.409	35.467	202.519	-164.274	1655.067	221.544	-171.547	110.916	212.856	220.421	106.346	226.159	239.756	1050.580	273.047	201.914	584.965	219.081	-184.062	1044.350	469.046	250.228	35.743
49	0.48000	262.876	-143.101	593.401	216.186	203.019	1674.312	477.477	-210.418	35.460	202.420	-164.276	1655.086	221.560	-171.553	110.941	212.858	220.420	106.351	226.047	239.784	1050.552	273.159	201.908	584.949	219.058	-184.045	1044.359	469.048	250.226	35.747
50	0.49000	262.871	-143.095	593.410	216.131	202.953	1674.319	477.471	-210.412	35.475	202.341	-164.291	1655.040	221.556	-171.549	110.911	212.860	220.424	106.377	225.947	239.806	1050.556	273.289	201.934	584.944	219.032	-184.036	1044.391	469.052	250.246	35.736
51	0.50000	262.822	-143.111	593.452	216.104	202.902	1674.346	477.476	-210.414	35.469	202.256	-164.341	1655.104	221.537	-171.570	110.899	212.879	220.409	106.332	225.862	239.833	1050.557	273.376	202.002	584.989	218.997	-184.043	1044.386	469.056	250.224	35.722
52	0.51000	262.740	-143.132	593.464	216.025	202.861	1674.353	477.467	-210.408	35.483	202.192	-164.380	1655.105	221.529	-171.556	110.898	212.890	220.456	106.360	225.789	239.798	1050.558	273.413	202.008	584.984	218.997	-184.029	1044.388	469.056	250.212	35.702
53	0.52000	262.647	-143.121	593.453	215.946	202.862	1674.378	477.469	-210.410	35.502	202.122	-164.440	1655.081	221.511	-171.578	110.892	212.898	220.459	106.400	225.751	239.760	1050.559	273.449	202.066	585.014	218.961	-184.043	1044.398	469.068	250.238	35.705
54	0.53000	262.571	-143.103	593.418	215.857	202.854	1674.401	477.457	-210.403	35.517	202.069	-164.440	1655.160	221.498	-171.562	110.863	212.906	220.464	106.375	225.754	239.778	1050.593	273.422	202.045	585.035	218.904	-184.063	1044.381	469.057	250.235	35.696
55	0.54000	262.480	-143.074	593.414	215.765	202.841	1674.385	477.462	-210.386	35.518	202.009	-164.470	1655.180	221.471	-171.568	110.888	212.897	220.483	106.402	225.747	239.793	1050.622	273.379	202.071	585.048	218.842	-184.039	1044.359	469.060	250.248	35.699
56	0.55000	262.428	-143.079	593.436	215.676	202.764	1674.393	477.464	-210.397	35.523	201.921	-164.458	1655.184	221.470	-171.553	110.892	212.894	220.471	106.406	225.748	239.795	1050.667	273.327	202.038	585.049	218.744	-184.038	1044.335	469.059	250.240	35.706
57	0.56000	262.387	-143.106	593.480	215.586	202.723	1674.381	477.453	-210.395	35.533	201.863	-164.471	1655.199	221.478	-171.536	110.881	212.886	220.466	106.404	225.739	239.799	1050.654	273.304	202.029	585.039	218.633	-184.000	1044.316	469.066	250.238	35.756
58	0.57000	262.384	-143.097	593.463	215.502	202.683	1674.369	477.454	-210.381	35.538	201.780	-164.504	1655.204	221.457	-171.536	110.900	212.881	220.458	106.378	225.721	239.789	1050.622	273.278	202.030	585.049	218.536	-183.995	1044.311	469.046	250.232	35.774
