NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:29:51
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HR_Angular_Acceleration

Frame	Time	HR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	35.434
3	0.02000	19.150
4	0.03000	5.042
5	0.04000	-6.890
6	0.05000	-16.647
7	0.06000	-24.229
8	0.07000	-46.793
9	0.08000	-55.512
10	0.09000	-7.189
11	0.10000	-2.564
12	0.11000	7.303
13	0.12000	16.784
14	0.13000	0.339
15	0.14000	11.623
16	0.15000	-20.529
17	0.16000	11.474
18	0.17000	-19.439
19	0.18000	3.556
20	0.19000	14.120
21	0.20000	28.731
22	0.21000	3.391
23	0.22000	-5.421
24	0.23000	-19.523
25	0.24000	-5.869
26	0.25000	-9.347
27	0.26000	27.836
28	0.27000	5.131
29	0.28000	24.927
30	0.29000	10.508
31	0.30000	19.120
32	0.31000	4.340
33	0.32000	-18.062
34	0.33000	-8.278
35	0.34000	7.122
36	0.35000	14.797
37	0.36000	11.077
38	0.37000	2.100
39	0.38000	5.584
40	0.39000	15.794
41	0.40000	15.624
42	0.41000	0.484
43	0.42000	-22.839
44	0.43000	-15.418
45	0.44000	-17.830
46	0.45000	-25.366
47	0.46000	2.059
48	0.47000	18.929
49	0.48000	12.870
50	0.49000	25.565
51	0.50000	-0.501
52	0.51000	-3.924
53	0.52000	-18.083
54	0.53000	-20.534
55	0.54000	-28.781
56	0.55000	-9.704
57	0.56000	17.240
58	0.57000	23.818
59	0.58000	-0.051
60	0.59000	22.931
61	0.60000	-14.743
62	0.61000	7.565
63	0.62000	-18.482
64	0.63000	-3.926
65	0.64000	-4.800
66	0.65000	13.262
67	0.66000	15.485
68	0.67000	-3.559
69	0.68000	-21.440
70	0.69000	-18.960
71	0.70000	-33.241
72	0.71000	-20.461
73	0.72000	0.334
74	0.73000	24.469
75	0.74000	44.991
76	0.75000	33.849
77	0.76000	16.639
78	0.77000	7.564
79	0.78000	-19.244
80	0.79000	-21.875
81	0.80000	-16.524
82	0.81000	-19.539
83	0.82000	-9.891
84	0.83000	-3.520
85	0.84000	11.449
86	0.85000	1.034
87	0.86000	9.249
88	0.87000	19.753
89	0.88000	0.192
90	0.89000	14.472
91	0.90000	0.460
92	0.91000	-6.616
93	0.92000	-39.888
94	0.93000	-31.630
95	0.94000	-46.912
96	0.95000	-46.216
97	0.96000	-47.096
98	0.97000	-47.608
99	0.98000	-38.591
100	0.99000	-17.874
101	1.00000	-6.328
102	1.01000	5.050
103	1.02000	7.814
104	1.03000	-20.406
105	1.04000	-39.128
106	1.05000	-55.121
107	1.06000	-79.035
108	1.07000	-81.615
109	1.08000	-71.748
110	1.09000	-58.551
111	1.10000	-36.735
112	1.11000	-38.555
113	1.12000	-24.843
114	1.13000	-67.299
115	1.14000	-105.102
116	1.15000	39.452
117	1.16000	-48.065
118	1.17000	-101.284
119	1.18000	-156.507
120	1.19000	-222.187
121	1.20000	-244.706
122	1.21000	-300.295
123	1.22000	-319.978
124	1.23000	-361.558
125	1.24000	-359.553
126	1.25000	-206.298
127	1.26000	-402.945
128	1.27000	-422.980
129	1.28000	-400.865
130	1.29000	-400.958
131	1.30000	-359.482
132	1.31000	-393.637
133	1.32000	-396.916
134	1.33000	-439.141
135	1.34000	-427.012
136	1.35000	-376.102
137	1.36000	-368.046
138	1.37000	-254.827
139	1.38000	-162.543
140	1.39000	-156.937
141	1.40000	-173.553
142	1.41000	-235.461
143	1.42000	-233.043
144	1.43000	-276.838
145	1.44000	-311.720
146	1.45000	-460.671
147	1.46000	-517.964
148	1.47000	-433.325
149	1.48000	-244.298
150	1.49000	9.731
151	1.50000	245.012
152	1.51000	344.581
153	1.52000	373.225
154	1.53000	241.609
155	1.54000	39.344
156	1.55000	-212.924
157	1.56000	-317.275
158	1.57000	-341.413
159	1.58000	-324.348
160	1.59000	-184.447
161	1.60000	-37.089
162	1.61000	15.522
163	1.62000	36.044
164	1.63000	93.237
165	1.64000	63.587
166	1.65000	86.003
167	1.66000	47.094
168	1.67000	15.405
169	1.68000	-66.799
170	1.69000	-85.758
171	1.70000	-58.266
172	1.71000	-40.699
173	1.72000	-30.191
174	1.73000	-4.981
175	1.74000	-52.266
176	1.75000	-52.687
177	1.76000	12.574
178	1.77000	143.752
179	1.78000	16.182
180	1.79000	14.347
181	1.80000	28.877
182	1.81000	56.435
183	1.82000	97.578
184	1.83000	109.916
185	1.84000	168.838
186	1.85000	170.084
187	1.86000	243.637
188	1.87000	192.191
189	1.88000	0.322
190	1.89000	29.253
191	1.90000	7.738
192	1.91000	20.844
193	1.92000	5.415
194	1.93000	-12.266
195	1.94000	41.047
196	1.95000	60.507
197	1.96000	95.445
198	1.97000	106.948
199	1.98000	140.723
