NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:17:17
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-0.152
3	0.02000	0.061
4	0.03000	0.252
5	0.04000	0.421
6	0.05000	0.569
7	0.06000	0.695
8	0.07000	0.778
9	0.08000	0.743
10	0.09000	0.776
11	0.10000	0.894
12	0.11000	0.972
13	0.12000	0.943
14	0.13000	0.820
15	0.14000	0.586
16	0.15000	0.354
17	0.16000	0.238
18	0.17000	0.036
19	0.18000	-0.141
20	0.19000	-0.322
21	0.20000	-0.500
22	0.21000	-0.583
23	0.22000	-0.660
24	0.23000	-0.627
25	0.24000	-0.467
26	0.25000	-0.220
27	0.26000	0.158
28	0.27000	0.362
29	0.28000	0.331
30	0.29000	0.314
31	0.30000	0.211
32	0.31000	-0.066
33	0.32000	-0.329
34	0.33000	-0.511
35	0.34000	-0.707
36	0.35000	-0.763
37	0.36000	-0.555
38	0.37000	-0.324
39	0.38000	-0.235
40	0.39000	-0.067
41	0.40000	0.159
42	0.41000	0.161
43	0.42000	0.191
44	0.43000	0.255
45	0.44000	0.212
46	0.45000	0.265
47	0.46000	0.380
48	0.47000	0.502
49	0.48000	0.572
50	0.49000	0.533
51	0.50000	0.484
52	0.51000	0.257
53	0.52000	0.116
54	0.53000	0.106
55	0.54000	-0.103
56	0.55000	-0.105
57	0.56000	0.012
58	0.57000	0.027
59	0.58000	0.080
60	0.59000	-0.028
61	0.60000	0.100
62	0.61000	0.424
63	0.62000	0.711
64	0.63000	0.897
65	0.64000	0.747
66	0.65000	0.616
67	0.66000	0.333
68	0.67000	-0.177
69	0.68000	-0.616
70	0.69000	-1.060
71	0.70000	-1.155
72	0.71000	-0.857
73	0.72000	-0.626
74	0.73000	-0.415
75	0.74000	-0.118
76	0.75000	0.173
77	0.76000	0.495
78	0.77000	0.685
79	0.78000	0.743
80	0.79000	0.831
81	0.80000	0.744
82	0.81000	0.591
83	0.82000	0.309
84	0.83000	-0.169
85	0.84000	-0.485
86	0.85000	-0.687
87	0.86000	-0.884
88	0.87000	-0.898
89	0.88000	-0.769
90	0.89000	-0.531
91	0.90000	-0.321
92	0.91000	-0.028
93	0.92000	0.285
94	0.93000	0.477
95	0.94000	0.614
96	0.95000	0.607
97	0.96000	0.383
98	0.97000	0.179
99	0.98000	-0.112
100	0.99000	-0.420
101	1.00000	-0.564
102	1.01000	-0.660
103	1.02000	-0.604
104	1.03000	-0.585
105	1.04000	-0.571
106	1.05000	-0.408
107	1.06000	-0.155
108	1.07000	0.178
109	1.08000	0.569
110	1.09000	0.967
111	1.10000	1.060
112	1.11000	1.048
113	1.12000	0.982
114	1.13000	0.523
115	1.14000	0.125
116	1.15000	-0.279
117	1.16000	-0.627
118	1.17000	-0.697
119	1.18000	-0.727
120	1.19000	-0.677
121	1.20000	-0.465
122	1.21000	-0.157
123	1.22000	0.084
124	1.23000	0.261
125	1.24000	0.438
126	1.25000	0.452
127	1.26000	0.434
128	1.27000	0.550
129	1.28000	0.589
130	1.29000	0.562
131	1.30000	0.567
132	1.31000	0.399
133	1.32000	0.254
134	1.33000	0.070
135	1.34000	-0.311
136	1.35000	-0.636
137	1.36000	-0.851
138	1.37000	-0.961
139	1.38000	-0.956
140	1.39000	-0.831
141	1.40000	-0.665
142	1.41000	-0.425
143	1.42000	-0.117
144	1.43000	0.013
145	1.44000	-0.129
146	1.45000	-0.229
147	1.46000	-0.420
148	1.47000	-0.832
149	1.48000	-1.187
150	1.49000	-1.667
151	1.50000	-2.469
152	1.51000	-3.504
153	1.52000	-4.311
154	1.53000	-4.464
155	1.54000	-4.663
156	1.55000	-5.063
157	1.56000	-5.371
158	1.57000	-5.515
159	1.58000	-5.175
160	1.59000	-4.617
161	1.60000	-3.522
162	1.61000	-2.808
163	1.62000	-2.686
164	1.63000	-3.240
165	1.64000	-4.868
166	1.65000	-5.843
167	1.66000	-6.146
168	1.67000	-6.705
169	1.68000	-7.080
170	1.69000	-6.726
171	1.70000	-4.699
172	1.71000	-8.571
173	1.72000	-10.781
174	1.73000	-5.412
175	1.74000	0.909
176	1.75000	7.153
177	1.76000	3.622
178	1.77000	-0.253
179	1.78000	2.704
