NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
262	2.61000	-1.669
263	2.62000	-1.540
264	2.63000	-1.572
265	2.64000	-1.552
266	2.65000	-1.371
267	2.66000	-1.127
268	2.67000	-0.931
269	2.68000	-0.631
270	2.69000	-0.172
271	2.70000	0.279
272	2.71000	0.808
273	2.72000	1.475
274	2.73000	2.360
275	2.74000	3.437
276	2.75000	4.477
277	2.76000	5.534
278	2.77000	6.424
279	2.78000	7.017
280	2.79000	7.380
281	2.80000	7.262
282	2.81000	6.975
283	2.82000	6.711
284	2.83000	6.488
285	2.84000	6.342
286	2.85000	6.175
287	2.86000	6.063
288	2.87000	5.784
289	2.88000	5.190
290	2.89000	4.404
291	2.90000	3.408
292	2.91000	2.390
293	2.92000	1.386
294	2.93000	0.440
295	2.94000	-0.341
296	2.95000	-0.954
297	2.96000	-1.414
298	2.97000	-1.856
299	2.98000	-2.270
300	2.99000	-2.589
301	3.00000	-2.735
302	3.01000	-2.767
303	3.02000	-2.756
304	3.03000	-2.648
305	3.04000	-2.288
306	3.05000	-1.908
307	3.06000	-1.551
308	3.07000	-1.227
309	3.08000	-0.978
310	3.09000	-0.682
311	3.10000	-0.356
312	3.11000	0.007
313	3.12000	0.294
314	3.13000	0.607
315	3.14000	0.926
316	3.15000	0.879
317	3.16000	0.605
318	3.17000	0.160
319	3.18000	-0.515
320	3.19000	-1.123
321	3.20000	-1.463
322	3.21000	-1.667
323	3.22000	-1.906
324	3.23000	-1.840
325	3.24000	-1.419
326	3.25000	-0.886
327	3.26000	-0.018
328	3.27000	1.178
329	3.28000	2.371
330	3.29000	3.794
331	3.30000	5.397
332	3.31000	6.912
333	3.32000	8.467
334	3.33000	10.268
335	3.34000	12.273
336	3.35000	14.116
337	3.36000	15.814
338	3.37000	17.278
339	3.38000	18.373
340	3.39000	19.408
341	3.40000	20.492
342	3.41000	21.869
343	3.42000	23.610
344	3.43000	25.724
345	3.44000	28.247
346	3.45000	31.102
347	3.46000	34.267
348	3.47000	37.384
349	3.48000	40.337
350	3.49000	43.143
351	3.50000	45.949
352	3.51000	48.752
353	3.52000	51.437
354	3.53000	54.323
355	3.54000	57.360
356	3.55000	60.644
357	3.56000	64.094
358	3.57000	67.191
359	3.58000	70.069
360	3.59000	72.802
361	3.60000	75.386
362	3.61000	77.790
363	3.62000	80.051
364	3.63000	82.373
365	3.64000	84.681
366	3.65000	86.936
367	3.66000	89.103
368	3.67000	91.083
369	3.68000	92.863
370	3.69000	94.496
371	3.70000	95.956
372	3.71000	97.318
373	3.72000	98.782
374	3.73000	100.526
375	3.74000	102.354
376	3.75000	103.827
377	3.76000	105.854
378	3.77000	108.699
379	3.78000	111.449
380	3.79000	113.863
381	3.80000	115.731
382	3.81000	117.125
383	3.82000	118.201
384	3.83000	119.171
385	3.84000	119.687
386	3.85000	119.935
387	3.86000	121.124
388	3.87000	122.958
389	3.88000	124.581
390	3.89000	125.920
391	3.90000	127.135
392	3.91000	128.228
393	3.92000	129.038
394	3.93000	129.754
395	3.94000	130.132
396	3.95000	130.142
397	3.96000	129.939
398	3.97000	129.159
399	3.98000	127.770
400	3.99000	126.266
401	4.00000	124.890
402	4.01000	123.375
403	4.02000	121.575
404	4.03000	119.655
405	4.04000	117.597
406	4.05000	115.477
407	4.06000	113.388
408	4.07000	110.902
409	4.08000	108.125
410	4.09000	105.256
411	4.10000	101.764
412	4.11000	97.469
413	4.12000	92.349
414	4.13000	86.594
415	4.14000	80.399
416	4.15000	74.134
417	4.16000	68.085
