NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:55
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
267	2.66000	25.994
268	2.67000	13.228
269	2.68000	46.698
270	2.69000	45.149
271	2.70000	45.060
272	2.71000	60.720
273	2.72000	72.682
274	2.73000	104.336
275	2.74000	111.054
276	2.75000	96.833
277	2.76000	114.680
278	2.77000	63.213
279	2.78000	55.473
280	2.79000	17.141
281	2.80000	-40.761
282	2.81000	-16.599
283	2.82000	-36.318
284	2.83000	-8.219
285	2.84000	-21.060
286	2.85000	-12.239
287	2.86000	-10.188
288	2.87000	-45.606
289	2.88000	-73.141
290	2.89000	-84.113
291	2.90000	-115.096
292	2.91000	-88.452
293	2.92000	-112.472
294	2.93000	-76.744
295	2.94000	-79.305
296	2.95000	-43.399
297	2.96000	-48.481
298	2.97000	-39.980
299	2.98000	-42.770
300	2.99000	-21.068
301	3.00000	-8.105
302	3.01000	1.638
303	3.02000	0.557
304	3.03000	21.097
305	3.04000	50.956
306	3.05000	24.869
307	3.06000	46.680
308	3.07000	17.970
309	3.08000	31.837
310	3.09000	27.532
311	3.10000	37.586
312	3.11000	34.947
313	3.12000	22.531
314	3.13000	40.066
315	3.14000	23.614
316	3.15000	-32.839
317	3.16000	-21.990
318	3.17000	-66.998
319	3.18000	-68.019
320	3.19000	-53.663
321	3.20000	-14.345
322	3.21000	-26.490
323	3.22000	-21.134
324	3.23000	34.240
325	3.24000	50.029
326	3.25000	56.508
327	3.26000	117.134
328	3.27000	122.109
329	3.28000	116.364
330	3.29000	168.277
331	3.30000	152.249
332	3.31000	150.778
333	3.32000	160.317
334	3.33000	199.790
335	3.34000	201.300
336	3.35000	167.322
337	3.36000	172.216
338	3.37000	120.599
339	3.38000	98.380
340	3.39000	108.641
341	3.40000	108.105
342	3.41000	167.351
343	3.42000	180.886
344	3.43000	241.788
345	3.44000	262.863
346	3.45000	308.078
347	3.46000	325.039
348	3.47000	298.300
349	3.48000	292.390
350	3.49000	268.712
351	3.50000	292.481
352	3.51000	268.134
353	3.52000	268.824
354	3.53000	308.396
355	3.54000	298.994
356	3.55000	357.869
357	3.56000	332.066
358	3.57000	287.444
359	3.58000	288.086
360	3.59000	258.565
361	3.60000	258.174
362	3.61000	222.729
363	3.62000	229.368
364	3.63000	235.142
365	3.64000	226.322
366	3.65000	224.638
367	3.66000	208.855
368	3.67000	187.187
369	3.68000	168.725
370	3.69000	158.010
371	3.70000	133.986
372	3.71000	138.373
373	3.72000	154.286
374	3.73000	194.615
375	3.74000	170.917
376	3.75000	123.838
377	3.76000	281.526
378	3.77000	287.500
379	3.78000	262.451
380	3.79000	220.210
381	3.80000	153.576
382	3.81000	125.207
383	3.82000	89.948
384	3.83000	104.028
385	3.84000	-0.781
386	3.85000	50.424
387	3.86000	187.355
388	3.87000	179.436
389	3.88000	145.184
390	3.89000	122.603
391	3.90000	120.408
392	3.91000	98.060
393	3.92000	64.079
394	3.93000	79.075
395	3.94000	-3.467
396	3.95000	5.328
397	3.96000	-45.743
398	3.97000	-110.339
399	3.98000	-167.515
400	3.99000	-133.255
401	4.00000	-141.908
402	4.01000	-161.117
403	4.02000	-198.952
404	4.03000	-185.012
405	4.04000	-226.476
406	4.05000	-197.664
407	4.06000	-220.039
408	4.07000	-277.140
409	4.08000	-278.284
410	4.09000	-295.463
411	4.10000	-403.054
412	4.11000	-455.999
413	4.12000	-567.986
414	4.13000	-582.930
415	4.14000	-655.999
416	4.15000	-597.115
417	4.16000	-612.564
418	4.17000	-591.041
419	4.18000	-546.900
420	4.19000	-571.822
421	4.20000	-561.710
422	4.21000	-538.224
423	4.22000	-510.903
424	4.23000	-426.110
425	4.24000	-380.277
426	4.25000	-247.523
427	4.26000	-178.850
428	4.27000	-224.154
429	4.28000	-33.455
430	4.29000	-84.503
431	4.30000	-63.816
432	4.31000	-178.799
433	4.32000	-190.307
434	4.33000	-245.830
435	4.34000	-286.946
436	4.35000	-252.762
437	4.36000	-245.067
438	4.37000	-274.322
439	4.38000	-59.952
440	4.39000	-79.455
441	4.40000	8.517
442	4.41000	43.588
443	4.42000	121.079
444	4.43000	138.560
445	4.44000	157.171
446	4.45000	199.082
447	4.46000	163.952
448	4.47000	135.632
449	4.48000	58.069
450	4.49000	-6.535
451	4.50000	-46.901
452	4.51000	-22.260
453	4.52000	-46.808
454	4.53000	-33.499
455	4.54000	16.692
456	4.55000	42.007
457	4.56000	-5.394
458	4.57000	18.219
459	4.58000	-25.690
460	4.59000	-37.722
461	4.60000	-64.184
462	4.61000	-32.784
463	4.62000	-22.233
464	4.63000	-33.423
465	4.64000	49.272
466	4.65000	3.024
467	4.66000	-17.579
468	4.67000	10.570
469	4.68000	-38.266
470	4.69000	-69.541
471	4.70000	-65.692
472	4.71000	-83.540
473	4.72000	-52.082
474	4.73000	-72.172
475	4.74000	5.595
476	4.75000	-18.931
477	4.76000	38.636
478	4.77000	63.307
479	4.78000	44.103
480	4.79000	74.182
481	4.80000	50.640
482	4.81000	7.078
483	4.82000	10.034
484	4.83000	-12.045
485	4.84000	-62.606
486	4.85000	-104.209
487	4.86000	-105.801
488	4.87000	-109.734
489	4.88000	-117.989
490	4.89000	-102.569
491	4.90000	-128.352
492	4.91000	-82.061
493	4.92000	-36.791
494	4.93000	21.226
495	4.94000	12.362
496	4.95000	18.366
497	4.96000	1.701
498	4.97000	-51.598
499	4.98000	-99.758
500	4.99000	-122.761
501	5.00000	-137.696
502	5.01000	-80.759
503	5.02000	-21.725
504	5.03000	27.832
505	5.04000	28.295
506	5.05000	-5.357
507	5.06000	23.300
508	5.07000	-284.595
509	5.08000	-307.950
510	5.09000	-276.377
511	5.10000	-246.825
512	5.11000	-130.999
513	5.12000	-44.833
514	5.13000	-9.017
515	5.14000	23.125
516	5.15000	-18.463
517	5.16000	-55.849
518	5.17000	-335.861
519	5.18000	-269.662
520	5.19000	-306.481
521	5.20000	-342.691
522	5.21000	-295.238
523	5.22000	-265.237
524	5.23000	-233.167
525	5.24000	-126.642
526	5.25000	-109.024
527	5.26000	-77.998
528	5.27000	-173.167
529	5.28000	-258.715
530	5.29000	-344.588
531	5.30000	-399.993
532	5.31000	-408.484
533	5.32000	-559.708
534	5.33000	-706.176
535	5.34000	-711.514
536	5.35000	-572.378
537	5.36000	-206.434
538	5.37000	44.239
539	5.38000	252.291
540	5.39000	347.902
541	5.40000	187.383
542	5.41000	-142.580
543	5.42000	-473.159
544	5.43000	-615.572
545	5.44000	-546.451
546	5.45000	-292.792
547	5.46000	32.256
548	5.47000	87.241
549	5.48000	-21.497
550	5.49000	-132.727
551	5.50000	-254.837
552	5.51000	-301.393
553	5.52000	-230.755
554	5.53000	-150.440
555	5.54000	-109.581
556	5.55000	-71.382
557	5.56000	-100.463
558	5.57000	-159.644
559	5.58000	-227.672
560	5.59000	-166.848
561	5.60000	-67.216
562	5.61000	29.808
563	5.62000	-131.455
564	5.63000	-188.102
565	5.64000	-186.046
566	5.65000	-142.570
567	5.66000	-31.587
568	5.67000	89.421
569	5.68000	152.004
570	5.69000	194.421
571	5.70000	200.933
572	5.71000	238.150
573	5.72000	159.949
574	5.73000	220.997
575	5.74000	215.147
576	5.75000	188.483
577	5.76000	221.068
578	5.77000	249.619
579	5.78000	310.796
580	5.79000	322.558
581	5.80000	338.540
582	5.81000	362.182
583	5.82000	348.661
584	5.83000	374.126
585	5.84000	337.016
586	5.85000	325.280
587	5.86000	292.051
588	5.87000	316.214
589	5.88000	289.906
590	5.89000	239.414
591	5.90000	238.111
592	5.91000	243.359
593	5.92000	226.951
594	5.93000	245.366
595	5.94000	190.294
596	5.95000	174.966
597	5.96000	120.836
598	5.97000	90.678
599	5.98000	51.311
600	5.99000	34.005
601	6.00000	35.242
602	6.01000	80.018
603	6.02000	101.786
604	6.03000	178.737
605	6.04000	304.909
606	6.05000	444.568
