NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:19:44
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-17.770
3	0.02000	-10.495
4	0.03000	-3.764
5	0.04000	2.423
6	0.05000	8.066
7	0.06000	13.165
8	0.07000	3.517
9	0.08000	-10.608
10	0.09000	17.145
11	0.10000	6.436
12	0.11000	9.159
13	0.12000	-14.849
14	0.13000	-9.697
15	0.14000	-37.079
16	0.15000	-9.353
17	0.16000	-13.882
18	0.17000	-26.458
19	0.18000	-9.049
20	0.19000	-27.159
21	0.20000	-8.478
22	0.21000	-8.022
23	0.22000	-7.362
24	0.23000	13.835
25	0.24000	18.158
26	0.25000	31.255
27	0.26000	44.324
28	0.27000	-3.454
29	0.28000	-2.676
30	0.29000	-0.709
31	0.30000	-19.853
32	0.31000	-35.728
33	0.32000	-16.761
34	0.33000	-19.609
35	0.34000	-19.568
36	0.35000	8.191
37	0.36000	33.473
38	0.37000	12.851
39	0.38000	4.854
40	0.39000	28.742
41	0.40000	16.457
42	0.41000	-16.046
43	0.42000	22.098
44	0.43000	-9.358
45	0.44000	0.715
46	0.45000	9.875
47	0.46000	13.231
48	0.47000	11.055
49	0.48000	2.941
50	0.49000	-10.630
51	0.50000	0.877
52	0.51000	-46.360
53	0.52000	18.210
54	0.53000	-20.320
55	0.54000	-21.483
56	0.55000	21.191
57	0.56000	2.068
58	0.57000	1.076
59	0.58000	9.419
60	0.59000	-30.963
61	0.60000	56.599
62	0.61000	8.108
63	0.62000	49.396
64	0.63000	-12.166
65	0.64000	-17.831
66	0.65000	-8.432
67	0.66000	-48.277
68	0.67000	-53.599
69	0.68000	-34.280
70	0.69000	-54.520
71	0.70000	35.544
72	0.71000	24.034
73	0.72000	22.123
74	0.73000	20.186
75	0.74000	39.249
76	0.75000	18.936
77	0.76000	45.475
78	0.77000	-7.622
79	0.78000	19.273
80	0.79000	-1.567
81	0.80000	-15.810
82	0.81000	-14.831
83	0.82000	-41.601
84	0.83000	-53.979
85	0.84000	-9.255
86	0.85000	-31.227
87	0.86000	-8.061
88	0.87000	5.276
89	0.88000	20.457
90	0.89000	27.182
91	0.90000	14.790
92	0.91000	43.768
93	0.92000	18.946
94	0.93000	19.326
95	0.94000	8.063
96	0.95000	-9.436
97	0.96000	-35.236
98	0.97000	-5.681
99	0.98000	-52.412
100	0.99000	-9.303
101	1.00000	-19.372
102	1.01000	0.081
103	1.02000	11.086
104	1.03000	-7.317
105	1.04000	10.205
106	1.05000	22.484
