NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:27:48
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KL_Angular_Acceleration

Frame	Time	KL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-2.877
3	0.02000	-34.847
4	0.03000	-57.795
5	0.04000	-71.722
6	0.05000	-76.628
7	0.06000	-72.512
8	0.07000	-51.465
9	0.08000	-23.128
10	0.09000	13.152
11	0.10000	28.320
12	0.11000	65.580
13	0.12000	70.487
14	0.13000	49.582
15	0.14000	57.158
16	0.15000	1.472
17	0.16000	-10.437
18	0.17000	-40.557
19	0.18000	-46.193
20	0.19000	-45.806
21	0.20000	-31.247
22	0.21000	-1.001
23	0.22000	26.353
24	0.23000	33.296
25	0.24000	48.817
26	0.25000	42.503
27	0.26000	41.091
28	0.27000	15.904
29	0.28000	-1.353
30	0.29000	-52.348
31	0.30000	-45.369
32	0.31000	-61.096
33	0.32000	-46.304
34	0.33000	-54.841
35	0.34000	-10.247
36	0.35000	36.590
37	0.36000	61.695
38	0.37000	94.709
39	0.38000	76.891
40	0.39000	49.505
41	0.40000	30.172
42	0.41000	-35.492
43	0.42000	-62.237
44	0.43000	-115.569
45	0.44000	-122.954
46	0.45000	-101.171
47	0.46000	-71.200
48	0.47000	-19.391
49	0.48000	15.772
50	0.49000	61.838
51	0.50000	83.650
52	0.51000	80.280
53	0.52000	82.475
54	0.53000	39.913
55	0.54000	0.225
56	0.55000	-15.769
57	0.56000	-29.070
58	0.57000	-35.722
59	0.58000	-30.864
60	0.59000	-21.571
61	0.60000	14.197
62	0.61000	5.535
63	0.62000	44.785
64	0.63000	54.657
65	0.64000	34.209
66	0.65000	24.405
67	0.66000	11.842
68	0.67000	-16.253
69	0.68000	-53.525
70	0.69000	-65.900
71	0.70000	-62.070
72	0.71000	-74.498
73	0.72000	-22.221
74	0.73000	12.196
75	0.74000	27.907
76	0.75000	62.267
77	0.76000	80.165
78	0.77000	77.119
