NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:38:26
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-1.786
3	0.02000	-0.131
4	0.03000	1.162
5	0.04000	2.094
6	0.05000	2.664
7	0.06000	2.873
8	0.07000	2.291
9	0.08000	1.577
10	0.09000	0.949
11	0.10000	0.151
12	0.11000	-0.530
13	0.12000	-0.920
14	0.13000	-0.991
15	0.14000	-0.717
16	0.15000	-0.120
17	0.16000	0.566
18	0.17000	1.132
19	0.18000	1.607
20	0.19000	1.764
21	0.20000	1.563
22	0.21000	0.962
23	0.22000	0.147
24	0.23000	-0.717
25	0.24000	-1.586
26	0.25000	-2.265
27	0.26000	-2.781
28	0.27000	-2.891
29	0.28000	-2.475
30	0.29000	-1.756
31	0.30000	-0.846
32	0.31000	-0.070
33	0.32000	0.598
34	0.33000	1.008
35	0.34000	1.025
36	0.35000	0.755
37	0.36000	0.120
38	0.37000	-0.580
39	0.38000	-1.276
40	0.39000	-1.994
41	0.40000	-2.421
42	0.41000	-2.412
43	0.42000	-1.967
44	0.43000	-1.345
45	0.44000	-0.613
46	0.45000	0.211
47	0.46000	0.839
48	0.47000	1.151
49	0.48000	1.075
50	0.49000	0.805
51	0.50000	0.448
52	0.51000	-0.039
53	0.52000	-0.465
54	0.53000	-0.900
55	0.54000	-1.286
56	0.55000	-1.402
57	0.56000	-1.375
58	0.57000	-1.343
59	0.58000	-1.288
60	0.59000	-1.196
61	0.60000	-1.269
62	0.61000	-1.586
63	0.62000	-1.933
64	0.63000	-2.362
65	0.64000	-2.896
66	0.65000	-3.238
67	0.66000	-3.110
68	0.67000	-2.476
69	0.68000	-1.507
70	0.69000	-0.419
71	0.70000	0.655
72	0.71000	1.732
73	0.72000	2.640
74	0.73000	3.041
75	0.74000	2.975
76	0.75000	2.660
77	0.76000	2.291
78	0.77000	1.801
79	0.78000	1.049
80	0.79000	0.323
81	0.80000	-0.136
82	0.81000	-0.124
83	0.82000	0.193
84	0.83000	0.522
85	0.84000	0.942
86	0.85000	1.350
87	0.86000	1.619
88	0.87000	1.623
89	0.88000	1.360
90	0.89000	0.961
91	0.90000	0.456
92	0.91000	-0.023
93	0.92000	-0.526
94	0.93000	-0.994
95	0.94000	-1.252
96	0.95000	-1.167
97	0.96000	-0.710
98	0.97000	-0.227
99	0.98000	0.160
100	0.99000	0.450
101	1.00000	0.494
102	1.01000	0.326
103	1.02000	0.019
104	1.03000	-0.441
105	1.04000	-1.071
106	1.05000	-1.620
107	1.06000	-1.890
108	1.07000	-1.933
109	1.08000	-1.751
110	1.09000	-1.262
111	1.10000	-0.621
112	1.11000	0.062
113	1.12000	0.774
114	1.13000	1.222
115	1.14000	1.277
116	1.15000	1.117
117	1.16000	0.881
118	1.17000	0.520
119	1.18000	0.031
120	1.19000	-0.386
121	1.20000	-0.764
122	1.21000	-1.026
123	1.22000	-0.987
124	1.23000	-0.757
125	1.24000	-0.415
126	1.25000	-0.009
127	1.26000	0.353
128	1.27000	0.480
129	1.28000	0.508
130	1.29000	0.384
131	1.30000	0.048
132	1.31000	-0.274
133	1.32000	-0.608
134	1.33000	-0.922
135	1.34000	-1.105
136	1.35000	-1.015
137	1.36000	-0.716
138	1.37000	-0.380
139	1.38000	0.028
140	1.39000	0.375
141	1.40000	0.599
142	1.41000	0.635
143	1.42000	0.456
144	1.43000	0.100
145	1.44000	-0.324
146	1.45000	-0.573
147	1.46000	-0.865
148	1.47000	-1.088
149	1.48000	-1.007
150	1.49000	-0.707
151	1.50000	-0.247
152	1.51000	0.231
153	1.52000	0.671
154	1.53000	0.967
155	1.54000	1.055
156	1.55000	0.956
157	1.56000	0.635
158	1.57000	0.346
159	1.58000	0.099
160	1.59000	-0.289
161	1.60000	-0.611
162	1.61000	-0.863
163	1.62000	-0.991
164	1.63000	-0.931
165	1.64000	-0.736
166	1.65000	-0.429
167	1.66000	-0.161
168	1.67000	0.120
169	1.68000	0.281
170	1.69000	0.092
171	1.70000	-0.218
172	1.71000	-0.630
173	1.72000	-1.150
174	1.73000	-1.604
175	1.74000	-1.983
176	1.75000	-2.289
177	1.76000	-2.502
178	1.77000	-2.313
179	1.78000	-1.722
180	1.79000	-0.884
181	1.80000	0.188
182	1.81000	1.318
183	1.82000	2.413
184	1.83000	3.384
185	1.84000	4.012
186	1.85000	4.342
187	1.86000	4.225
188	1.87000	3.704
189	1.88000	3.096
190	1.89000	2.543
191	1.90000	2.078
192	1.91000	1.701
193	1.92000	1.503
194	1.93000	1.252
195	1.94000	0.803
196	1.95000	-0.009
197	1.96000	-1.594
198	1.97000	-4.050
199	1.98000	-7.462
200	1.99000	-11.554
201	2.00000	-15.712
202	2.01000	-19.658
203	2.02000	-22.876
204	2.03000	-24.780
205	2.04000	-25.436
206	2.05000	-25.220
207	2.06000	-24.436
208	2.07000	-23.497
209	2.08000	-22.415
210	2.09000	-20.883
211	2.10000	-18.761
212	2.11000	-16.197
213	2.12000	-13.650
214	2.13000	-11.782
215	2.14000	-10.882
216	2.15000	-10.479
217	2.16000	-10.424
218	2.17000	-10.376
219	2.18000	-9.317
220	2.19000	-7.226
221	2.20000	-3.722
222	2.21000	1.011
223	2.22000	5.110
224	2.23000	7.340
225	2.24000	7.722
226	2.25000	6.668
227	2.26000	4.346
228	2.27000	1.075
229	2.28000	-2.442
230	2.29000	-5.650
231	2.30000	-7.641
232	2.31000	-8.412
233	2.32000	-8.862
234	2.33000	-9.161
235	2.34000	-9.540
236	2.35000	-9.972
237	2.36000	-10.263
238	2.37000	-10.777
239	2.38000	-11.706
240	2.39000	-12.848
241	2.40000	-13.744
242	2.41000	-14.353
243	2.42000	-14.955
244	2.43000	-15.374
245	2.44000	-15.610
246	2.45000	-15.606
247	2.46000	-15.623
248	2.47000	-16.240
249	2.48000	-17.455
250	2.49000	-19.031
251	2.50000	-20.589
252	2.51000	-21.726
253	2.52000	-22.267
254	2.53000	-21.849
255	2.54000	-20.355
256	2.55000	-18.229
257	2.56000	-16.300
258	2.57000	-14.971
259	2.58000	-14.395
260	2.59000	-14.848
261	2.60000	-16.027
262	2.61000	-17.128
263	2.62000	-17.535
264	2.63000	-16.907
265	2.64000	-15.565
266	2.65000	-13.804
267	2.66000	-11.774
268	2.67000	-10.023
269	2.68000	-8.935
270	2.69000	-8.540
271	2.70000	-8.783
272	2.71000	-9.353
273	2.72000	-9.960
274	2.73000	-10.121
275	2.74000	-10.842
276	2.75000	-11.205
277	2.76000	-10.027
278	2.77000	-8.751
279	2.78000	-7.446
280	2.79000	-6.120
281	2.80000	-5.055
282	2.81000	-4.203
283	2.82000	-3.570
284	2.83000	-4.259
285	2.84000	-5.855
286	2.85000	-5.980
287	2.86000	-5.532
288	2.87000	-5.676
289	2.88000	-5.471
290	2.89000	-4.816
291	2.90000	-3.970
292	2.91000	-3.234
293	2.92000	-3.047
294	2.93000	-4.284
295	2.94000	-5.344
296	2.95000	-5.406
297	2.96000	-5.942
298	2.97000	-6.496
299	2.98000	-6.786
300	2.99000	-7.298
301	3.00000	-8.255
302	3.01000	-9.912
303	3.02000	-12.147
304	3.03000	-14.711
305	3.04000	-17.418
306	3.05000	-19.933
307	3.06000	-22.423
308	3.07000	-24.812
309	3.08000	-26.866
310	3.09000	-28.617
311	3.10000	-30.134
312	3.11000	-31.772
313	3.12000	-33.226
314	3.13000	-34.246
315	3.14000	-35.081
316	3.15000	-35.818
317	3.16000	-36.289
318	3.17000	-36.275
319	3.18000	-35.678
320	3.19000	-34.496
321	3.20000	-32.881
322	3.21000	-31.105
323	3.22000	-29.335
324	3.23000	-27.525
325	3.24000	-25.400
326	3.25000	-22.859
327	3.26000	-20.343
328	3.27000	-18.299
329	3.28000	-16.848
330	3.29000	-15.875
331	3.30000	-15.122
332	3.31000	-14.450
333	3.32000	-14.145
334	3.33000	-13.934
335	3.34000	-13.254
336	3.35000	-12.039
337	3.36000	-10.473
338	3.37000	-9.068
339	3.38000	-8.137
340	3.39000	-7.420
341	3.40000	-6.572
342	3.41000	-5.465
343	3.42000	-4.554
344	3.43000	-3.978
345	3.44000	-3.425
346	3.45000	-2.853
347	3.46000	-2.067
348	3.47000	-1.256
349	3.48000	-0.549
350	3.49000	0.283
351	3.50000	1.146
352	3.51000	2.151
353	3.52000	2.658
354	3.53000	0.675
355	3.54000	-0.513
356	3.55000	0.766
357	3.56000	1.820
358	3.57000	2.841
359	3.58000	3.973
360	3.59000	5.231
361	3.60000	6.647
362	3.61000	8.367
363	3.62000	8.993
364	3.63000	7.463
365	3.64000	7.390
366	3.65000	8.344
367	3.66000	7.837
368	3.67000	7.163
369	3.68000	6.592
370	3.69000	6.510
371	3.70000	7.245
372	3.71000	8.301
373	3.72000	9.183
374	3.73000	9.752
375	3.74000	9.849
376	3.75000	9.668
377	3.76000	9.302
378	3.77000	8.728
379	3.78000	8.174
380	3.79000	8.104
381	3.80000	8.449
382	3.81000	8.715
383	3.82000	9.337
384	3.83000	10.131
385	3.84000	10.804
386	3.85000	11.601
387	3.86000	12.106
388	3.87000	12.349
389	3.88000	12.624
390	3.89000	13.038
391	3.90000	13.261
392	3.91000	13.038
393	3.92000	12.640
394	3.93000	12.159
395	3.94000	11.691
396	3.95000	11.514
397	3.96000	11.046
398	3.97000	10.084
399	3.98000	9.167
400	3.99000	8.283
401	4.00000	7.156
402	4.01000	5.866
403	4.02000	5.345
404	4.03000	5.771
405	4.04000	6.807
406	4.05000	8.154
407	4.06000	8.972
408	4.07000	9.018
409	4.08000	9.285
410	4.09000	11.034
411	4.10000	13.586
412	4.11000	15.628
413	4.12000	17.557
414	4.13000	19.000
415	4.14000	19.398
416	4.15000	19.153
417	4.16000	18.606
418	4.17000	18.678
419	4.18000	20.996
420	4.19000	25.549
421	4.20000	29.582
422	4.21000	31.070
423	4.22000	30.146
424	4.23000	27.101
425	4.24000	22.424
426	4.25000	17.656
427	4.26000	14.042
428	4.27000	12.250
429	4.28000	12.275
430	4.29000	12.997
431	4.30000	13.148
432	4.31000	12.227
433	4.32000	10.489
434	4.33000	8.568
435	4.34000	6.759
436	4.35000	5.250
437	4.36000	4.239
438	4.37000	3.565
439	4.38000	3.174
440	4.39000	3.219
441	4.40000	3.528
442	4.41000	3.892
443	4.42000	4.315
444	4.43000	4.937
445	4.44000	5.261
446	4.45000	5.139
447	4.46000	5.135
448	4.47000	5.078
449	4.48000	5.083
450	4.49000	5.324
451	4.50000	5.575
452	4.51000	6.049
453	4.52000	6.752
454	4.53000	7.446
455	4.54000	8.059
456	4.55000	8.808
457	4.56000	9.591
458	4.57000	10.042
459	4.58000	10.113
460	4.59000	9.608
461	4.60000	8.634
462	4.61000	7.548
463	4.62000	6.410
464	4.63000	5.337
465	4.64000	4.555
466	4.65000	3.971
467	4.66000	3.463
468	4.67000	3.194
469	4.68000	3.070
470	4.69000	2.952
471	4.70000	2.802
472	4.71000	2.472
473	4.72000	2.166
474	4.73000	1.945
475	4.74000	1.660
476	4.75000	1.396
477	4.76000	1.168
478	4.77000	0.908
479	4.78000	0.573
480	4.79000	0.248
481	4.80000	0.092
482	4.81000	0.234
483	4.82000	0.778
484	4.83000	1.462
485	4.84000	2.136
486	4.85000	2.479
487	4.86000	2.405
488	4.87000	2.125
489	4.88000	1.386
490	4.89000	0.478
491	4.90000	-0.074
492	4.91000	-0.385
493	4.92000	-0.662
494	4.93000	-0.854
495	4.94000	-1.150
496	4.95000	-1.851
497	4.96000	-2.768
498	4.97000	-3.791
499	4.98000	-5.070
500	4.99000	-6.435
501	5.00000	-7.735
502	5.01000	-8.954
503	5.02000	-9.838
504	5.03000	-10.282
505	5.04000	-10.593
506	5.05000	-10.904
507	5.06000	-11.459
508	5.07000	-12.354
509	5.08000	-13.083
510	5.09000	-14.199
511	5.10000	-15.606
512	5.11000	-16.583
513	5.12000	-17.387
514	5.13000	-18.339
515	5.14000	-18.903
516	5.15000	-18.510
517	5.16000	-17.738
518	5.17000	-16.748
519	5.18000	-15.462
520	5.19000	-14.230
521	5.20000	-12.860
522	5.21000	-11.975
523	5.22000	-12.615
524	5.23000	-14.325
525	5.24000	-15.667
526	5.25000	-16.657
527	5.26000	-17.867
528	5.27000	-18.872
529	5.28000	-19.453
530	5.29000	-19.106
531	5.30000	-18.303
532	5.31000	-17.684
533	5.32000	-17.139
534	5.33000	-16.663
535	5.34000	-16.245
536	5.35000	-16.532
537	5.36000	-17.315
538	5.37000	-18.131
539	5.38000	-19.119
540	5.39000	-20.003
541	5.40000	-20.768
542	5.41000	-21.097
543	5.42000	-20.874
544	5.43000	-20.773
545	5.44000	-20.657
546	5.45000	-20.354
547	5.46000	-20.066
548	5.47000	-19.796
549	5.48000	-19.472
550	5.49000	-18.826
551	5.50000	-18.178
552	5.51000	-17.567
553	5.52000	-17.030
554	5.53000	-16.943
555	5.54000	-16.842
556	5.55000	-16.263
557	5.56000	-15.598
558	5.57000	-15.090
559	5.58000	-14.667
560	5.59000	-14.204
561	5.60000	-13.756
562	5.61000	-12.996
563	5.62000	-12.058
564	5.63000	-11.641
565	5.64000	-11.390
566	5.65000	-10.694
567	5.66000	-9.867
568	5.67000	-9.412
569	5.68000	-9.136
570	5.69000	-8.726
571	5.70000	-8.063
572	5.71000	-6.165
573	5.72000	-5.740
574	5.73000	-6.915
575	5.74000	-6.802
576	5.75000	-6.020
577	5.76000	-4.731
578	5.77000	-3.280
579	5.78000	-1.355
580	5.79000	1.003
581	5.80000	3.338
582	5.81000	5.762
583	5.82000	6.180
584	5.83000	6.294
585	5.84000	7.799
586	5.85000	8.790
587	5.86000	9.584
588	5.87000	10.181
589	5.88000	10.997
590	5.89000	12.096
591	5.90000	13.044
592	5.91000	13.843
593	5.92000	14.644
594	5.93000	14.961
595	5.94000	15.017
596	5.95000	15.255
597	5.96000	16.727
