NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:26:39
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HL_Angular_Acceleration

Frame	Time	HL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-9.446
3	0.02000	-23.117
4	0.03000	-32.679
5	0.04000	-38.133
6	0.05000	-39.479
7	0.06000	-36.716
8	0.07000	-29.378
9	0.08000	-21.183
10	0.09000	20.819
11	0.10000	5.145
12	0.11000	9.616
13	0.12000	16.779
14	0.13000	0.211
15	0.14000	18.560
16	0.15000	-1.744
17	0.16000	-2.154
18	0.17000	-18.667
19	0.18000	-18.649
20	0.19000	-33.453
21	0.20000	-27.089
22	0.21000	-11.357
23	0.22000	-7.124
24	0.23000	1.915
25	0.24000	10.375
26	0.25000	9.722
27	0.26000	19.954
28	0.27000	4.291
29	0.28000	0.270
30	0.29000	-5.357
31	0.30000	-8.470
32	0.31000	-14.266
33	0.32000	-21.929
34	0.33000	-22.629
35	0.34000	-26.312
36	0.35000	16.669
37	0.36000	5.722
38	0.37000	36.118
39	0.38000	27.110
40	0.39000	38.121
41	0.40000	15.832
42	0.41000	4.081
43	0.42000	-19.413
44	0.43000	-60.214
45	0.44000	-63.340
46	0.45000	-51.421
47	0.46000	-51.945
48	0.47000	13.417
49	0.48000	21.635
50	0.49000	56.526
51	0.50000	62.957
52	0.51000	58.315
53	0.52000	42.714
54	0.53000	9.334
55	0.54000	-11.122
56	0.55000	-22.571
57	0.56000	-2.742
58	0.57000	-9.337
59	0.58000	0.330
60	0.59000	-0.488
61	0.60000	5.988
62	0.61000	-5.320
63	0.62000	14.589
64	0.63000	10.605
65	0.64000	14.596
66	0.65000	11.251
67	0.66000	15.361
68	0.67000	-14.717
69	0.68000	-8.627
70	0.69000	-25.887
71	0.70000	-25.553
72	0.71000	-39.737
73	0.72000	-19.192
74	0.73000	-4.546
75	0.74000	19.579
76	0.75000	22.594
77	0.76000	39.826
78	0.77000	37.457
79	0.78000	14.928
80	0.79000	9.637
81	0.80000	-27.541
82	0.81000	-29.619
83	0.82000	-33.663
84	0.83000	-23.425
85	0.84000	-20.029
86	0.85000	4.616
87	0.86000	3.196
88	0.87000	30.387
89	0.88000	31.215
90	0.89000	37.912
91	0.90000	28.635
92	0.91000	26.824
93	0.92000	17.066
94	0.93000	-24.631
95	0.94000	-38.200
96	0.95000	-39.770
97	0.96000	-57.711
98	0.97000	-60.591
99	0.98000	-31.881
100	0.99000	-25.855
101	1.00000	10.058
102	1.01000	3.682
103	1.02000	10.042
104	1.03000	-9.211
105	1.04000	17.496
106	1.05000	-15.381
107	1.06000	-10.574
108	1.07000	-68.978
109	1.08000	-54.006
110	1.09000	-96.265
111	1.10000	-134.456
112	1.11000	-222.533
113	1.12000	-251.302
114	1.13000	-293.801
115	1.14000	-299.534
116	1.15000	-333.898
117	1.16000	-269.831
118	1.17000	-271.250
119	1.18000	-233.458
120	1.19000	-242.953
121	1.20000	-259.907
122	1.21000	-284.081
123	1.22000	-290.418
124	1.23000	-358.796
125	1.24000	-347.499
126	1.25000	-330.933
127	1.26000	-240.810
128	1.27000	-203.648
129	1.28000	-175.986
130	1.29000	-134.660
131	1.30000	-120.791
132	1.31000	-153.468
133	1.32000	-218.779
134	1.33000	-342.364
135	1.34000	-401.210
136	1.35000	-400.746
137	1.36000	-393.436
138	1.37000	-327.335
139	1.38000	-239.745
140	1.39000	-85.847
141	1.40000	-177.550
142	1.41000	-87.664
143	1.42000	-108.396
144	1.43000	-168.780
145	1.44000	-215.803
146	1.45000	-265.925
147	1.46000	-309.976
148	1.47000	-227.375
149	1.48000	-118.346
150	1.49000	-55.714
151	1.50000	-187.512
152	1.51000	-116.855
153	1.52000	-283.847
154	1.53000	-279.354
155	1.54000	-208.251
156	1.55000	-136.095
157	1.56000	-20.415
158	1.57000	60.772
159	1.58000	91.325
160	1.59000	32.518
161	1.60000	-89.327
162	1.61000	-173.918
163	1.62000	-248.755
164	1.63000	-149.038
165	1.64000	-19.410
166	1.65000	64.181
167	1.66000	109.280
168	1.67000	72.757
169	1.68000	32.516
170	1.69000	-26.294
171	1.70000	-69.800
172	1.71000	-42.372
173	1.72000	18.530
174	1.73000	105.924
175	1.74000	148.620
176	1.75000	174.219
177	1.76000	152.256
178	1.77000	97.586
179	1.78000	54.582
180	1.79000	-23.038
181	1.80000	-68.362
182	1.81000	-62.602
183	1.82000	-132.644
184	1.83000	-51.467
185	1.84000	-37.380
186	1.85000	71.584
187	1.86000	102.149
