NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:54
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre_post

Frame	Time	KR_Angular_Acceleration_pre_post	
265	2.64000	167.909
266	2.65000	177.845
267	2.66000	170.681
268	2.67000	141.330
269	2.68000	91.137
270	2.69000	40.445
271	2.70000	35.775
272	2.71000	22.685
273	2.72000	19.631
274	2.73000	39.758
275	2.74000	67.880
276	2.75000	86.161
277	2.76000	105.349
278	2.77000	135.359
279	2.78000	153.389
280	2.79000	169.348
281	2.80000	191.631
282	2.81000	195.439
283	2.82000	184.777
284	2.83000	184.118
285	2.84000	184.705
286	2.85000	169.102
287	2.86000	159.759
288	2.87000	162.857
289	2.88000	156.744
290	2.89000	159.089
291	2.90000	161.071
292	2.91000	155.320
293	2.92000	148.552
294	2.93000	141.106
295	2.94000	130.350
296	2.95000	101.277
297	2.96000	95.624
298	2.97000	103.879
299	2.98000	111.318
300	2.99000	126.435
301	3.00000	131.904
302	3.01000	132.024
303	3.02000	132.255
304	3.03000	129.240
305	3.04000	136.700
306	3.05000	155.415
307	3.06000	220.856
308	3.07000	312.581
309	3.08000	415.329
310	3.09000	528.811
311	3.10000	634.936
312	3.11000	727.464
313	3.12000	783.753
314	3.13000	775.905
315	3.14000	697.912
316	3.15000	554.450
317	3.16000	370.191
318	3.17000	155.865
319	3.18000	-56.191
320	3.19000	-229.286
321	3.20000	-332.311
322	3.21000	-355.329
323	3.22000	-318.236
324	3.23000	-260.994
325	3.24000	-211.910
326	3.25000	-194.940
327	3.26000	-221.280
328	3.27000	-297.166
329	3.28000	-393.205
330	3.29000	-476.632
331	3.30000	-495.687
332	3.31000	-438.640
333	3.32000	-310.907
334	3.33000	-145.553
335	3.34000	37.899
336	3.35000	197.445
337	3.36000	306.266
338	3.37000	352.076
339	3.38000	344.046
340	3.39000	298.490
341	3.40000	246.687
342	3.41000	193.088
343	3.42000	135.939
344	3.43000	85.861
345	3.44000	49.720
346	3.45000	19.135
347	3.46000	-14.324
348	3.47000	-38.290
349	3.48000	-56.338
350	3.49000	-61.712
351	3.50000	-55.165
352	3.51000	-37.367
353	3.52000	-17.608
354	3.53000	15.604
355	3.54000	51.369
356	3.55000	85.871
357	3.56000	103.320
358	3.57000	112.768
359	3.58000	106.891
360	3.59000	97.092
361	3.60000	67.628
362	3.61000	47.385
363	3.62000	28.678
364	3.63000	14.649
365	3.64000	6.102
366	3.65000	-0.488
367	3.66000	-4.726
368	3.67000	-5.480
369	3.68000	-1.279
370	3.69000	3.935
371	3.70000	-6.928
372	3.71000	-4.997
373	3.72000	-12.582
374	3.73000	-26.589
375	3.74000	-41.295
376	3.75000	-61.180
377	3.76000	-69.342
378	3.77000	-70.487
379	3.78000	-58.166
380	3.79000	-45.471
381	3.80000	-29.079
382	3.81000	-6.513
383	3.82000	7.399
384	3.83000	23.263
385	3.84000	26.175
386	3.85000	22.023
387	3.86000	17.890
388	3.87000	4.137
389	3.88000	-11.443
390	3.89000	-31.508
391	3.90000	-41.913
392	3.91000	-42.613
393	3.92000	-24.937
394	3.93000	23.341
395	3.94000	66.570
396	3.95000	117.804
397	3.96000	162.867
398	3.97000	195.166
399	3.98000	218.960
400	3.99000	224.129
401	4.00000	209.326
402	4.01000	167.254
403	4.02000	121.970
404	4.03000	74.278
405	4.04000	11.249
406	4.05000	-48.905
407	4.06000	-87.781
408	4.07000	-97.098
409	4.08000	-64.618
410	4.09000	-12.585
411	4.10000	41.399
412	4.11000	82.797
413	4.12000	133.946
414	4.13000	171.023
415	4.14000	205.830
416	4.15000	214.918
417	4.16000	237.619
418	4.17000	260.738
419	4.18000	290.312
420	4.19000	305.911
421	4.20000	299.158
422	4.21000	283.665
423	4.22000	268.775
424	4.23000	248.996
425	4.24000	249.139
426	4.25000	230.350
427	4.26000	235.873
428	4.27000	239.425
429	4.28000	268.163
430	4.29000	291.210
431	4.30000	304.753
432	4.31000	318.729
433	4.32000	316.791
434	4.33000	310.579
435	4.34000	304.513
436	4.35000	275.969
437	4.36000	242.431
438	4.37000	208.081
439	4.38000	211.203
440	4.39000	201.047
441	4.40000	198.563
442	4.41000	196.350
443	4.42000	197.354
444	4.43000	208.365
445	4.44000	218.312
446	4.45000	219.046
447	4.46000	211.157
448	4.47000	206.447
449	4.48000	208.721
450	4.49000	197.819
451	4.50000	182.938
452	4.51000	153.215
453	4.52000	120.474
454	4.53000	91.221
455	4.54000	52.482
456	4.55000	17.913
457	4.56000	-0.223
458	4.57000	-0.270
459	4.58000	14.537
460	4.59000	36.644
461	4.60000	60.078
462	4.61000	73.909
463	4.62000	74.312
464	4.63000	71.620
465	4.64000	45.028
466	4.65000	23.402
467	4.66000	12.267
468	4.67000	4.279
469	4.68000	3.221
470	4.69000	2.999
471	4.70000	18.301
472	4.71000	31.905
473	4.72000	40.600
474	4.73000	51.921
475	4.74000	47.686
476	4.75000	43.490
477	4.76000	18.388
478	4.77000	-24.035
479	4.78000	-77.480
480	4.79000	-145.505
481	4.80000	-202.470
482	4.81000	-251.710
483	4.82000	-298.527
484	4.83000	-330.052
485	4.84000	-360.718
486	4.85000	-375.480
487	4.86000	-441.314
488	4.87000	-491.951
489	4.88000	-519.512
490	4.89000	-525.586
491	4.90000	-496.953
492	4.91000	-456.081
493	4.92000	-377.479
494	4.93000	-325.305
495	4.94000	-305.900
496	4.95000	-326.302
497	4.96000	-450.908
498	4.97000	-513.031
499	4.98000	-532.590
500	4.99000	-523.275
501	5.00000	-483.636
502	5.01000	-422.412
503	5.02000	-302.311
504	5.03000	-267.378
505	5.04000	-256.578
506	5.05000	-279.515
507	5.06000	-319.944
508	5.07000	-284.127
509	5.08000	-208.096
510	5.09000	-110.928
511	5.10000	-4.061
512	5.11000	91.340
513	5.12000	162.469
514	5.13000	145.833
515	5.14000	104.003
516	5.15000	30.457
517	5.16000	-47.484
518	5.17000	-105.828
519	5.18000	-131.864
520	5.19000	-135.459
521	5.20000	-123.090
522	5.21000	-105.890
523	5.22000	-88.290
524	5.23000	-75.983
525	5.24000	-64.931
526	5.25000	-63.318
527	5.26000	-65.235
528	5.27000	-56.933
529	5.28000	-44.974
530	5.29000	-25.967
531	5.30000	-12.709
532	5.31000	-3.389
533	5.32000	0.761
534	5.33000	-3.497
535	5.34000	-5.287
536	5.35000	-2.457
537	5.36000	4.535
538	5.37000	22.749
539	5.38000	37.510
540	5.39000	49.801
541	5.40000	45.739
542	5.41000	34.073
543	5.42000	19.069
544	5.43000	1.936
545	5.44000	-4.854
546	5.45000	2.381
547	5.46000	10.172
548	5.47000	17.854
549	5.48000	14.692
550	5.49000	6.918
551	5.50000	-6.320
552	5.51000	-17.986
553	5.52000	-20.528
554	5.53000	-18.951
555	5.54000	-10.375
556	5.55000	-1.941
557	5.56000	-8.288
558	5.57000	-20.648
559	5.58000	-42.314
560	5.59000	-73.491
561	5.60000	-105.814
562	5.61000	-131.138
563	5.62000	-145.370
564	5.63000	-144.282
565	5.64000	-121.002
566	5.65000	-69.723
567	5.66000	-60.365
568	5.67000	-8.831
569	5.68000	51.038
570	5.69000	106.923
571	5.70000	156.393
572	5.71000	187.542
573	5.72000	202.042
574	5.73000	209.451
575	5.74000	207.281
576	5.75000	180.666
577	5.76000	54.878
578	5.77000	-3.508
579	5.78000	-77.904
580	5.79000	-139.657
581	5.80000	-190.607
582	5.81000	-227.465
583	5.82000	-227.232
584	5.83000	-191.954
585	5.84000	-134.695
586	5.85000	-91.707
587	5.86000	-83.058
588	5.87000	-50.814
589	5.88000	-67.687
590	5.89000	-79.711
591	5.90000	-112.907
592	5.91000	-162.673
593	5.92000	-152.462
594	5.93000	-157.702
595	5.94000	-158.018
596	5.95000	-176.725
597	5.96000	-168.411
598	5.97000	-157.201
599	5.98000	-162.462
600	5.99000	-176.816
601	6.00000	-199.940
602	6.01000	-234.065
603	6.02000	-186.280
604	6.03000	-213.722
605	6.04000	-229.095
606	6.05000	-282.498
607	6.06000	-329.329
608	6.07000	-418.223
609	6.08000	-543.982
610	6.09000	-611.518
611	6.10000	-574.528
612	6.11000	-455.762
613	6.12000	-227.743
614	6.13000	-30.007
615	6.14000	168.623
616	6.15000	250.669
617	6.16000	240.977
618	6.17000	130.693
619	6.18000	-8.967
620	6.19000	-81.609
621	6.20000	-148.526
622	6.21000	-224.629
623	6.22000	-291.690
624	6.23000	-361.931
625	6.24000	-394.349
626	6.25000	-399.928
627	6.26000	-323.923
628	6.27000	-195.416
629	6.28000	-31.364
630	6.29000	102.755
631	6.30000	139.411
632	6.31000	99.667
633	6.32000	35.480
634	6.33000	-49.828
635	6.34000	-130.605
636	6.35000	-182.721
637	6.36000	-201.959
638	6.37000	-204.904
639	6.38000	-213.214
640	6.39000	-244.907
641	6.40000	-249.852
642	6.41000	-245.385
643	6.42000	-207.964
644	6.43000	-165.009
645	6.44000	-140.358
646	6.45000	-124.016
647	6.46000	-98.559
648	6.47000	-34.205
649	6.48000	25.016
650	6.49000	69.950
651	6.50000	128.465
652	6.51000	128.199
653	6.52000	127.748
654	6.53000	139.836
655	6.54000	104.780
656	6.55000	69.464
657	6.56000	70.729
658	6.57000	94.230
659	6.58000	113.808
660	6.59000	129.970
661	6.60000	149.585
662	6.61000	146.785
663	6.62000	159.053
664	6.63000	177.206
665	6.64000	164.464
666	6.65000	158.342
