NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:39:53
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HR_Angular_Acceleration

Frame	Time	HR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-16.985
3	0.02000	4.023
4	0.03000	19.185
5	0.04000	28.500
6	0.05000	31.969
7	0.06000	29.591
8	0.07000	30.338
9	0.08000	-3.198
10	0.09000	-42.019
11	0.10000	-39.805
12	0.11000	-37.727
13	0.12000	-32.038
14	0.13000	-3.116
15	0.14000	-3.541
16	0.15000	2.144
17	0.16000	13.686
18	0.17000	5.030
19	0.18000	5.701
20	0.19000	-4.385
21	0.20000	1.682
22	0.21000	-14.055
23	0.22000	-6.570
24	0.23000	-0.732
25	0.24000	-25.233
26	0.25000	-26.575
27	0.26000	-4.885
28	0.27000	-11.713
29	0.28000	3.128
30	0.29000	1.624
31	0.30000	-2.513
32	0.31000	0.079
33	0.32000	-117.669
34	0.33000	162.982
35	0.34000	109.128
36	0.35000	206.315
37	0.36000	-230.731
38	0.37000	155.051
39	0.38000	-142.248
40	0.39000	-144.565
41	0.40000	-264.136
42	0.41000	4.497
43	0.42000	-7.690
44	0.43000	283.608
45	0.44000	156.484
46	0.45000	128.941
47	0.46000	-192.642
48	0.47000	235.867
49	0.48000	-179.195
50	0.49000	-125.441
51	0.50000	-127.521
52	0.51000	93.510
53	0.52000	-15.519
54	0.53000	7.223
55	0.54000	3.152
56	0.55000	2.737
57	0.56000	28.000
58	0.57000	48.075
59	0.58000	20.109
60	0.59000	10.478
61	0.60000	32.744
62	0.61000	-19.037
63	0.62000	-1.545
64	0.63000	20.976
65	0.64000	5.463
66	0.65000	9.524
67	0.66000	23.552
68	0.67000	-20.728
69	0.68000	-44.078
70	0.69000	-21.083
71	0.70000	-28.502
72	0.71000	-16.522
73	0.72000	-11.361
74	0.73000	-3.735
75	0.74000	-15.279
76	0.75000	-9.500
77	0.76000	8.848
78	0.77000	-27.749
79	0.78000	-22.448
80	0.79000	-4.630
81	0.80000	-21.163
82	0.81000	-15.252
83	0.82000	-24.251
84	0.83000	-14.013
85	0.84000	-3.402
86	0.85000	-6.770
87	0.86000	5.364
88	0.87000	1.490
89	0.88000	12.509
90	0.89000	16.963
91	0.90000	5.023
92	0.91000	7.654
93	0.92000	-13.989
94	0.93000	-0.218
95	0.94000	7.443
96	0.95000	-13.418
97	0.96000	-16.586
98	0.97000	-3.732
99	0.98000	-8.977
100	0.99000	13.999
101	1.00000	19.083
102	1.01000	28.721
103	1.02000	4.762
104	1.03000	28.857
105	1.04000	10.079
106	1.05000	1.606
107	1.06000	-19.952
108	1.07000	2.242
109	1.08000	-30.396
110	1.09000	-7.028
111	1.10000	7.837
112	1.11000	-10.601
113	1.12000	4.653
114	1.13000	0.073
115	1.14000	-10.007
116	1.15000	34.564
117	1.16000	25.454
118	1.17000	19.105
119	1.18000	0.824
120	1.19000	-3.655
121	1.20000	-0.455
122	1.21000	-48.172
123	1.22000	-13.431
124	1.23000	-68.761
125	1.24000	-25.029
126	1.25000	9.322
127	1.26000	16.605
128	1.27000	15.515
129	1.28000	14.957
130	1.29000	6.568
131	1.30000	11.722
132	1.31000	-10.789
133	1.32000	0.270
134	1.33000	-17.834
135	1.34000	-3.555
136	1.35000	10.642
137	1.36000	20.667
138	1.37000	-1.331
139	1.38000	5.843
140	1.39000	0.500
141	1.40000	22.993
142	1.41000	4.859
143	1.42000	9.450
144	1.43000	3.936
145	1.44000	14.992
146	1.45000	23.970
147	1.46000	12.015
148	1.47000	-24.674
149	1.48000	-1.833
150	1.49000	-4.314
151	1.50000	32.016
152	1.51000	21.517
153	1.52000	-5.285
154	1.53000	9.072
155	1.54000	33.878
156	1.55000	12.704
157	1.56000	12.486
158	1.57000	-31.930
159	1.58000	-0.035
160	1.59000	-16.698
161	1.60000	1.890
162	1.61000	-18.992
163	1.62000	-34.584
164	1.63000	-11.052
165	1.64000	10.457
166	1.65000	-11.174
167	1.66000	12.390
168	1.67000	2.591
169	1.68000	36.838
170	1.69000	-10.596
171	1.70000	41.114
172	1.71000	-15.542
173	1.72000	-19.271
174	1.73000	-38.432
175	1.74000	-37.322
176	1.75000	-38.529
177	1.76000	-36.972
178	1.77000	-0.729
179	1.78000	21.343
180	1.79000	110.167
181	1.80000	-131.323
182	1.81000	-172.870
183	1.82000	-106.573
184	1.83000	-101.730
185	1.84000	-67.826
186	1.85000	-34.729
187	1.86000	26.034
188	1.87000	57.031
189	1.88000	35.458
190	1.89000	-4.799
191	1.90000	-285.859
192	1.91000	-153.171
193	1.92000	-105.769
194	1.93000	-80.361
195	1.94000	-41.184
196	1.95000	-29.182
197	1.96000	64.994
198	1.97000	74.507
199	1.98000	80.545
200	1.99000	104.125
201	2.00000	145.280
202	2.01000	152.036
203	2.02000	118.970
204	2.03000	92.279
205	2.04000	5.997
206	2.05000	-59.840
207	2.06000	-82.330
208	2.07000	-71.278
209	2.08000	-99.382
210	2.09000	-60.983
211	2.10000	-47.051
212	2.11000	2.406
213	2.12000	9.435
214	2.13000	30.538
215	2.14000	18.911
216	2.15000	31.080
217	2.16000	-17.938
218	2.17000	-25.514
219	2.18000	-60.994
220	2.19000	-71.217
221	2.20000	-29.391
222	2.21000	35.115
223	2.22000	54.562
224	2.23000	95.623
225	2.24000	101.143
226	2.25000	108.307
227	2.26000	82.139
228	2.27000	77.109
229	2.28000	58.289
230	2.29000	-25.598
231	2.30000	-36.043
232	2.31000	-117.209
233	2.32000	-172.975
234	2.33000	-196.543
235	2.34000	-268.716
236	2.35000	-20.353
237	2.36000	47.320
238	2.37000	115.679
239	2.38000	169.942
240	2.39000	109.068
241	2.40000	18.738
242	2.41000	-170.810
243	2.42000	-644.755
