NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:28:28
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	2.485
3	0.02000	1.877
4	0.03000	1.338
5	0.04000	0.870
6	0.05000	0.472
7	0.06000	0.144
8	0.07000	-0.471
9	0.08000	-0.833
10	0.09000	-0.613
11	0.10000	-0.201
12	0.11000	0.174
13	0.12000	0.568
14	0.13000	0.860
15	0.14000	0.914
16	0.15000	0.748
17	0.16000	0.436
18	0.17000	-0.020
19	0.18000	-0.416
20	0.19000	-0.656
21	0.20000	-0.774
22	0.21000	-0.595
23	0.22000	-0.117
24	0.23000	0.433
25	0.24000	0.928
26	0.25000	1.339
27	0.26000	1.724
28	0.27000	1.714
29	0.28000	1.348
30	0.29000	0.845
31	0.30000	0.178
32	0.31000	-0.363
33	0.32000	-0.687
34	0.33000	-0.831
35	0.34000	-0.667
36	0.35000	-0.156
37	0.36000	0.597
38	0.37000	1.223
39	0.38000	1.701
40	0.39000	1.910
41	0.40000	1.726
42	0.41000	1.296
43	0.42000	0.589
44	0.43000	-0.246
45	0.44000	-0.910
46	0.45000	-1.377
47	0.46000	-1.662
48	0.47000	-1.574
49	0.48000	-1.215
50	0.49000	-0.787
51	0.50000	-0.252
52	0.51000	0.186
53	0.52000	0.395
54	0.53000	0.423
55	0.54000	0.211
56	0.55000	-0.227
57	0.56000	-0.750
58	0.57000	-1.167
59	0.58000	-1.432
60	0.59000	-1.347
61	0.60000	-0.924
62	0.61000	-0.339
63	0.62000	0.302
64	0.63000	0.858
65	0.64000	1.226
66	0.65000	1.355
67	0.66000	1.138
68	0.67000	0.625
69	0.68000	0.019
70	0.69000	-0.562
71	0.70000	-1.044
72	0.71000	-1.278
73	0.72000	-1.284
74	0.73000	-1.028
75	0.74000	-0.474
76	0.75000	0.136
77	0.76000	0.696
78	0.77000	1.059
79	0.78000	1.120
80	0.79000	0.976
81	0.80000	0.624
82	0.81000	0.093
83	0.82000	-0.556
84	0.83000	-1.089
85	0.84000	-1.214
86	0.85000	-1.064
87	0.86000	-0.678
88	0.87000	-0.048
89	0.88000	0.613
90	0.89000	1.271
91	0.90000	1.725
92	0.91000	1.856
93	0.92000	1.582
94	0.93000	0.912
95	0.94000	0.283
96	0.95000	-0.118
97	0.96000	-0.126
98	0.97000	0.429
99	0.98000	1.317
100	0.99000	2.556
101	1.00000	3.978
102	1.01000	5.135
103	1.02000	5.703
104	1.03000	5.566
105	1.04000	4.995
106	1.05000	4.210
107	1.06000	3.258
108	1.07000	2.082
109	1.08000	0.942
110	1.09000	0.272
111	1.10000	-0.173
112	1.11000	-0.716
113	1.12000	-1.383
114	1.13000	-2.225
115	1.14000	-3.280
116	1.15000	-4.635
117	1.16000	-6.336
118	1.17000	-8.155
119	1.18000	-9.634
120	1.19000	-10.427
121	1.20000	-10.637
122	1.21000	-10.357
123	1.22000	-9.500
124	1.23000	-8.334
125	1.24000	-7.215
126	1.25000	-6.377
127	1.26000	-5.895
128	1.27000	-5.552
129	1.28000	-5.339
130	1.29000	-5.248
131	1.30000	-5.287
132	1.31000	-5.447
133	1.32000	-5.722
134	1.33000	-6.330
135	1.34000	-7.278
136	1.35000	-8.357
137	1.36000	-9.527
138	1.37000	-10.671
139	1.38000	-11.437
140	1.39000	-12.117
141	1.40000	-13.248
142	1.41000	-15.253
143	1.42000	-18.214
144	1.43000	-21.026
145	1.44000	-22.782
146	1.45000	-23.433
147	1.46000	-23.026
148	1.47000	-21.718
149	1.48000	-19.742
150	1.49000	-18.065
151	1.50000	-17.531
152	1.51000	-18.802
153	1.52000	-21.862
154	1.53000	-25.429
155	1.54000	-28.900
156	1.55000	-31.415
157	1.56000	-31.682
158	1.57000	-30.055
159	1.58000	-27.614
