NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:00
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-74.546
3	0.02000	-29.667
4	0.03000	5.471
5	0.04000	30.865
6	0.05000	46.518
7	0.06000	52.428
8	0.07000	58.958
9	0.08000	-13.815
10	0.09000	-42.479
11	0.10000	-43.698
12	0.11000	-19.260
13	0.12000	7.277
14	0.13000	33.465
15	0.14000	46.229
16	0.15000	53.143
17	0.16000	51.013
18	0.17000	37.835
19	0.18000	29.505
20	0.19000	2.671
21	0.20000	-14.491
22	0.21000	-32.984
23	0.22000	-1.149
24	0.23000	-22.355
25	0.24000	-43.788
26	0.25000	-29.329
27	0.26000	-20.126
28	0.27000	-29.183
29	0.28000	-18.358
30	0.29000	-30.587
31	0.30000	-46.137
32	0.31000	-55.966
33	0.32000	-199.328
34	0.33000	191.897
35	0.34000	135.049
36	0.35000	298.698
37	0.36000	-335.931
38	0.37000	252.540
39	0.38000	-157.793
40	0.39000	-146.431
41	0.40000	-329.273
42	0.41000	63.082
43	0.42000	28.235
44	0.43000	415.090
45	0.44000	232.009
46	0.45000	153.187
47	0.46000	-333.443
48	0.47000	306.314
49	0.48000	-289.019
50	0.49000	-190.636
51	0.50000	-191.334
52	0.51000	170.713
53	0.52000	-18.075
54	0.53000	25.504
55	0.54000	-11.028
56	0.55000	-37.863
57	0.56000	-23.007
58	0.57000	28.235
59	0.58000	-46.621
60	0.59000	-44.281
61	0.60000	0.638
62	0.61000	-41.467
63	0.62000	-21.359
64	0.63000	20.227
65	0.64000	-2.925
66	0.65000	30.502
67	0.66000	32.057
68	0.67000	-16.157
69	0.68000	-52.357
70	0.69000	-14.324
71	0.70000	-17.416
72	0.71000	14.707
73	0.72000	13.876
74	0.73000	32.658
75	0.74000	31.243
76	0.75000	16.167
77	0.76000	35.710
78	0.77000	3.470
79	0.78000	-5.809
80	0.79000	20.460
81	0.80000	-0.533
82	0.81000	21.981
83	0.82000	4.341
84	0.83000	32.316
85	0.84000	34.793
86	0.85000	14.942
87	0.86000	15.910
88	0.87000	1.549
89	0.88000	-4.087
90	0.89000	-3.749
91	0.90000	-25.643
92	0.91000	-34.755
93	0.92000	-31.347
94	0.93000	-6.501
95	0.94000	12.241
96	0.95000	15.277
97	0.96000	15.595
98	0.97000	36.826
99	0.98000	33.527
100	0.99000	12.949
101	1.00000	-12.057
102	1.01000	-24.965
103	1.02000	-71.939
104	1.03000	-32.084
105	1.04000	-79.145
106	1.05000	-24.301
107	1.06000	-43.610
108	1.07000	39.751
109	1.08000	17.405
110	1.09000	31.434
111	1.10000	54.550
112	1.11000	9.328
113	1.12000	-3.343
114	1.13000	-11.941
115	1.14000	-59.105
