NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:26:04
DATA_INCLUDED	Angle
DATA_TYPES	HL_Angle

Frame	Time	HL_Angle	
1	0.00000	170.715
2	0.01000	170.738
3	0.02000	170.758
4	0.03000	170.775
5	0.04000	170.788
6	0.05000	170.799
7	0.06000	170.805
8	0.07000	170.808
9	0.08000	170.808
10	0.09000	170.806
11	0.10000	170.806
12	0.11000	170.807
13	0.12000	170.808
14	0.13000	170.811
15	0.14000	170.814
16	0.15000	170.819
17	0.16000	170.824
18	0.17000	170.829
19	0.18000	170.832
20	0.19000	170.832
21	0.20000	170.830
22	0.21000	170.825
23	0.22000	170.818
24	0.23000	170.811
25	0.24000	170.805
26	0.25000	170.799
27	0.26000	170.794
28	0.27000	170.791
29	0.28000	170.789
30	0.29000	170.786
31	0.30000	170.783
32	0.31000	170.780
33	0.32000	170.774
34	0.33000	170.767
35	0.34000	170.757
36	0.35000	170.745
37	0.36000	170.734
38	0.37000	170.724
39	0.38000	170.718
40	0.39000	170.714
41	0.40000	170.714
42	0.41000	170.716
43	0.42000	170.718
44	0.43000	170.718
45	0.44000	170.712
46	0.45000	170.700
47	0.46000	170.683
48	0.47000	170.660
49	0.48000	170.639
50	0.49000	170.620
51	0.50000	170.607
52	0.51000	170.600
53	0.52000	170.598
54	0.53000	170.601
55	0.54000	170.605
56	0.55000	170.608
57	0.56000	170.609
58	0.57000	170.609
59	0.58000	170.608
60	0.59000	170.608
61	0.60000	170.607
62	0.61000	170.607
63	0.62000	170.606
64	0.63000	170.607
65	0.64000	170.609
66	0.65000	170.613
67	0.66000	170.617
68	0.67000	170.623
69	0.68000	170.628
70	0.69000	170.631
71	0.70000	170.633
72	0.71000	170.631
73	0.72000	170.626
74	0.73000	170.618
75	0.74000	170.611
76	0.75000	170.605
77	0.76000	170.601
78	0.77000	170.602
79	0.78000	170.606
80	0.79000	170.612
81	0.80000	170.618
82	0.81000	170.622
83	0.82000	170.623
84	0.83000	170.621
85	0.84000	170.616
86	0.85000	170.609
87	0.86000	170.603
88	0.87000	170.597
89	0.88000	170.594
90	0.89000	170.594
91	0.90000	170.598
92	0.91000	170.605
93	0.92000	170.614
94	0.93000	170.625
95	0.94000	170.634
96	0.95000	170.639
97	0.96000	170.640
98	0.97000	170.635
99	0.98000	170.624
100	0.99000	170.610
101	1.00000	170.593
102	1.01000	170.578
103	1.02000	170.562
104	1.03000	170.548
105	1.04000	170.533
106	1.05000	170.519
107	1.06000	170.504
108	1.07000	170.488
109	1.08000	170.465
110	1.09000	170.437
111	1.10000	170.399
112	1.11000	170.348
113	1.12000	170.274
114	1.13000	170.175
115	1.14000	170.047
116	1.15000	169.889
117	1.16000	169.697
118	1.17000	169.479
119	1.18000	169.233
120	1.19000	168.964
121	1.20000	168.671
122	1.21000	168.351
123	1.22000	168.004
124	1.23000	167.627
125	1.24000	167.214
126	1.25000	166.767
127	1.26000	166.287
128	1.27000	165.782
129	1.28000	165.257
130	1.29000	164.715
131	1.30000	164.159
132	1.31000	163.591
133	1.32000	163.007
134	1.33000	162.402
135	1.34000	161.762
136	1.35000	161.083
137	1.36000	160.363
138	1.37000	159.604
139	1.38000	158.812
140	1.39000	157.997
141	1.40000	157.172
142	1.41000	156.330
143	1.42000	155.479
144	1.43000	154.618
145	1.44000	153.739
146	1.45000	152.839
147	1.46000	151.912
148	1.47000	150.954
149	1.48000	149.974
150	1.49000	148.982
151	1.50000	147.984
152	1.51000	146.967
153	1.52000	145.939
154	1.53000	144.882
155	1.54000	143.797
156	1.55000	142.692
157	1.56000	141.573
158	1.57000	140.452
159	1.58000	139.337
160	1.59000	138.231
161	1.60000	137.128
162	1.61000	136.017
163	1.62000	134.888
164	1.63000	133.734
165	1.64000	132.565
166	1.65000	131.394
167	1.66000	130.230
168	1.67000	129.077
169	1.68000	127.930
170	1.69000	126.788
171	1.70000	125.642
172	1.71000	124.490
173	1.72000	123.333
174	1.73000	122.178
175	1.74000	121.034
176	1.75000	119.905
177	1.76000	118.793
178	1.77000	117.696
179	1.78000	116.609
180	1.79000	115.527
181	1.80000	114.444
182	1.81000	113.353
183	1.82000	112.256
184	1.83000	111.146
185	1.84000	110.031
186	1.85000	108.912
187	1.86000	107.800
188	1.87000	106.698
189	1.88000	105.612
190	1.89000	104.544
191	1.90000	103.502
192	1.91000	102.490
193	1.92000	101.508
194	1.93000	100.547
195	1.94000	99.608
196	1.95000	98.687
197	1.96000	97.785
198	1.97000	96.899
199	1.98000	96.029
200	1.99000	95.170
201	2.00000	94.321
202	2.01000	93.479
203	2.02000	92.641
204	2.03000	91.803
205	2.04000	90.969
206	2.05000	90.142
207	2.06000	89.329
208	2.07000	88.538
209	2.08000	87.770
210	2.09000	87.032
211	2.10000	86.323
212	2.11000	85.643
213	2.12000	84.990
214	2.13000	84.363
215	2.14000	83.761
216	2.15000	83.185
217	2.16000	82.631
218	2.17000	82.097
219	2.18000	81.583
220	2.19000	81.089
221	2.20000	80.617
222	2.21000	80.168
223	2.22000	79.752
224	2.23000	79.376
225	2.24000	79.050
226	2.25000	78.780
227	2.26000	78.566
228	2.27000	78.403
229	2.28000	78.280
230	2.29000	78.184
231	2.30000	78.110
232	2.31000	78.056
233	2.32000	78.023
234	2.33000	78.013
235	2.34000	78.028
236	2.35000	78.062
237	2.36000	78.110
238	2.37000	78.161
239	2.38000	78.205
240	2.39000	78.234
241	2.40000	78.252
242	2.41000	78.269
243	2.42000	78.291
244	2.43000	78.324
245	2.44000	78.368
246	2.45000	78.418
247	2.46000	78.475
248	2.47000	78.531
249	2.48000	78.588
250	2.49000	78.648
251	2.50000	78.719
252	2.51000	78.812
253	2.52000	78.934
254	2.53000	79.089
255	2.54000	79.277
256	2.55000	79.494
257	2.56000	79.734
258	2.57000	79.988
259	2.58000	80.254
260	2.59000	80.524
261	2.60000	80.799
262	2.61000	81.080
263	2.62000	81.359
264	2.63000	81.632
265	2.64000	81.890
266	2.65000	82.131
267	2.66000	82.350
268	2.67000	82.542
269	2.68000	82.713
270	2.69000	82.861
271	2.70000	82.998
272	2.71000	83.127
273	2.72000	83.242
274	2.73000	83.340
275	2.74000	83.424
276	2.75000	83.492
277	2.76000	83.545
278	2.77000	83.581
279	2.78000	83.605
280	2.79000	83.620
281	2.80000	83.630
282	2.81000	83.635
283	2.82000	83.636
284	2.83000	83.632
285	2.84000	83.626
286	2.85000	83.617
287	2.86000	83.606
288	2.87000	83.592
289	2.88000	83.577
290	2.89000	83.558
291	2.90000	83.534
292	2.91000	83.507
293	2.92000	83.479
294	2.93000	83.449
295	2.94000	83.422
296	2.95000	83.399
297	2.96000	83.382
298	2.97000	83.371
299	2.98000	83.367
300	2.99000	83.367
301	3.00000	83.369
302	3.01000	83.374
303	3.02000	83.380
304	3.03000	83.387
305	3.04000	83.396
306	3.05000	83.404
307	3.06000	83.411
308	3.07000	83.412
309	3.08000	83.408
310	3.09000	83.396
311	3.10000	83.375
312	3.11000	83.345
313	3.12000	83.304
314	3.13000	83.252
315	3.14000	83.192
316	3.15000	83.122
317	3.16000	83.041
318	3.17000	82.949
319	3.18000	82.850
320	3.19000	82.742
321	3.20000	82.626
322	3.21000	82.505
323	3.22000	82.378
324	3.23000	82.249
325	3.24000	82.123
326	3.25000	81.993
327	3.26000	81.863
328	3.27000	81.740
329	3.28000	81.627
330	3.29000	81.526
331	3.30000	81.444
332	3.31000	81.383
333	3.32000	81.342
334	3.33000	81.327
335	3.34000	81.336
336	3.35000	81.366
337	3.36000	81.418
338	3.37000	81.489
339	3.38000	81.579
340	3.39000	81.685
341	3.40000	81.810
342	3.41000	81.951
343	3.42000	82.115
344	3.43000	82.305
345	3.44000	82.528
346	3.45000	82.786
347	3.46000	83.086
348	3.47000	83.428
349	3.48000	83.812
350	3.49000	84.241
351	3.50000	84.715
352	3.51000	85.233
353	3.52000	85.796
354	3.53000	86.398
355	3.54000	87.041
356	3.55000	87.716
357	3.56000	88.422
358	3.57000	89.155
359	3.58000	89.916
360	3.59000	90.704
361	3.60000	91.527
362	3.61000	92.384
363	3.62000	93.279
364	3.63000	94.212
365	3.64000	95.182
366	3.65000	96.185
367	3.66000	97.218
368	3.67000	98.278
369	3.68000	99.357
370	3.69000	100.452
371	3.70000	101.561
372	3.71000	102.680
373	3.72000	103.808
374	3.73000	104.946
375	3.74000	106.093
376	3.75000	107.252
377	3.76000	108.424
378	3.77000	109.611
379	3.78000	110.815
380	3.79000	112.037
381	3.80000	113.273
382	3.81000	114.518
383	3.82000	115.765
384	3.83000	117.007
385	3.84000	118.236
386	3.85000	119.451
387	3.86000	120.650
388	3.87000	121.841
389	3.88000	123.032
390	3.89000	124.230
391	3.90000	125.439
392	3.91000	126.660
393	3.92000	127.894
394	3.93000	129.135
395	3.94000	130.381
396	3.95000	131.627
397	3.96000	132.873
398	3.97000	134.113
399	3.98000	135.344
400	3.99000	136.575
401	4.00000	137.805
402	4.01000	139.029
403	4.02000	140.252
404	4.03000	141.468
405	4.04000	142.674
406	4.05000	143.865
407	4.06000	145.035
408	4.07000	146.175
409	4.08000	147.281
410	4.09000	148.370
411	4.10000	149.420
412	4.11000	150.445
413	4.12000	151.449
414	4.13000	152.428
415	4.14000	153.382
416	4.15000	154.306
417	4.16000	155.200
418	4.17000	156.061
419	4.18000	156.885
420	4.19000	157.669
421	4.20000	158.400
422	4.21000	159.087
423	4.22000	159.728
424	4.23000	160.317
425	4.24000	160.858
426	4.25000	161.347
427	4.26000	161.789
428	4.27000	162.188
429	4.28000	162.546
430	4.29000	162.871
431	4.30000	163.171
432	4.31000	163.451
433	4.32000	163.720
434	4.33000	163.983
435	4.34000	164.245
436	4.35000	164.506
437	4.36000	164.768
438	4.37000	165.030
439	4.38000	165.291
440	4.39000	165.547
441	4.40000	165.793
442	4.41000	166.022
443	4.42000	166.232
444	4.43000	166.419
445	4.44000	166.583
446	4.45000	166.728
447	4.46000	166.862
448	4.47000	166.992
449	4.48000	167.128
450	4.49000	167.274
451	4.50000	167.437
452	4.51000	167.615
453	4.52000	167.807
454	4.53000	167.998
455	4.54000	168.176
456	4.55000	168.331
457	4.56000	168.453
458	4.57000	168.538
459	4.58000	168.580
460	4.59000	168.580
461	4.60000	168.547
462	4.61000	168.491
463	4.62000	168.430
464	4.63000	168.373
465	4.64000	168.335
466	4.65000	168.322
467	4.66000	168.334
468	4.67000	168.366
469	4.68000	168.405
470	4.69000	168.441
471	4.70000	168.465
472	4.71000	168.473
473	4.72000	168.463
474	4.73000	168.434
475	4.74000	168.390
476	4.75000	168.333
477	4.76000	168.271
478	4.77000	168.209
479	4.78000	168.152
480	4.79000	168.108
481	4.80000	168.078
482	4.81000	168.066
483	4.82000	168.064
484	4.83000	168.068
485	4.84000	168.073
486	4.85000	168.072
487	4.86000	168.064
488	4.87000	168.045
489	4.88000	168.012
490	4.89000	167.965
491	4.90000	167.907
492	4.91000	167.841
493	4.92000	167.767
494	4.93000	167.690
495	4.94000	167.610
496	4.95000	167.531
497	4.96000	167.452
498	4.97000	167.373
499	4.98000	167.291
500	4.99000	167.204
501	5.00000	167.109
502	5.01000	167.001
503	5.02000	166.878
504	5.03000	166.737
505	5.04000	166.578
506	5.05000	166.399
507	5.06000	166.198
508	5.07000	165.974
509	5.08000	165.723
510	5.09000	165.443
511	5.10000	165.132
512	5.11000	164.793
513	5.12000	164.431
514	5.13000	164.049
515	5.14000	163.651
516	5.15000	163.229
517	5.16000	162.784
518	5.17000	162.310
519	5.18000	161.810
520	5.19000	161.275
521	5.20000	160.701
522	5.21000	160.103
523	5.22000	159.481
524	5.23000	158.835
525	5.24000	158.166
526	5.25000	157.473
527	5.26000	156.760
528	5.27000	156.017
529	5.28000	155.240
530	5.29000	154.417
531	5.30000	153.553
532	5.31000	152.660
533	5.32000	151.742
534	5.33000	150.809
535	5.34000	149.869
536	5.35000	148.912
537	5.36000	147.930
538	5.37000	146.910
539	5.38000	145.849
540	5.39000	144.749
541	5.40000	143.610
542	5.41000	142.433
543	5.42000	141.237
544	5.43000	140.038
545	5.44000	138.849
546	5.45000	137.667
547	5.46000	136.495
548	5.47000	135.324
549	5.48000	134.149
550	5.49000	132.963
551	5.50000	131.759
552	5.51000	130.537
553	5.52000	129.304
554	5.53000	128.071
555	5.54000	126.846
556	5.55000	125.632
557	5.56000	124.422
558	5.57000	123.206
559	5.58000	121.980
560	5.59000	120.740
561	5.60000	119.491
562	5.61000	118.241
563	5.62000	116.997
564	5.63000	115.772
565	5.64000	114.575
566	5.65000	113.412
567	5.66000	112.286
568	5.67000	111.200
569	5.68000	110.144
570	5.69000	109.113
571	5.70000	108.101
572	5.71000	107.108
573	5.72000	106.136
574	5.73000	105.183
575	5.74000	104.253
576	5.75000	103.340
577	5.76000	102.444
578	5.77000	101.565
579	5.78000	100.705
580	5.79000	99.864
581	5.80000	99.044
582	5.81000	98.245
583	5.82000	97.473
584	5.83000	96.723
