NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:35:44
DATA_INCLUDED	Position
DATA_TYPES	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z

Frame	Time	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	
20	0.19000	200.328	-150.776	109.194	233.595	-200.330	1038.265	203.898	-172.334	1660.722	261.474	-138.198	590.536	178.357	199.526	106.398	206.001	217.870	1048.304	458.466	-168.959	38.654	436.358	218.300	38.884	183.011	175.835	1674.217	258.744	181.841	587.966
21	0.20000	200.297	-150.746	109.173	233.685	-200.189	1038.262	203.802	-172.201	1660.751	261.304	-138.079	590.556	178.420	199.523	106.437	206.120	217.982	1048.332	458.450	-168.969	38.656	436.372	218.314	38.815	182.955	175.930	1674.230	258.816	181.944	588.032
22	0.21000	200.266	-150.759	109.188	233.780	-200.032	1038.267	203.706	-172.058	1660.743	261.119	-138.004	590.602	178.452	199.552	106.454	206.223	218.052	1048.346	458.442	-168.970	38.685	436.401	218.331	38.782	182.923	176.042	1674.257	258.878	182.054	588.103
23	0.22000	200.244	-150.752	109.184	233.844	-199.908	1038.284	203.622	-171.937	1660.753	260.969	-137.911	590.629	178.476	199.553	106.481	206.349	218.198	1048.360	458.437	-168.963	38.681	436.411	218.342	38.747	182.906	176.129	1674.263	258.946	182.078	588.135
24	0.23000	200.205	-150.751	109.205	233.898	-199.752	1038.266	203.491	-171.786	1660.749	260.782	-137.828	590.647	178.496	199.526	106.461	206.515	218.355	1048.377	458.439	-168.959	38.691	436.413	218.336	38.741	182.794	176.275	1674.256	258.994	182.114	588.107
25	0.24000	200.179	-150.737	109.210	233.941	-199.612	1038.284	203.360	-171.652	1660.751	260.625	-137.733	590.624	178.483	199.518	106.496	206.701	218.492	1048.365	458.425	-168.967	38.696	436.407	218.336	38.766	182.724	176.310	1674.282	259.033	182.174	588.101
26	0.25000	200.164	-150.728	109.216	233.982	-199.485	1038.271	203.195	-171.531	1660.750	260.489	-137.606	590.632	178.467	199.520	106.469	206.872	218.627	1048.360	458.437	-168.957	38.686	436.392	218.339	38.783	182.574	176.423	1674.253	259.097	182.214	588.073
27	0.26000	200.164	-150.745	109.232	234.013	-199.360	1038.277	203.035	-171.382	1660.746	260.366	-137.525	590.652	178.446	199.521	106.409	207.060	218.716	1048.341	458.452	-168.958	38.664	436.384	218.346	38.829	182.442	176.499	1674.246	259.215	182.273	588.064
28	0.27000	200.175	-150.720	109.236	234.052	-199.235	1038.267	202.859	-171.208	1660.723	260.237	-137.472	590.654	178.427	199.506	106.419	207.270	218.843	1048.309	458.445	-168.971	38.657	436.374	218.340	38.847	182.264	176.579	1674.239	259.352	182.294	588.042
29	0.28000	200.153	-150.699	109.224	234.070	-199.117	1038.281	202.651	-171.029	1660.674	260.188	-137.405	590.669	178.403	199.498	106.412	207.449	218.950	1048.277	458.445	-168.971	38.654	436.351	218.338	38.897	182.093	176.732	1674.180	259.493	182.341	588.007
30	0.29000	200.137	-150.726	109.228	234.084	-199.032	1038.305	202.458	-170.824	1660.660	260.124	-137.335	590.676	178.385	199.513	106.405	207.627	219.039	1048.219	458.446	-168.973	38.657	436.352	218.335	38.910	181.965	176.835	1674.128	259.649	182.388	587.968
31	0.30000	200.137	-150.730	109.220	234.100	-198.917	1038.339	202.267	-170.629	1660.609	260.056	-137.317	590.681	178.375	199.521	106.375	207.784	219.155	1048.184	458.453	-168.980	38.639	436.351	218.314	38.879	181.892	176.912	1674.186	259.795	182.460	587.939
32	0.31000	200.124	-150.735	109.239	234.111	-198.798	1038.363	202.061	-170.457	1660.605	260.043	-137.281	590.709	178.405	199.502	106.343	207.979	219.323	1048.182	458.444	-168.984	38.664	436.353	218.316	38.828	181.833	177.031	1674.185	259.915	182.505	587.912
33	0.32000	200.111	-150.734	109.246	234.106	-198.690	1038.403	201.863	-170.261	1660.543	260.027	-137.249	590.713	178.442	199.492	106.387	208.129	219.413	1048.164	458.454	-168.988	38.659	436.389	218.326	38.751	181.793	177.116	1674.216	259.995	182.582	587.914
