NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:35:44
DATA_INCLUDED	Position
DATA_TYPES	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z

Frame	Time	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	
190	1.89000	201.871	-150.316	109.593	224.318	-194.469	1039.414	192.271	-162.201	1663.403	262.351	-135.000	591.111	178.590	200.554	105.769	199.382	225.545	1048.632	458.548	-168.907	38.322	436.336	218.298	39.008	171.486	181.907	1676.251	259.675	185.718	588.398
191	1.90000	201.873	-150.463	109.603	223.811	-194.702	1039.491	192.476	-162.181	1663.607	262.858	-135.257	591.144	178.505	200.668	105.727	198.642	225.443	1048.715	458.533	-168.910	38.460	436.310	218.295	39.073	171.723	181.709	1676.413	259.161	185.692	588.420
192	1.91000	201.874	-150.558	109.581	223.323	-194.981	1039.612	192.661	-162.159	1663.871	263.282	-135.610	591.143	178.370	200.781	105.622	197.846	225.272	1048.780	458.506	-168.900	38.547	436.291	218.289	39.155	171.934	181.465	1676.653	258.671	185.639	588.411
193	1.92000	201.895	-150.638	109.532	222.876	-195.412	1039.731	192.924	-162.161	1664.149	263.786	-135.812	591.150	178.294	200.851	105.569	197.025	225.031	1048.829	458.502	-168.893	38.593	436.253	218.290	39.220	172.159	181.237	1676.883	258.255	185.585	588.467
194	1.93000	201.976	-150.757	109.492	222.436	-196.007	1039.924	193.201	-162.201	1664.434	264.151	-136.101	591.089	178.229	200.922	105.540	196.168	224.810	1048.878	458.509	-168.886	38.601	436.232	218.259	39.284	172.336	181.001	1677.040	257.864	185.501	588.486
195	1.94000	202.032	-150.977	109.463	222.084	-196.651	1040.100	193.412	-162.274	1664.686	264.375	-136.346	591.081	178.173	200.982	105.523	195.296	224.466	1048.921	458.508	-168.859	38.601	436.198	218.236	39.338	172.478	180.742	1677.136	257.536	185.436	588.578
196	1.95000	202.040	-151.222	109.409	221.750	-197.236	1040.222	193.696	-162.372	1664.969	264.553	-136.600	590.972	178.115	201.019	105.543	194.459	224.134	1049.006	458.494	-168.843	38.668	436.185	218.218	39.432	172.637	180.438	1677.282	257.304	185.324	588.620
197	1.96000	202.085	-151.428	109.265	221.504	-197.781	1040.277	193.977	-162.458	1665.283	264.579	-136.812	590.908	178.074	201.060	105.584	193.609	223.805	1049.110	458.473	-168.827	38.698	436.166	218.202	39.509	172.786	180.119	1677.322	257.222	185.279	588.694
198	1.97000	202.082	-151.604	109.043	221.239	-198.399	1040.303	194.301	-162.602	1665.539	264.458	-137.030	590.854	178.044	201.090	105.647	192.746	223.454	1049.192	458.454	-168.796	38.763	436.151	218.182	39.594	172.871	179.787	1677.445	257.368	185.286	588.821
199	1.98000	202.087	-151.876	108.895	221.049	-199.054	1040.327	194.627	-162.771	1665.848	264.120	-137.253	590.713	178.047	201.147	105.725	191.880	223.122	1049.302	458.433	-168.757	38.825	436.156	218.164	39.697	172.939	179.430	1677.555	257.822	185.343	588.955
200	1.99000	202.083	-152.120	108.691	220.803	-199.749	1040.339	194.949	-162.946	1666.161	263.709	-137.456	590.622	178.063	201.234	105.890	190.985	222.827	1049.425	458.398	-168.711	38.899	436.131	218.128	39.840	172.985	179.059	1677.647	258.599	185.460	589.137
201	2.00000	202.032	-152.327	108.337	220.637	-200.419	1040.282	195.321	-163.163	1666.484	263.258	-137.623	590.396	178.071	201.338	106.085	189.965	223.603	1050.065	458.352	-168.661	38.998	436.117	218.107	40.006	172.997	178.697	1677.735	259.785	185.660	589.247
202	2.01000	201.946	-152.602	108.133	220.513	-200.943	1040.078	195.719	-163.372	1666.792	262.734	-137.821	590.163	178.125	201.443	106.307	188.993	223.669	1050.320	458.314	-168.581	39.145	436.101	218.081	40.138	173.012	178.341	1677.841	261.483	186.090	589.408
203	2.02000	201.802	-152.814	107.868	220.405	-201.355	1039.856	196.113	-163.584	1667.118	262.251	-137.975	589.942	178.203	201.548	106.531	187.997	223.576	1050.529	458.253	-168.530	39.271	436.092	218.000	40.305	172.992	178.009	1677.882	263.638	186.607	589.564
204	2.03000	201.695	-153.001	107.648	220.269	-201.633	1039.593	196.567	-163.727	1667.416	261.941	-138.093	589.787	178.304	201.737	106.736	186.933	223.590	1050.749	458.202	-168.454	39.407	436.081	217.910	40.475	172.992	177.700	1677.966	266.147	187.216	589.749
205	2.04000	201.633	-153.186	107.416	220.073	-201.809	1039.472	197.095	-163.810	1667.710	261.714	-138.256	589.659	178.490	201.992	107.018	185.834	223.607	1051.068	458.168	-168.403	39.514	436.080	217.863	40.611	172.984	177.417	1678.018	268.824	187.857	589.860
206	2.05000	201.633	-153.372	107.262	219.823	-201.882	1039.422	197.687	-163.800	1667.927	261.661	-138.354	589.576	178.663	202.249	107.272	184.605	223.634	1051.370	458.138	-168.375	39.581	436.094	217.845	40.742	172.964	177.227	1678.036	271.458	188.726	589.985
207	2.06000	201.639	-153.451	107.164	219.488	-201.904	1039.454	198.277	-163.712	1668.080	261.743	-138.386	589.486	178.809	202.556	107.502	183.406	223.618	1051.530	458.117	-168.366	39.619	436.094	217.867	40.889	172.995	177.012	1677.988	273.988	189.636	590.075
208	2.07000	201.647	-153.486	107.079	219.133	-201.848	1039.474	198.856	-163.571	1668.187	261.932	-138.339	589.406	179.018	202.874	107.740	182.207	223.467	1051.462	458.118	-168.356	39.627	436.093	217.861	41.011	173.072	176.866	1677.995	276.348	190.669	590.126
209	2.08000	201.690	-153.480	106.974	218.697	-201.704	1039.456	199.403	-163.305	1668.253	262.140	-138.240	589.325	179.168	203.270	108.017	181.028	223.343	1051.199	458.128	-168.334	39.598	436.087	217.864	41.146	173.126	176.907	1678.117	278.534	191.659	590.109
210	2.09000	201.730	-153.408	106.873	218.237	-201.498	1039.376	199.903	-162.908	1668.292	262.434	-138.083	589.187	179.253	203.634	108.235	180.006	223.417	1050.838	458.145	-168.324	39.521	436.065	217.782	41.332	173.251	176.868	1677.771	280.656	192.655	590.043
211	2.10000	201.802	-153.372	106.825	217.763	-201.212	1039.252	200.346	-162.418	1668.251	262.862	-137.889	589.016	179.330	204.016	108.514	179.116	223.744	1050.381	458.169	-168.301	39.438	436.052	217.706	41.518	173.351	177.074	1677.797	282.678	193.571	589.972
212	2.11000	201.900	-153.280	106.776	217.207	-200.797	1039.113	200.742	-161.821	1668.192	263.341	-137.611	589.002	179.427	204.315	108.752	178.301	224.236	1049.938	458.200	-168.307	39.347	436.043	217.628	41.699	173.466	177.360	1677.793	284.597	194.376	589.918
213	2.12000	201.996	-153.180	106.724	216.643	-200.267	1038.937	201.096	-161.126	1668.121	263.951	-137.314	588.908	179.593	204.574	108.982	177.608	224.778	1049.544	458.204	-168.324	39.255	436.061	217.565	41.796	173.534	177.903	1678.039	286.385	195.130	589.957
214	2.13000	202.103	-153.094	106.755	215.933	-199.618	1038.823	201.394	-160.310	1668.061	264.655	-136.918	588.876	179.829	204.722	109.157	177.093	225.310	1049.214	458.226	-168.320	39.173	436.116	217.515	41.833	173.620	178.427	1677.781	287.834	195.786	590.076
215	2.14000	202.194	-153.030	106.856	215.169	-198.782	1038.745	201.691	-159.416	1667.947	265.397	-136.518	588.939	179.956	204.849	109.244	176.695	226.116	1049.038	458.248	-168.324	39.117	436.164	217.502	41.888	173.692	179.181	1677.755	288.863	196.454	590.115
216	2.15000	202.255	-152.918	106.949	214.358	-197.828	1038.651	201.896	-158.354	1667.838	266.050	-136.066	588.938	180.003	204.945	109.196	176.497	226.965	1048.832	458.259	-168.315	39.080	436.201	217.483	41.918	173.733	180.202	1678.028	289.382	197.133	590.084
217	2.16000	202.266	-152.794	107.016	213.476	-196.740	1038.567	202.035	-157.191	1667.698	266.765	-135.730	588.937	179.927	204.988	109.000	176.464	227.902	1048.612	458.260	-168.329	39.058	436.164	217.422	42.033	173.795	181.355	1677.985	289.481	197.806	589.829
218	2.17000	202.275	-152.679	107.075	212.581	-195.584	1038.472	202.129	-155.877	1667.530	267.429	-135.213	588.886	179.677	205.026	108.681	176.598	228.862	1048.256	458.263	-168.325	39.054	436.077	217.331	42.288	173.841	182.617	1677.828	289.290	198.496	589.412
219	2.18000	202.276	-152.577	107.158	211.693	-194.316	1038.428	202.081	-154.460	1667.360	268.326	-134.748	588.836	179.354	204.931	108.354	176.848	229.959	1047.871	458.266	-168.362	39.046	435.946	217.268	42.635	173.861	184.141	1677.717	288.813	199.181	588.911
220	2.19000	202.321	-152.458	107.278	210.774	-193.004	1038.351	201.992	-152.904	1667.153	269.170	-134.282	588.831	179.124	204.776	108.001	177.135	231.100	1047.304	458.292	-168.369	38.943	435.875	217.194	42.770	173.933	185.586	1677.212	288.173	199.827	588.267
221	2.20000	202.459	-152.389	107.411	209.929	-191.661	1038.309	201.800	-151.205	1666.929	269.987	-133.791	588.823	178.935	204.609	107.647	177.418	232.400	1046.750	458.329	-168.427	38.771	435.822	217.120	42.817	173.979	187.304	1677.013	287.466	200.374	587.636
222	2.21000	202.640	-152.316	107.565	209.057	-190.263	1038.309	201.558	-149.443	1666.652	270.935	-133.200	588.938	178.827	204.415	107.226	177.767	233.068	1045.821	458.399	-168.487	38.579	435.809	217.052	42.722	174.013	189.191	1676.835	286.871	200.876	587.089
223	2.22000	202.817	-152.207	107.700	208.281	-188.793	1038.336	201.292	-147.555	1666.471	271.783	-132.554	589.019	178.818	204.335	106.959	177.954	234.777	1045.458	458.425	-168.498	38.441	435.840	216.963	42.493	174.047	191.341	1676.994	286.442	201.372	586.596
224	2.23000	202.969	-152.098	107.868	207.558	-187.292	1038.375	201.031	-145.587	1666.333	272.460	-131.819	589.074	178.941	204.244	106.794	178.040	236.528	1045.183	458.467	-168.541	38.345	435.877	216.913	42.155	174.147	193.540	1676.834	286.299	201.869	586.319
225	2.24000	203.068	-151.985	108.013	206.974	-185.732	1038.429	200.776	-143.522	1666.290	273.041	-130.871	589.151	179.118	204.197	106.692	178.321	238.676	1045.169	458.496	-168.529	38.286	435.952	216.938	41.705	174.284	195.814	1676.725	286.425	202.328	586.147
226	2.25000	203.142	-151.855	108.186	206.466	-184.043	1038.473	200.556	-141.302	1666.254	273.592	-130.047	589.184	179.418	204.180	106.663	178.192	240.457	1044.976	458.513	-168.548	38.254	436.088	216.885	41.111	174.413	198.264	1676.675	286.630	202.818	586.042
227	2.26000	203.200	-151.696	108.455	206.036	-182.257	1038.505	200.387	-138.950	1666.290	274.069	-129.057	589.247	179.721	204.190	106.550	177.962	242.197	1044.799	458.529	-168.554	38.215	436.194	216.852	40.738	174.496	200.766	1676.523	286.921	203.313	585.963
228	2.27000	203.254	-151.471	108.692	205.596	-180.379	1038.581	200.234	-136.493	1666.335	274.460	-128.046	589.347	179.905	204.203	106.419	177.639	243.959	1044.578	458.548	-168.560	38.191	436.270	216.823	40.483	174.542	203.344	1676.529	287.203	203.901	585.783
229	2.28000	203.292	-151.298	108.853	205.120	-178.403	1038.687	200.092	-133.952	1666.412	274.866	-127.010	589.468	179.946	204.269	106.315	177.366	245.888	1044.328	458.556	-168.590	38.191	436.272	216.787	40.383	174.605	205.865	1676.407	287.498	204.579	585.548
230	2.29000	203.332	-151.152	109.041	204.601	-176.388	1038.808	199.960	-131.322	1666.489	275.279	-126.053	589.559	179.934	204.371	106.200	177.073	247.819	1044.000	458.583	-168.583	38.178	436.275	216.745	40.382	174.668	208.388	1676.320	287.710	205.399	585.275
231	2.30000	203.306	-151.015	109.235	204.012	-174.324	1038.963	199.794	-128.598	1666.503	275.600	-125.181	589.764	179.916	204.476	106.064	176.837	249.837	1043.617	458.569	-168.598	38.202	436.276	216.708	40.392	174.625	211.087	1676.287	287.889	206.341	584.956
232	2.31000	203.240	-150.947	109.426	203.334	-172.217	1039.113	199.669	-125.852	1666.517	275.892	-124.464	589.835	179.878	204.614	105.909	176.591	252.056	1043.236	458.562	-168.629	38.234	436.240	216.641	40.398	174.594	213.724	1676.075	288.092	207.417	584.616
233	2.32000	203.158	-150.915	109.557	202.599	-170.104	1039.270	199.551	-123.073	1666.489	276.246	-123.812	589.917	179.849	204.768	105.730	176.361	254.303	1042.814	458.566	-168.653	38.284	436.215	216.610	40.449	174.645	216.283	1675.954	288.456	208.556	584.307
234	2.33000	203.062	-150.903	109.704	201.827	-167.985	1039.391	199.413	-120.256	1666.459	276.718	-123.179	589.948	179.890	204.934	105.580	176.021	256.501	1042.391	458.540	-168.678	38.337	436.211	216.570	40.417	174.567	219.026	1675.736	288.968	209.717	584.012
235	2.34000	203.050	-150.884	109.863	201.060	-165.817	1039.476	199.358	-117.376	1666.375	277.437	-122.481	590.132	179.966	205.074	105.434	175.706	258.781	1041.915	458.542	-168.712	38.329	436.215	216.541	40.403	174.574	221.755	1675.674	289.596	210.842	583.712
236	2.35000	203.146	-150.890	110.082	200.359	-163.620	1039.510	199.211	-114.435	1666.219	278.283	-121.649	590.230	180.056	205.206	105.289	175.217	261.098	1041.407	458.572	-168.716	38.272	436.214	216.505	40.385	174.489	224.566	1675.426	290.179	212.033	583.417
237	2.36000	203.303	-150.790	110.312	199.621	-161.385	1039.493	199.137	-111.425	1666.089	279.248	-120.775	590.418	180.073	205.294	105.120	174.656	263.410	1040.883	458.610	-168.742	38.178	436.201	216.470	40.436	174.439	227.319	1675.028	290.638	213.254	583.024
238	2.37000	203.523	-150.660	110.548	198.901	-159.097	1039.409	198.999	-108.350	1665.878	280.154	-119.767	590.514	180.029	205.369	104.942	174.076	265.688	1040.346	458.648	-168.757	38.060	436.180	216.414	40.493	174.358	230.131	1674.771	290.974	214.502	582.575
239	2.38000	203.700	-150.551	110.772	198.261	-156.775	1039.292	198.861	-105.248	1665.647	281.044	-118.798	590.614	179.969	205.459	104.773	173.448	267.974	1039.746	458.692	-168.789	37.986	436.129	216.333	40.608	174.312	232.886	1673.999	291.237	215.765	582.144
240	2.39000	203.744	-150.425	110.962	197.676	-154.434	1039.105	198.732	-102.130	1665.379	281.851	-117.837	590.642	179.915	205.544	104.565	172.795	270.323	1039.110	458.707	-168.828	37.895	436.088	216.252	40.736	174.177	235.973	1674.027	291.545	216.944	581.662
241	2.40000	203.770	-150.365	111.203	197.118	-152.086	1038.944	198.568	-98.994	1665.138	282.427	-118.042	590.953	179.867	205.653	104.379	172.161	272.668	1038.416	458.722	-168.861	37.908	436.049	216.115	40.882	174.076	239.018	1673.715	291.922	217.997	581.256
242	2.41000	203.763	-150.306	111.442	196.584	-149.708	1038.780	198.425	-95.790	1664.878	283.380	-117.383	590.961	179.833	205.806	104.179	171.557	275.132	1037.743	458.720	-168.883	37.969	436.020	215.983	41.026	173.976	241.989	1673.263	292.353	219.034	580.890
243	2.42000	203.748	-150.303	111.691	196.074	-147.325	1038.659	198.204	-92.579	1664.624	284.611	-116.897	590.931	179.724	205.954	103.962	170.977	277.695	1037.132	458.709	-168.924	38.042	435.975	215.757	41.223	173.813	245.014	1672.890	292.804	220.077	580.528
244	2.43000	203.741	-150.312	111.944	195.554	-144.887	1038.475	197.935	-89.307	1664.335	286.208	-116.403	590.789	179.576	206.133	103.768	170.435	280.320	1036.565	458.713	-168.978	38.113	435.928	215.496	41.475	173.619	248.141	1672.476	293.207	221.126	580.170
245	2.44000	203.795	-150.477	112.460	194.995	-142.405	1038.309	197.631	-86.014	1664.084	288.524	-115.949	590.789	179.447	206.329	103.592	169.920	282.953	1035.984	458.729	-169.039	38.150	435.874	215.230	41.692	173.402	251.179	1671.998	293.630	222.230	579.830
246	2.45000	203.947	-150.559	112.929	194.386	-139.895	1038.020	197.303	-82.649	1663.750	291.473	-115.391	590.795	179.379	206.509	103.361	169.123	285.200	1035.264	458.750	-169.092	38.190	435.847	215.044	41.790	173.467	254.434	1671.859	294.071	223.365	579.430
247	2.46000	204.330	-150.571	113.495	193.744	-137.457	1037.741	196.974	-79.223	1663.322	295.149	-114.528	590.989	179.310	206.665	103.060	168.722	287.843	1034.697	458.790	-169.133	38.219	435.833	214.866	41.890	172.899	257.286	1670.885	294.663	224.590	579.096
248	2.47000	204.761	-150.704	114.279	193.073	-135.019	1037.343	196.595	-75.795	1662.876	299.830	-112.768	591.316	179.251	206.909	102.852	168.627	290.854	1034.258	458.839	-169.188	38.236	435.804	214.678	41.955	172.496	260.258	1670.113	295.455	225.911	578.684
249	2.48000	205.153	-150.674	114.996	192.369	-132.592	1036.851	196.254	-72.359	1662.370	304.435	-112.061	591.758	179.221	207.138	102.648	168.208	293.435	1033.535	458.895	-169.250	38.284	435.799	214.569	41.933	172.232	263.233	1669.493	296.473	227.240	578.198
250	2.49000	205.704	-150.639	115.916	191.670	-130.216	1036.215	195.853	-68.938	1661.721	309.203	-111.312	592.127	179.265	207.298	102.475	167.771	296.053	1032.701	458.977	-169.346	38.340	435.848	214.290	41.865	172.261	266.243	1669.038	297.700	228.673	577.709
251	2.50000	206.306	-150.549	116.977	190.979	-127.908	1035.456	195.476	-65.547	1660.984	313.900	-110.992	592.695	179.314	207.453	102.282	167.330	298.588	1031.770	459.105	-169.460	38.296	435.882	214.231	41.780	172.033	269.092	1668.109	299.097	230.168	577.174
252	2.51000	207.029	-150.481	118.067	190.275	-125.619	1034.576	195.137	-62.227	1660.148	318.794	-110.270	593.059	179.379	207.561	102.065	166.842	301.098	1030.751	459.277	-169.582	38.187	435.899	214.184	41.737	171.777	272.166	1667.274	300.726	231.704	576.566
253	2.52000	208.027	-150.363	119.417	189.418	-123.437	1033.581	194.862	-58.968	1659.185	323.708	-109.549	593.473	179.467	207.676	101.874	166.423	303.620	1029.626	459.513	-169.725	37.868	435.921	214.149	41.655	171.553	274.172	1665.671	302.567	233.290	575.951
254	2.53000	209.297	-150.277	120.928	188.598	-121.291	1032.492	194.615	-55.858	1658.170	328.658	-108.858	593.979	179.588	207.753	101.792	165.872	306.010	1028.352	459.792	-169.898	37.352	435.928	214.148	41.565	171.404	277.085	1664.664	304.536	234.677	575.277
255	2.54000	210.830	-150.188	122.609	187.692	-119.299	1031.430	194.480	-52.822	1657.006	333.480	-108.009	594.633	179.718	207.733	101.725	165.288	308.267	1026.977	460.129	-170.094	36.679	435.932	214.115	41.464	171.212	279.574	1663.286	306.677	235.999	574.619
256	2.55000	212.577	-150.063	124.352	186.714	-117.301	1030.342	194.306	-49.873	1655.846	338.216	-107.192	595.398	179.894	207.664	101.690	164.663	310.534	1025.526	460.523	-170.334	35.934	435.966	214.105	41.249	171.335	281.872	1662.009	308.808	237.071	573.926
257	2.56000	214.349	-149.953	126.228	185.683	-115.403	1029.300	194.283	-47.003	1654.637	343.005	-106.339	596.280	180.125	207.474	101.725	163.978	312.741	1023.983	460.937	-170.553	35.172	436.034	214.080	40.955	171.139	284.758	1660.761	310.888	237.851	573.136
258	2.57000	216.189	-149.715	128.310	184.632	-113.540	1028.305	194.288	-44.238	1653.422	347.808	-105.455	597.268	180.408	207.119	101.764	162.933	314.567	1022.183	461.349	-170.877	34.414	436.111	214.043	40.666	170.838	286.482	1658.578	312.928	238.448	572.482
259	2.58000	217.960	-149.269	130.386	183.503	-111.649	1027.286	194.358	-41.479	1652.115	352.606	-105.970	599.026	180.725	206.688	101.795	162.300	316.837	1020.591	461.773	-171.163	33.830	436.190	214.031	40.349	170.972	288.789	1657.342	314.826	238.736	571.727
260	2.59000	219.762	-148.688	132.609	182.260	-109.732	1026.266	194.495	-38.775	1650.849	357.304	-104.905	600.135	180.950	206.275	101.810	161.727	319.024	1018.969	462.235	-171.527	33.287	436.240	213.966	40.094	171.663	291.370	1656.362	316.600	238.867	571.005
261	2.60000	221.708	-147.803	134.865	180.990	-107.743	1025.236	194.629	-36.099	1649.578	361.825	-103.903	601.373	181.178	205.811	101.823	161.263	321.206	1017.422	462.930	-171.939	32.896	436.267	213.866	39.943	171.743	293.407	1654.791	318.360	238.899	570.311
262	2.61000	224.037	-146.683	137.073	179.579	-105.723	1024.189	194.772	-33.491	1648.312	366.124	-102.842	602.710	181.341	205.484	101.803	160.859	323.258	1015.915	464.149	-172.432	32.577	436.320	213.782	39.796	172.147	295.597	1653.395	320.088	238.984	569.664
263	2.62000	227.004	-145.470	139.077	178.052	-103.733	1023.214	195.048	-30.934	1647.020	370.095	-101.774	604.139	181.506	205.232	101.843	160.529	325.201	1014.517	466.234	-172.994	32.424	436.329	213.680	39.745	172.771	298.108	1652.454	321.837	239.190	569.073
264	2.63000	230.810	-144.122	140.827	176.216	-101.791	1022.239	195.342	-28.442	1645.842	373.819	-100.624	605.686	181.622	205.133	101.846	160.196	326.959	1013.203	469.460	-173.456	32.713	436.339	213.641	39.654	173.347	300.140	1651.074	323.725	239.679	568.552
265	2.64000	235.603	-142.715	142.254	174.438	-100.039	1021.442	195.667	-26.051	1644.683	377.221	-99.557	607.325	181.742	205.148	101.880	159.842	328.619	1011.987	473.984	-173.881	33.729	436.356	213.648	39.477	173.973	302.081	1649.779	325.643	240.377	568.030
266	2.65000	241.363	-141.339	143.374	172.584	-98.273	1020.810	196.075	-23.704	1643.512	380.326	-98.470	609.064	181.920	205.241	101.911	159.399	330.166	1010.801	479.922	-174.216	35.439	436.448	213.655	39.231	174.637	304.455	1648.795	327.606	241.439	567.633
267	2.66000	248.043	-139.984	144.130	170.734	-96.669	1020.260	196.483	-21.436	1642.354	383.195	-97.428	610.806	182.078	205.315	101.927	158.808	331.749	1009.672	487.240	-174.428	38.442	436.368	213.747	38.904	175.444	306.042	1647.458	329.380	242.450	567.082
268	2.67000	255.509	-138.627	144.563	168.866	-95.113	1019.787	196.989	-19.212	1641.183	385.901	-96.392	612.518	182.289	205.348	101.947	158.182	333.247	1008.477	495.963	-174.552	42.821	436.424	213.819	38.582	176.067	307.831	1646.179	330.939	243.589	566.636
269	2.68000	263.676	-137.432	144.809	167.052	-93.530	1019.273	197.556	-17.041	1639.997	388.534	-95.308	614.264	182.448	205.328	101.976	157.426	334.828	1007.307	505.901	-174.353	48.101	436.465	213.843	38.369	177.089	309.510	1644.899	332.194	244.577	566.057
270	2.69000	272.706	-136.224	144.910	165.266	-92.029	1018.799	198.226	-14.861	1638.733	391.150	-94.187	616.012	182.574	205.254	101.966	156.627	336.394	1006.026	516.881	-173.719	53.880	436.503	213.830	38.206	178.045	311.196	1643.778	333.295	245.442	565.436
271	2.70000	282.427	-135.175	144.916	163.510	-90.575	1018.266	198.951	-12.788	1637.378	393.640	-93.017	617.721	182.692	205.075	101.945	155.821	338.025	1004.733	528.681	-172.631	59.781	436.661	213.697	38.014	179.050	313.138	1642.846	334.156	246.150	564.906
272	2.71000	292.979	-134.305	144.910	161.810	-89.092	1017.613	199.874	-10.821	1636.055	396.015	-91.640	619.434	182.794	204.944	101.951	155.017	339.781	1003.454	541.000	-171.110	65.100	436.499	213.832	38.011	180.118	314.434	1641.512	335.004	246.620	564.403
273	2.72000	304.328	-133.593	144.857	160.120	-87.570	1016.826	200.847	-8.964	1634.734	398.263	-90.065	621.125	182.865	204.832	101.955	154.228	341.525	1002.171	553.709	-169.377	68.661	436.530	213.776	37.980	181.162	315.950	1640.376	335.922	246.833	563.951
274	2.73000	316.314	-132.913	144.901	158.442	-85.941	1016.020	201.999	-7.263	1633.442	400.413	-88.298	622.968	182.944	204.712	102.002	153.492	343.208	1000.875	566.873	-167.568	71.514	436.558	213.703	37.910	182.276	317.328	1639.215	336.969	246.994	563.601
275	2.74000	328.746	-132.144	145.253	156.737	-84.209	1015.038	203.199	-5.640	1632.158	402.603	-86.222	624.847	183.047	204.571	101.990	152.842	344.818	999.700	580.665	-165.207	75.354	436.581	213.686	37.851	183.436	318.025	1637.255	338.018	247.141	563.228
276	2.75000	341.438	-131.293	145.818	154.893	-82.576	1014.143	204.382	-4.027	1630.802	404.790	-84.091	626.794	183.095	204.449	101.955	152.228	346.308	998.586	594.996	-162.386	80.553	436.573	213.685	37.779	184.515	320.767	1637.382	339.048	247.429	562.908
277	2.76000	354.450	-130.355	146.713	153.053	-81.014	1013.326	205.539	-2.509	1629.403	406.995	-81.739	628.957	183.163	204.388	101.929	151.703	347.662	997.506	609.705	-158.977	86.325	436.587	213.659	37.724	185.686	320.988	1635.774	339.980	247.824	562.562
278	2.77000	367.867	-129.230	147.805	151.138	-79.587	1012.608	206.649	-1.026	1628.047	409.223	-79.228	631.093	183.219	204.359	101.892	151.193	348.939	996.453	624.544	-155.562	92.221	436.590	213.743	37.745	186.854	322.166	1634.697	340.806	248.246	562.287
279	2.78000	381.432	-128.009	149.084	149.229	-78.274	1012.000	207.505	0.377	1626.561	411.332	-76.588	633.223	183.280	204.360	101.901	150.734	350.280	995.580	639.622	-151.835	98.470	436.711	213.664	37.662	187.965	323.422	1633.601	341.538	248.726	561.979
280	2.79000	395.178	-126.577	150.597	147.363	-76.960	1011.316	208.554	1.828	1625.320	413.386	-73.903	635.237	183.317	204.421	101.926	150.317	351.636	994.807	654.790	-148.248	105.397	436.925	213.934	37.895	189.095	324.872	1632.770	342.240	249.306	561.726
281	2.80000	409.121	-124.963	152.290	145.615	-75.716	1010.642	209.515	3.219	1624.151	415.280	-70.391	636.911	183.400	204.511	101.963	149.913	352.994	994.088	670.041	-144.691	113.106	436.774	213.783	37.459	190.132	325.956	1631.751	342.907	249.994	561.498
282	2.81000	423.186	-123.243	154.269	144.037	-74.516	1010.025	210.480	4.594	1622.935	417.099	-67.722	638.804	183.460	204.631	101.979	149.424	354.326	993.381	685.291	-141.063	121.423	436.636	213.919	37.350	191.119	327.249	1630.862	343.612	250.756	561.183
283	2.82000	437.406	-121.374	156.499	142.646	-73.303	1009.371	211.374	5.915	1621.685	418.905	-65.132	640.626	183.556	204.683	101.963	148.872	355.596	992.656	700.437	-137.307	130.169	436.785	213.935	37.174	192.100	328.156	1629.722	344.376	251.580	560.935
284	2.83000	451.607	-119.335	159.019	141.483	-72.063	1008.778	212.175	7.203	1620.416	420.763	-62.521	642.475	183.668	204.727	101.997	148.213	356.774	991.821	715.470	-133.417	139.439	436.786	213.992	37.003	193.056	328.753	1627.963	345.295	252.728	560.802
285	2.84000	465.616	-117.175	161.831	140.506	-70.796	1008.142	213.038	8.463	1619.133	422.818	-59.828	644.401	183.761	204.774	101.997	147.402	357.907	990.938	730.060	-129.348	149.381	436.792	214.111	36.795	193.955	330.084	1627.555	346.029	253.860	560.449
286	2.85000	479.400	-114.937	164.865	139.705	-69.586	1007.509	213.709	9.730	1617.792	425.026	-57.196	646.591	183.832	204.816	101.994	146.535	358.996	989.981	744.231	-125.128	160.116	436.821	214.250	36.614	194.824	331.457	1626.675	346.732	255.160	560.050
287	2.86000	492.947	-112.646	168.462	139.072	-68.399	1006.826	214.350	10.924	1616.523	427.370	-54.546	648.911	183.907	204.915	102.002	145.601	360.055	988.972	757.935	-120.833	171.304	436.845	214.412	36.425	195.688	332.249	1625.424	347.344	256.371	559.394
