NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:32:00
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	104.907
3	0.02000	54.941
4	0.03000	15.123
5	0.04000	-14.548
6	0.05000	-34.072
7	0.06000	-43.448
8	0.07000	-40.888
9	0.08000	-46.353
10	0.09000	56.938
11	0.10000	-0.141
12	0.11000	33.730
13	0.12000	30.371
14	0.13000	16.648
15	0.14000	13.468
16	0.15000	-1.478
17	0.16000	-4.539
18	0.17000	-3.891
19	0.18000	-17.812
20	0.19000	-9.246
21	0.20000	-27.716
22	0.21000	-8.141
23	0.22000	-0.836
24	0.23000	-9.855
25	0.24000	1.632
26	0.25000	10.165
27	0.26000	15.444
28	0.27000	19.780
29	0.28000	4.602
30	0.29000	26.493
31	0.30000	-12.733
32	0.31000	8.602
33	0.32000	-3.588
34	0.33000	-25.380
35	0.34000	-11.068
36	0.35000	-11.722
37	0.36000	5.066
38	0.37000	7.145
39	0.38000	-11.827
40	0.39000	6.707
41	0.40000	-11.125
42	0.41000	21.370
43	0.42000	-25.300
44	0.43000	-17.208
45	0.44000	-28.678
46	0.45000	-16.804
47	0.46000	6.084
48	0.47000	9.164
49	0.48000	-13.916
50	0.49000	20.997
51	0.50000	28.160
52	0.51000	32.594
53	0.52000	-6.376
54	0.53000	18.949
55	0.54000	-12.762
56	0.55000	-12.871
57	0.56000	-4.312
58	0.57000	-22.151
59	0.58000	-4.105
60	0.59000	10.420
61	0.60000	17.938
62	0.61000	23.946
63	0.62000	13.965
64	0.63000	19.952
65	0.64000	-10.483
66	0.65000	-11.153
67	0.66000	-23.885
68	0.67000	-32.922
69	0.68000	-8.639
70	0.69000	-13.621
71	0.70000	-11.532
72	0.71000	4.243
73	0.72000	2.723
74	0.73000	-3.997
75	0.74000	7.681
76	0.75000	10.684
77	0.76000	-1.470
78	0.77000	9.155
79	0.78000	-0.921
80	0.79000	5.006
81	0.80000	-25.203
82	0.81000	-7.316
83	0.82000	-19.703
84	0.83000	-26.736
85	0.84000	10.973
86	0.85000	6.093
87	0.86000	-9.977
88	0.87000	16.280
89	0.88000	21.620
90	0.89000	21.228
91	0.90000	-2.698
92	0.91000	3.182
93	0.92000	-6.490
94	0.93000	-11.652
95	0.94000	-6.417
96	0.95000	-15.369
97	0.96000	-10.593
98	0.97000	42.170
99	0.98000	57.814
100	0.99000	62.105
101	1.00000	45.583
102	1.01000	24.853
103	1.02000	46.753
104	1.03000	-14.161
105	1.04000	-33.113
106	1.05000	-37.981
107	1.06000	-25.179
108	1.07000	-17.156
109	1.08000	-20.798
110	1.09000	-4.162
111	1.10000	-17.015
112	1.11000	-21.712
113	1.12000	15.824
114	1.13000	-17.656
115	1.14000	-2.277
116	1.15000	18.282
117	1.16000	5.795
118	1.17000	-33.534
119	1.18000	-37.746
120	1.19000	-25.927
121	1.20000	-50.082
122	1.21000	-33.565
123	1.22000	-21.288
124	1.23000	-23.965
125	1.24000	-8.198
126	1.25000	17.422
127	1.26000	-29.292
128	1.27000	-74.280
129	1.28000	-78.922
130	1.29000	-83.789
131	1.30000	-134.921
132	1.31000	-157.640
133	1.32000	-118.310
134	1.33000	-111.024
135	1.34000	-90.324
136	1.35000	-88.469
137	1.36000	-63.583
138	1.37000	-48.767
139	1.38000	-49.306
140	1.39000	-44.516
141	1.40000	-131.688
142	1.41000	-161.153
143	1.42000	-141.344
144	1.43000	-252.063
145	1.44000	-352.432
146	1.45000	-376.052
147	1.46000	-280.938
148	1.47000	-166.246
149	1.48000	-2.144
150	1.49000	120.103
151	1.50000	191.671
152	1.51000	176.326
153	1.52000	92.101
154	1.53000	-58.721
155	1.54000	-89.166
156	1.55000	-99.058
157	1.56000	-93.382
158	1.57000	-112.771
159	1.58000	-103.389
160	1.59000	-39.698
161	1.60000	27.660
162	1.61000	-20.511
163	1.62000	-51.844
164	1.63000	-67.089
165	1.64000	-32.430
166	1.65000	-82.790
167	1.66000	-116.664
168	1.67000	-93.875
169	1.68000	-2.112
170	1.69000	120.067
171	1.70000	171.100
172	1.71000	102.302
173	1.72000	-85.777
174	1.73000	-169.035
175	1.74000	-163.370
176	1.75000	-46.853
177	1.76000	-4.929
178	1.77000	32.120
179	1.78000	-18.341
180	1.79000	-81.080
181	1.80000	-169.085
182	1.81000	-228.992
183	1.82000	-285.535
184	1.83000	-232.728
185	1.84000	-157.266
186	1.85000	24.531
187	1.86000	141.769
188	1.87000	169.683
189	1.88000	95.987
190	1.89000	167.619
191	1.90000	260.974
192	1.91000	387.957
193	1.92000	387.404
194	1.93000	484.891
195	1.94000	344.121
196	1.95000	368.502
197	1.96000	437.129
198	1.97000	315.924
199	1.98000	173.411
200	1.99000	156.002
201	2.00000	127.342
202	2.01000	73.826
203	2.02000	20.725
204	2.03000	112.365
205	2.04000	6.641
206	2.05000	61.345
207	2.06000	153.091
208	2.07000	266.290
209	2.08000	356.387
210	2.09000	515.936
211	2.10000	462.650
212	2.11000	261.137
213	2.12000	63.793
214	2.13000	-71.597
215	2.14000	-78.105
216	2.15000	-104.441
217	2.16000	-55.587
218	2.17000	58.245
219	2.18000	24.152
220	2.19000	164.185
221	2.20000	40.663
222	2.21000	-109.653
223	2.22000	-125.149
224	2.23000	259.581
225	2.24000	771.453
226	2.25000	1572.767
227	2.26000	1697.503
228	2.27000	1213.975
229	2.28000	406.063
230	2.29000	-295.753
231	2.30000	-934.267
232	2.31000	-1325.041
233	2.32000	-1313.194
234	2.33000	-856.017
235	2.34000	-269.063
236	2.35000	438.875
237	2.36000	350.847
238	2.37000	1.546
239	2.38000	-369.049
240	2.39000	-593.341
241	2.40000	-630.336
242	2.41000	-525.430
243	2.42000	-284.367
244	2.43000	-162.008
245	2.44000	-48.636
246	2.45000	-4.013
247	2.46000	11.931
248	2.47000	7.021
249	2.48000	-50.639
250	2.49000	-130.492
251	2.50000	-197.383
252	2.51000	-216.691
253	2.52000	-154.347
254	2.53000	-157.303
255	2.54000	-104.668
256	2.55000	-5.994
257	2.56000	48.388
258	2.57000	100.673
259	2.58000	161.233
260	2.59000	143.899
261	2.60000	160.023
262	2.61000	144.132
263	2.62000	106.838
264	2.63000	10.987
265	2.64000	3.056
266	2.65000	-21.320
267	2.66000	-43.317
268	2.67000	-31.584
269	2.68000	5.263
270	2.69000	11.657
271	2.70000	35.525
272	2.71000	27.857
273	2.72000	7.883
274	2.73000	-8.878
275	2.74000	30.509
276	2.75000	36.626
277	2.76000	66.527
278	2.77000	76.959
279	2.78000	54.115
280	2.79000	51.327
281	2.80000	29.932
282	2.81000	30.999
283	2.82000	17.614
284	2.83000	12.019
285	2.84000	2.364
286	2.85000	-2.809
287	2.86000	-0.238
288	2.87000	-64.886
289	2.88000	-9.093
290	2.89000	-41.901
291	2.90000	-47.491
292	2.91000	-63.529
293	2.92000	-61.610
294	2.93000	-69.884
295	2.94000	-89.918
296	2.95000	-104.714
297	2.96000	-56.585
298	2.97000	-113.518
299	2.98000	-26.754
300	2.99000	-38.787
301	3.00000	-35.641
302	3.01000	-35.273
303	3.02000	-2.557
304	3.03000	9.715
305	3.04000	-75.926
306	3.05000	52.211
307	3.06000	32.252
308	3.07000	-11.674
309	3.08000	-3.450
310	3.09000	22.492
311	3.10000	23.722
312	3.11000	42.447
313	3.12000	-19.553
314	3.13000	-74.556
315	3.14000	-217.270
316	3.15000	-127.207
317	3.16000	-295.892
318	3.17000	-293.180
319	3.18000	-267.155
320	3.19000	-275.971
321	3.20000	-242.067
322	3.21000	-202.342
323	3.22000	-202.297
324	3.23000	-132.635
325	3.24000	-75.690
326	3.25000	57.506
327	3.26000	50.141
328	3.27000	107.120
329	3.28000	97.621
330	3.29000	16.393
331	3.30000	44.365
332	3.31000	64.969
333	3.32000	73.852
334	3.33000	80.025
335	3.34000	90.553
336	3.35000	52.109
337	3.36000	11.046
338	3.37000	-1.945
339	3.38000	-59.298
340	3.39000	-60.950
341	3.40000	4.772
342	3.41000	54.233
343	3.42000	120.815
344	3.43000	156.590
345	3.44000	210.830
346	3.45000	181.284
347	3.46000	218.668
348	3.47000	176.468
349	3.48000	128.168
350	3.49000	79.996
351	3.50000	44.283
352	3.51000	72.035
353	3.52000	85.046
354	3.53000	95.007
355	3.54000	117.034
356	3.55000	72.768
357	3.56000	68.737
358	3.57000	59.938
359	3.58000	100.335
360	3.59000	209.603
361	3.60000	355.400
362	3.61000	474.422
363	3.62000	401.197
364	3.63000	213.849
365	3.64000	12.838
366	3.65000	-169.764
367	3.66000	-275.105
368	3.67000	-304.411
369	3.68000	-249.255
370	3.69000	-48.968
371	3.70000	116.039
372	3.71000	223.163
373	3.72000	214.152
374	3.73000	113.795
375	3.74000	148.993
376	3.75000	107.773
377	3.76000	90.848
378	3.77000	85.350
379	3.78000	136.841
380	3.79000	141.577
381	3.80000	151.861
382	3.81000	160.702
383	3.82000	133.283
384	3.83000	50.244
385	3.84000	73.940
386	3.85000	45.782
387	3.86000	17.875
388	3.87000	3.447
389	3.88000	46.828
390	3.89000	68.339
391	3.90000	131.993
392	3.91000	156.258
393	3.92000	159.263
394	3.93000	102.870
395	3.94000	102.407
396	3.95000	97.118
397	3.96000	73.622
398	3.97000	7.820
399	3.98000	6.240
400	3.99000	-16.823
401	4.00000	-53.251
402	4.01000	-25.708
403	4.02000	-7.983
404	4.03000	-21.143
405	4.04000	-14.251
406	4.05000	-39.238
407	4.06000	-24.462
408	4.07000	-84.491
409	4.08000	-84.597
410	4.09000	-122.445
411	4.10000	-146.928
412	4.11000	-120.644
413	4.12000	-137.635
414	4.13000	-150.560
415	4.14000	-188.170
416	4.15000	-200.175
417	4.16000	-194.391
418	4.17000	-205.775
419	4.18000	-186.847
420	4.19000	-197.895
421	4.20000	-221.053
422	4.21000	-196.557
423	4.22000	-213.649
424	4.23000	-195.037
425	4.24000	-177.628
426	4.25000	-120.127
427	4.26000	-53.061
428	4.27000	-50.276
429	4.28000	-8.232
430	4.29000	-56.102
431	4.30000	-53.188
432	4.31000	-97.889
433	4.32000	-106.363
434	4.33000	-130.171
435	4.34000	-120.982
436	4.35000	-94.556
437	4.36000	-42.851
438	4.37000	-39.915
439	4.38000	15.260
440	4.39000	1.373
441	4.40000	52.153
442	4.41000	46.550
443	4.42000	71.792
444	4.43000	54.992
445	4.44000	85.107
446	4.45000	78.044
447	4.46000	94.212
448	4.47000	67.115
449	4.48000	67.136
450	4.49000	25.878
451	4.50000	35.955
452	4.51000	48.850
453	4.52000	24.353
454	4.53000	37.471
455	4.54000	35.747
456	4.55000	31.337
457	4.56000	19.029
458	4.57000	3.546
459	4.58000	-7.538
460	4.59000	-27.241
461	4.60000	-42.324
462	4.61000	7.407
463	4.62000	-15.284
464	4.63000	-6.993
465	4.64000	21.686
466	4.65000	29.391
467	4.66000	27.386
468	4.67000	30.630
469	4.68000	8.051
470	4.69000	1.915
471	4.70000	-34.991
472	4.71000	-19.550
473	4.72000	-48.217
474	4.73000	-59.391
475	4.74000	-33.719
476	4.75000	-41.507
477	4.76000	-17.971
478	4.77000	10.189
479	4.78000	17.087
480	4.79000	56.375
481	4.80000	68.907
482	4.81000	33.711
483	4.82000	46.407
484	4.83000	20.142
485	4.84000	0.310
486	4.85000	-46.343
487	4.86000	-59.900
488	4.87000	-57.460
489	4.88000	-74.084
490	4.89000	-52.563
491	4.90000	-47.075
492	4.91000	-45.553
493	4.92000	16.828
494	4.93000	38.052
495	4.94000	51.733
496	4.95000	50.828
497	4.96000	50.775
498	4.97000	14.419
499	4.98000	22.455
500	4.99000	-24.893
501	5.00000	-42.183
502	5.01000	-36.941
503	5.02000	-28.193
504	5.03000	-10.820
505	5.04000	-9.125
506	5.05000	9.522
507	5.06000	8.160
508	5.07000	-26.407
509	5.08000	-16.760
510	5.09000	-73.474
511	5.10000	-64.787
512	5.11000	-59.814
513	5.12000	-60.561
514	5.13000	-49.797
515	5.14000	-8.814
516	5.15000	23.210
517	5.16000	16.263
518	5.17000	-57.056
519	5.18000	-121.624
520	5.19000	-190.381
521	5.20000	-202.755
522	5.21000	-186.207
523	5.22000	-148.183
524	5.23000	-86.712
525	5.24000	-35.299
526	5.25000	-46.219
527	5.26000	-55.461
528	5.27000	-115.840
529	5.28000	-120.610
530	5.29000	-95.049
531	5.30000	-91.643
532	5.31000	-97.688
533	5.32000	-175.374
534	5.33000	-168.598
535	5.34000	-138.774
536	5.35000	-64.200
537	5.36000	109.290
538	5.37000	161.709
539	5.38000	199.229
540	5.39000	186.851
541	5.40000	8.171
542	5.41000	-205.144
543	5.42000	-283.743
544	5.43000	-188.574
545	5.44000	-33.380
546	5.45000	71.286
547	5.46000	192.092
548	5.47000	52.133
549	5.48000	-113.948
550	5.49000	-171.785
551	5.50000	-182.662
552	5.51000	-130.223
553	5.52000	-4.291
554	5.53000	-69.109
555	5.54000	-62.214
556	5.55000	-106.263
557	5.56000	-55.157
558	5.57000	-50.351
559	5.58000	-45.727
560	5.59000	-94.794
561	5.60000	-85.239
562	5.61000	-112.463
563	5.62000	-104.910
564	5.63000	-177.176
565	5.64000	-59.580
566	5.65000	69.707
567	5.66000	188.146
568	5.67000	250.670
569	5.68000	124.047
570	5.69000	-41.164
571	5.70000	-61.427
572	5.71000	-26.368
573	5.72000	97.360
574	5.73000	130.928
575	5.74000	141.974
576	5.75000	176.677
577	5.76000	86.071
578	5.77000	51.820
579	5.78000	76.513
580	5.79000	133.556
581	5.80000	168.800
582	5.81000	113.687
583	5.82000	17.786
584	5.83000	24.062
585	5.84000	17.775
586	5.85000	116.032
587	5.86000	85.217
588	5.87000	174.729
589	5.88000	241.915
590	5.89000	223.294
591	5.90000	235.730
592	5.91000	227.185
593	5.92000	205.777
594	5.93000	268.717
595	5.94000	348.125
596	5.95000	352.644
597	5.96000	309.967
598	5.97000	293.987
599	5.98000	132.925
600	5.99000	37.419
601	6.00000	19.946
602	6.01000	15.207
603	6.02000	9.909
604	6.03000	79.382
605	6.04000	238.931
606	6.05000	224.424
607	6.06000	178.506
608	6.07000	89.757
609	6.08000	59.203
610	6.09000	238.299
611	6.10000	299.840
612	6.11000	313.155
613	6.12000	224.492
614	6.13000	145.968
615	6.14000	-3.341
616	6.15000	-210.674
617	6.16000	-353.077
618	6.17000	-279.946
619	6.18000	-84.921
620	6.19000	237.664
621	6.20000	313.132
622	6.21000	408.198
623	6.22000	180.045
624	6.23000	-72.051
625	6.24000	-372.991
626	6.25000	-555.208
627	6.26000	-619.002
628	6.27000	-535.003
629	6.28000	-401.024
630	6.29000	-89.658
631	6.30000	114.419
632	6.31000	338.483
633	6.32000	216.915
634	6.33000	212.897
635	6.34000	14.080
636	6.35000	-145.327
637	6.36000	-251.325
638	6.37000	-311.906
639	6.38000	-271.187
640	6.39000	-195.163
641	6.40000	-158.919
642	6.41000	-91.068
643	6.42000	-119.380
644	6.43000	8.886
645	6.44000	-56.008
646	6.45000	-78.127
647	6.46000	-38.336
648	6.47000	-57.832
649	6.48000	-34.847
650	6.49000	-39.879
651	6.50000	-21.758
652	6.51000	-15.911
653	6.52000	-34.449
654	6.53000	-19.471
655	6.54000	7.317
656	6.55000	-21.731
657	6.56000	-1.381
658	6.57000	-28.371
659	6.58000	-12.682
660	6.59000	-19.474
661	6.60000	-15.089
662	6.61000	-9.282
663	6.62000	-7.759
664	6.63000	-10.888
