NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:19:18
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre_post

Frame	Time	KR_Angular_Velocity_pre_post	
263	2.62000	-95.227
264	2.63000	-93.788
265	2.64000	-92.214
266	2.65000	-90.485
267	2.66000	-88.743
268	2.67000	-87.183
269	2.68000	-86.020
270	2.69000	-85.363
271	2.70000	-84.981
272	2.71000	-84.689
273	2.72000	-84.478
274	2.73000	-84.181
275	2.74000	-83.642
276	2.75000	-82.872
277	2.76000	-81.915
278	2.77000	-80.711
279	2.78000	-79.267
280	2.79000	-77.654
281	2.80000	-75.849
282	2.81000	-73.913
283	2.82000	-72.012
284	2.83000	-70.168
285	2.84000	-68.324
286	2.85000	-66.555
287	2.86000	-64.910
288	2.87000	-63.297
289	2.88000	-61.699
290	2.89000	-60.120
291	2.90000	-58.519
292	2.91000	-56.937
293	2.92000	-55.418
294	2.93000	-53.970
295	2.94000	-52.612
296	2.95000	-51.454
297	2.96000	-50.470
298	2.97000	-49.472
299	2.98000	-48.396
300	2.99000	-47.208
301	3.00000	-45.916
302	3.01000	-44.596
303	3.02000	-43.275
304	3.03000	-41.967
305	3.04000	-40.638
306	3.05000	-39.177
307	3.06000	-37.296
308	3.07000	-34.629
309	3.08000	-30.989
310	3.09000	-26.268
311	3.10000	-20.450
312	3.11000	-13.638
313	3.12000	-6.082
314	3.13000	1.717
315	3.14000	9.086
316	3.15000	15.348
317	3.16000	19.971
318	3.17000	22.601
319	3.18000	23.100
320	3.19000	21.672
321	3.20000	18.864
322	3.21000	15.426
323	3.22000	12.058
324	3.23000	9.162
325	3.24000	6.797
326	3.25000	4.763
327	3.26000	2.682
328	3.27000	0.090
329	3.28000	-3.362
330	3.29000	-7.711
331	3.30000	-12.573
332	3.31000	-17.244
333	3.32000	-20.992
334	3.33000	-23.274
335	3.34000	-23.813
336	3.35000	-22.636
337	3.36000	-20.117
338	3.37000	-16.826
339	3.38000	-13.345
340	3.39000	-10.132
341	3.40000	-7.407
342	3.41000	-5.208
343	3.42000	-3.562
344	3.43000	-2.453
345	3.44000	-1.776
346	3.45000	-1.431
347	3.46000	-1.407
348	3.47000	-1.670
349	3.48000	-2.143
350	3.49000	-2.734
351	3.50000	-3.318
352	3.51000	-3.781
353	3.52000	-4.056
354	3.53000	-4.066
355	3.54000	-3.731
356	3.55000	-3.045
357	3.56000	-2.099
358	3.57000	-1.018
359	3.58000	0.080
360	3.59000	1.100
361	3.60000	1.924
362	3.61000	2.499
363	3.62000	2.879
364	3.63000	3.096
365	3.64000	3.199
366	3.65000	3.227
367	3.66000	3.201
368	3.67000	3.150
369	3.68000	3.117
370	3.69000	3.130
371	3.70000	3.115
372	3.71000	3.055
373	3.72000	2.967
374	3.73000	2.771
375	3.74000	2.432
376	3.75000	1.920
377	3.76000	1.267
378	3.77000	0.568
379	3.78000	-0.075
380	3.79000	-0.594
381	3.80000	-0.966
382	3.81000	-1.144
383	3.82000	-1.140
384	3.83000	-0.986
385	3.84000	-0.739
386	3.85000	-0.498
387	3.86000	-0.299
388	3.87000	-0.189
389	3.88000	-0.225
390	3.89000	-0.440
391	3.90000	-0.807
392	3.91000	-1.230
393	3.92000	-1.567
394	3.93000	-1.575
395	3.94000	-1.126
396	3.95000	-0.204
397	3.96000	1.199
398	3.97000	2.990
399	3.98000	5.060
400	3.99000	7.276
401	4.00000	9.443
402	4.01000	11.326
403	4.02000	12.772
404	4.03000	13.753
405	4.04000	14.181
406	4.05000	13.993
407	4.06000	13.309
408	4.07000	12.385
409	4.08000	11.576
410	4.09000	11.190
411	4.10000	11.334
412	4.11000	11.955
413	4.12000	13.039
414	4.13000	14.564
415	4.14000	16.448
416	4.15000	18.552
417	4.16000	20.814
418	4.17000	23.306
419	4.18000	26.061
420	4.19000	29.043
421	4.20000	32.068
422	4.21000	34.982
423	4.22000	37.744
424	4.23000	40.333
425	4.24000	42.824
426	4.25000	45.221
427	4.26000	47.552
428	4.27000	49.929
429	4.28000	52.467
430	4.29000	55.264
431	4.30000	58.243
432	4.31000	61.361
433	4.32000	64.538
434	4.33000	67.675
435	4.34000	70.751
436	4.35000	73.653
437	4.36000	76.245
438	4.37000	78.498
439	4.38000	80.594
440	4.39000	82.655
441	4.40000	84.653
442	4.41000	86.628
443	4.42000	88.597
444	4.43000	90.625
445	4.44000	92.759
446	4.45000	94.945
447	4.46000	97.096
448	4.47000	99.184
449	4.48000	101.260
450	4.49000	103.293
451	4.50000	105.197
452	4.51000	106.877
453	4.52000	108.246
454	4.53000	109.304
455	4.54000	110.023
456	4.55000	110.375
457	4.56000	110.463
458	4.57000	110.461
459	4.58000	110.532
460	4.59000	110.788
461	4.60000	111.272
462	4.61000	111.942
463	4.62000	112.683
464	4.63000	113.412
465	4.64000	113.996
466	4.65000	114.338
467	4.66000	114.516
468	4.67000	114.599
469	4.68000	114.636
470	4.69000	114.667
471	4.70000	114.774
472	4.71000	115.025
473	4.72000	115.388
474	4.73000	115.850
475	4.74000	116.348
476	4.75000	116.804
477	4.76000	117.113
478	4.77000	117.085
479	4.78000	116.578
480	4.79000	115.463
481	4.80000	113.723
482	4.81000	111.452
483	4.82000	108.701
484	4.83000	105.558
485	4.84000	102.104
486	4.85000	98.423
487	4.86000	94.339
488	4.87000	89.673
489	4.88000	84.615
490	4.89000	79.390
491	4.90000	74.277
492	4.91000	69.512
493	4.92000	65.344
494	4.93000	61.830
495	4.94000	58.674
496	4.95000	55.513
497	4.96000	51.627
498	4.97000	46.807
499	4.98000	41.579
500	4.99000	36.300
501	5.00000	31.266
502	5.01000	26.735
503	5.02000	23.112
504	5.03000	20.263
505	5.04000	17.643
506	5.05000	14.963
507	5.06000	11.966
508	5.07000	8.945
509	5.08000	6.484
510	5.09000	4.889
511	5.10000	4.314
512	5.11000	4.751
513	5.12000	6.020
514	5.13000	7.561
515	5.14000	8.810
516	5.15000	9.483
517	5.16000	9.397
518	5.17000	8.631
519	5.18000	7.442
520	5.19000	6.106
521	5.20000	4.813
522	5.21000	3.668
523	5.22000	2.697
524	5.23000	1.876
525	5.24000	1.171
526	5.25000	0.530
527	5.26000	-0.113
528	5.27000	-0.724
529	5.28000	-1.233
530	5.29000	-1.588
531	5.30000	-1.781
532	5.31000	-1.862
533	5.32000	-1.875
534	5.33000	-1.888
535	5.34000	-1.932
536	5.35000	-1.971
537	5.36000	-1.961
538	5.37000	-1.824
539	5.38000	-1.523
540	5.39000	-1.086
541	5.40000	-0.609
542	5.41000	-0.210
543	5.42000	0.056
544	5.43000	0.161
545	5.44000	0.146
546	5.45000	0.134
547	5.46000	0.197
548	5.47000	0.337
549	5.48000	0.500
550	5.49000	0.608
551	5.50000	0.611
552	5.51000	0.489
553	5.52000	0.297
554	5.53000	0.099
555	5.54000	-0.047
556	5.55000	-0.109
557	5.56000	-0.160
558	5.57000	-0.305
559	5.58000	-0.620
560	5.59000	-1.199
561	5.60000	-2.095
562	5.61000	-3.280
563	5.62000	-4.662
564	5.63000	-6.111
565	5.64000	-7.437
566	5.65000	-8.391
567	5.66000	-9.041
568	5.67000	-9.387
569	5.68000	-9.176
570	5.69000	-8.386
571	5.70000	-7.070
572	5.71000	-5.350
573	5.72000	-3.402
574	5.73000	-1.345
575	5.74000	0.739
576	5.75000	2.679
577	5.76000	3.856
578	5.77000	4.113
579	5.78000	3.706
580	5.79000	2.618
581	5.80000	0.967
582	5.81000	-1.123
583	5.82000	-3.397
584	5.83000	-5.493
585	5.84000	-7.126
586	5.85000	-8.258
587	5.86000	-9.132
588	5.87000	-9.801
589	5.88000	-10.394
590	5.89000	-11.131
591	5.90000	-12.094
592	5.91000	-13.472
593	5.92000	-15.047
594	5.93000	-16.598
595	5.94000	-18.177
596	5.95000	-19.850
597	5.96000	-21.576
598	5.97000	-23.204
599	5.98000	-24.802
600	5.99000	-26.499
601	6.00000	-28.383
602	6.01000	-30.553
603	6.02000	-32.654
604	6.03000	-34.654
605	6.04000	-36.868
606	6.05000	-39.426
607	6.06000	-42.486
608	6.07000	-46.223
609	6.08000	-51.034
610	6.09000	-56.812
611	6.10000	-62.742
612	6.11000	-67.894
613	6.12000	-71.311
614	6.13000	-72.600
615	6.14000	-71.907
616	6.15000	-69.810
617	6.16000	-67.352
618	6.17000	-65.494
619	6.18000	-64.885
620	6.19000	-65.338
621	6.20000	-66.489
622	6.21000	-68.354
623	6.22000	-70.936
624	6.23000	-74.204
625	6.24000	-77.986
626	6.25000	-81.957
627	6.26000	-85.576
628	6.27000	-88.173
629	6.28000	-89.307
630	6.29000	-88.950
631	6.30000	-87.739
632	6.31000	-86.544
633	6.32000	-85.868
634	6.33000	-85.940
635	6.34000	-86.842
636	6.35000	-88.408
637	6.36000	-90.332
638	6.37000	-92.366
639	6.38000	-94.457
640	6.39000	-96.747
641	6.40000	-99.221
642	6.41000	-101.697
643	6.42000	-103.964
644	6.43000	-105.829
645	6.44000	-107.356
646	6.45000	-108.678
647	6.46000	-109.790
648	6.47000	-110.454
649	6.48000	-110.500
650	6.49000	-110.025
651	6.50000	-109.033
652	6.51000	-107.750
653	6.52000	-106.470
654	6.53000	-105.132
655	6.54000	-103.909
656	6.55000	-103.038
657	6.56000	-102.337
658	6.57000	-101.512
659	6.58000	-100.472
660	6.59000	-99.253
661	6.60000	-97.855
662	6.61000	-96.374
663	6.62000	-94.844
664	6.63000	-93.163
665	6.64000	-91.455
666	6.65000	-89.841
667	6.66000	-88.240
668	6.67000	-86.659
669	6.68000	-85.154
670	6.69000	-83.767
671	6.70000	-82.527
672	6.71000	-81.408
673	6.72000	-80.387
674	6.73000	-79.374
675	6.74000	-78.251
676	6.75000	-76.939
677	6.76000	-75.366
678	6.77000	-73.513
679	6.78000	-71.481
680	6.79000	-69.426
681	6.80000	-67.420
682	6.81000	-65.413
683	6.82000	-63.367
684	6.83000	-61.204
685	6.84000	-58.845
686	6.85000	-56.307
687	6.86000	-53.644
688	6.87000	-50.934
689	6.88000	-48.306
690	6.89000	-45.852
691	6.90000	-43.525
692	6.91000	-41.150
693	6.92000	-38.552
694	6.93000	-35.454
695	6.94000	-31.565
696	6.95000	-26.787
697	6.96000	-21.164
698	6.97000	-14.882
699	6.98000	-8.287
700	6.99000	-1.859
701	7.00000	3.853
702	7.01000	8.295
703	7.02000	11.070
704	7.03000	12.076
705	7.04000	11.402
706	7.05000	9.270
707	7.06000	6.075
708	7.07000	2.293
709	7.08000	-1.589
710	7.09000	-5.178
711	7.10000	-8.271
712	7.11000	-10.793
713	7.12000	-12.675
714	7.13000	-13.880
715	7.14000	-14.449
716	7.15000	-14.485
717	7.16000	-14.083
718	7.17000	-13.354
719	7.18000	-12.416
720	7.19000	-11.423
721	7.20000	-10.548
722	7.21000	-9.892
723	7.22000	-9.482
724	7.23000	-9.243
725	7.24000	-9.096
726	7.25000	-8.982
727	7.26000	-8.827
728	7.27000	-8.619
729	7.28000	-8.401
730	7.29000	-8.272
731	7.30000	-8.313
732	7.31000	-8.547
733	7.32000	-8.960
734	7.33000	-9.463
735	7.34000	-9.963
736	7.35000	-10.333
737	7.36000	-10.472
738	7.37000	-10.341
739	7.38000	-9.926
740	7.39000	-9.267
741	7.40000	-8.409
742	7.41000	-7.397
743	7.42000	-6.305
744	7.43000	-5.216
745	7.44000	-4.174
746	7.45000	-3.135
747	7.46000	-2.128
748	7.47000	-1.204
749	7.48000	-0.349
750	7.49000	0.436
751	7.50000	1.143
752	7.51000	1.766
753	7.52000	2.257
754	7.53000	2.567
755	7.54000	2.751
756	7.55000	2.899
757	7.56000	2.973
758	7.57000	2.950
759	7.58000	2.937
760	7.59000	3.009
761	7.60000	3.194
762	7.61000	3.522
763	7.62000	3.955
764	7.63000	4.433
765	7.64000	4.929
766	7.65000	5.365
767	7.66000	5.583
768	7.67000	5.504
769	7.68000	5.164
770	7.69000	4.582
771	7.70000	3.811
772	7.71000	2.982
773	7.72000	2.215
774	7.73000	1.592
775	7.74000	1.152
776	7.75000	0.888
777	7.76000	0.745
778	7.77000	0.643
779	7.78000	0.492
780	7.79000	0.229
781	7.80000	-0.145
782	7.81000	-0.539
783	7.82000	-0.829
784	7.83000	-0.959
785	7.84000	-0.879
786	7.85000	-0.536
787	7.86000	0.048
788	7.87000	0.796
789	7.88000	1.611
790	7.89000	2.414
791	7.90000	3.117
792	7.91000	3.662
793	7.92000	4.022
794	7.93000	4.164
795	7.94000	4.151
796	7.95000	4.070
797	7.96000	3.973
798	7.97000	3.924
799	7.98000	3.956
800	7.99000	4.041
801	8.00000	4.139
802	8.01000	4.188
803	8.02000	4.123
804	8.03000	3.940
805	8.04000	3.697
806	8.05000	3.453
807	8.06000	3.293
808	8.07000	3.298
809	8.08000	3.488
810	8.09000	3.859
811	8.10000	4.420
812	8.11000	5.127
813	8.12000	5.971
814	8.13000	7.027
815	8.14000	8.299
816	8.15000	9.760
817	8.16000	11.434
818	8.17000	13.257
819	8.18000	15.048
820	8.19000	16.605
821	8.20000	17.747
822	8.21000	18.398
823	8.22000	18.606
