NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:58
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LL_Angular_Acceleration

Frame	Time	LL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	34.937
3	0.02000	17.950
4	0.03000	3.699
5	0.04000	-7.817
6	0.05000	-16.596
7	0.06000	-22.641
8	0.07000	-25.463
9	0.08000	-15.693
10	0.09000	-9.555
11	0.10000	-26.682
12	0.11000	-12.165
13	0.12000	-24.200
14	0.13000	0.170
15	0.14000	33.517
16	0.15000	49.866
17	0.16000	53.798
18	0.17000	47.044
19	0.18000	59.057
20	0.19000	31.024
21	0.20000	24.091
22	0.21000	9.728
23	0.22000	-8.866
24	0.23000	-24.652
25	0.24000	-7.321
26	0.25000	-31.996
27	0.26000	-20.751
28	0.27000	-27.550
29	0.28000	-16.401
30	0.29000	-1.354
31	0.30000	31.982
32	0.31000	22.224
33	0.32000	-1.774
34	0.33000	-0.529
35	0.34000	2.325
36	0.35000	-24.114
37	0.36000	-20.431
38	0.37000	-17.233
39	0.38000	-17.530
40	0.39000	-17.239
41	0.40000	30.298
42	0.41000	8.059
43	0.42000	-4.390
44	0.43000	-4.117
45	0.44000	4.996
46	0.45000	-13.145
47	0.46000	5.316
48	0.47000	-23.800
49	0.48000	-14.400
50	0.49000	-20.701
51	0.50000	-8.045
52	0.51000	-12.480
53	0.52000	-23.616
54	0.53000	-11.384
55	0.54000	34.311
56	0.55000	-0.399
57	0.56000	22.700
58	0.57000	16.568
59	0.58000	10.012
60	0.59000	7.860
61	0.60000	-21.550
62	0.61000	4.276
63	0.62000	-10.041
64	0.63000	-10.021
65	0.64000	11.988
66	0.65000	-41.582
67	0.66000	-1.606
68	0.67000	5.568
69	0.68000	-23.245
70	0.69000	-10.191
71	0.70000	-28.458
72	0.71000	17.000
73	0.72000	28.391
74	0.73000	22.273
75	0.74000	25.206
76	0.75000	27.290
77	0.76000	29.143
78	0.77000	11.745
79	0.78000	-12.531
80	0.79000	-32.292
81	0.80000	-34.727
82	0.81000	-13.424
83	0.82000	-10.045
84	0.83000	-14.848
85	0.84000	-12.926
86	0.85000	4.941
87	0.86000	3.496
88	0.87000	10.872
89	0.88000	-11.538
90	0.89000	21.278
91	0.90000	16.520
92	0.91000	18.745
93	0.92000	0.565
94	0.93000	-8.893
95	0.94000	-7.102
96	0.95000	5.500
97	0.96000	-6.009
98	0.97000	0.207
99	0.98000	-11.743
100	0.99000	29.366
101	1.00000	11.336
102	1.01000	6.978
103	1.02000	-7.330
104	1.03000	-17.038
105	1.04000	-4.154
106	1.05000	-3.418
107	1.06000	-15.928
108	1.07000	6.559
109	1.08000	2.950
110	1.09000	13.644
111	1.10000	20.561
112	1.11000	5.078
113	1.12000	-0.923
114	1.13000	-5.593
115	1.14000	-3.086
116	1.15000	-1.466
117	1.16000	-16.085
