NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:56
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HL_Angular_Acceleration

Frame	Time	HL_Angular_Acceleration	
267	2.66000	-50.025
268	2.67000	-77.457
269	2.68000	-134.035
270	2.69000	-280.490
271	2.70000	-36.037
272	2.71000	-136.352
273	2.72000	1.378
274	2.73000	58.547
275	2.74000	185.636
276	2.75000	305.875
277	2.76000	311.695
278	2.77000	292.171
279	2.78000	105.949
280	2.79000	-24.027
281	2.80000	126.666
282	2.81000	-50.771
283	2.82000	-34.870
284	2.83000	-89.801
285	2.84000	-6.230
286	2.85000	-56.195
287	2.86000	-60.140
288	2.87000	21.471
289	2.88000	-120.167
290	2.89000	9.604
291	2.90000	24.891
292	2.91000	16.138
293	2.92000	-33.257
294	2.93000	-140.770
295	2.94000	-146.141
296	2.95000	-309.593
297	2.96000	-401.006
298	2.97000	-233.240
299	2.98000	-407.060
300	2.99000	-341.717
301	3.00000	-466.006
302	3.01000	-408.154
303	3.02000	-481.631
304	3.03000	-403.521
305	3.04000	-329.626
306	3.05000	-181.462
307	3.06000	-1.013
308	3.07000	237.684
309	3.08000	244.295
310	3.09000	246.017
311	3.10000	179.091
312	3.11000	197.842
313	3.12000	43.583
314	3.13000	-56.203
315	3.14000	-206.530
316	3.15000	-145.889
317	3.16000	-205.347
318	3.17000	-120.205
319	3.18000	-159.692
320	3.19000	-150.626
321	3.20000	-104.767
322	3.21000	-53.568
323	3.22000	-28.232
324	3.23000	-59.717
325	3.24000	-67.121
326	3.25000	30.803
327	3.26000	34.550
328	3.27000	126.216
329	3.28000	68.560
330	3.29000	91.182
331	3.30000	52.179
332	3.31000	16.005
333	3.32000	20.103
334	3.33000	9.171
335	3.34000	-3.326
336	3.35000	-5.407
337	3.36000	41.421
338	3.37000	32.872
339	3.38000	53.226
340	3.39000	35.531
341	3.40000	-1.144
342	3.41000	-53.127
343	3.42000	-46.281
344	3.43000	-68.019
345	3.44000	-57.159
346	3.45000	-41.670
347	3.46000	33.640
348	3.47000	77.392
349	3.48000	110.468
350	3.49000	150.567
351	3.50000	120.424
352	3.51000	140.785
353	3.52000	133.197
354	3.53000	100.652
355	3.54000	105.028
356	3.55000	90.597
357	3.56000	76.983
358	3.57000	61.167
359	3.58000	48.307
360	3.59000	2.541
361	3.60000	-50.412
362	3.61000	-58.050
363	3.62000	-116.991
364	3.63000	-91.154
365	3.64000	-78.488
366	3.65000	-66.070
367	3.66000	-21.362
368	3.67000	24.341
369	3.68000	84.180
370	3.69000	48.030
371	3.70000	97.681
372	3.71000	108.939
373	3.72000	132.066
374	3.73000	201.920
