NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:21:47
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LR_Angular_Velocity

Frame	Time	LR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-4.996
3	0.02000	-3.875
4	0.03000	-2.882
5	0.04000	-2.019
6	0.05000	-1.284
7	0.06000	-0.680
8	0.07000	1.098
9	0.08000	0.850
10	0.09000	-0.223
11	0.10000	0.065
12	0.11000	0.200
13	0.12000	0.287
14	0.13000	0.346
15	0.14000	0.340
16	0.15000	0.290
17	0.16000	0.353
18	0.17000	0.362
19	0.18000	0.253
20	0.19000	0.309
21	0.20000	0.432
22	0.21000	0.427
23	0.22000	0.320
24	0.23000	0.208
25	0.24000	0.047
26	0.25000	-0.184
27	0.26000	-0.259
28	0.27000	-0.257
29	0.28000	-0.276
30	0.29000	-0.107
31	0.30000	-0.025
32	0.31000	-0.010
33	0.32000	-0.017
34	0.33000	-0.054
35	0.34000	0.003
36	0.35000	0.044
37	0.36000	0.127
38	0.37000	0.215
39	0.38000	0.384
40	0.39000	0.517
41	0.40000	0.405
42	0.41000	0.293
43	0.42000	0.179
44	0.43000	0.104
45	0.44000	0.195
46	0.45000	0.289
47	0.46000	0.331
48	0.47000	0.317
49	0.48000	0.425
50	0.49000	0.454
51	0.50000	0.342
52	0.51000	0.238
53	0.52000	0.036
54	0.53000	-0.061
55	0.54000	-0.013
56	0.55000	-0.074
57	0.56000	-0.204
58	0.57000	-0.324
59	0.58000	-0.413
60	0.59000	-0.409
61	0.60000	-0.336
62	0.61000	-0.286
63	0.62000	-0.317
64	0.63000	-0.244
65	0.64000	-0.107
66	0.65000	-0.076
67	0.66000	-0.116
68	0.67000	-0.182
69	0.68000	-0.316
70	0.69000	-0.372
71	0.70000	-0.327
72	0.71000	-0.297
73	0.72000	-0.275
74	0.73000	-0.264
75	0.74000	-0.153
76	0.75000	0.028
77	0.76000	0.181
78	0.77000	0.282
79	0.78000	0.254
80	0.79000	0.231
81	0.80000	0.178
82	0.81000	0.092
83	0.82000	-0.101
84	0.83000	-0.359
85	0.84000	-0.481
86	0.85000	-0.519
87	0.86000	-0.491
88	0.87000	-0.492
89	0.88000	-0.427
90	0.89000	-0.204
91	0.90000	0.053
92	0.91000	0.292
93	0.92000	0.421
94	0.93000	0.587
95	0.94000	0.732
96	0.95000	0.673
97	0.96000	0.512
98	0.97000	0.338
99	0.98000	0.320
100	0.99000	0.338
101	1.00000	0.270
102	1.01000	0.219
103	1.02000	0.184
104	1.03000	0.183
105	1.04000	0.215
106	1.05000	0.292
107	1.06000	0.388
108	1.07000	0.518
109	1.08000	0.743
110	1.09000	0.879
111	1.10000	0.843
112	1.11000	0.761
113	1.12000	0.637
114	1.13000	0.459
115	1.14000	0.398
116	1.15000	0.277
117	1.16000	-0.059
118	1.17000	-0.120
119	1.18000	-0.050
120	1.19000	-0.176
121	1.20000	-0.266
122	1.21000	-0.395
123	1.22000	-0.475
124	1.23000	-0.385
125	1.24000	-0.337
126	1.25000	-0.367
127	1.26000	-0.317
128	1.27000	0.031
129	1.28000	0.311
130	1.29000	0.339
131	1.30000	0.433
132	1.31000	0.407
133	1.32000	0.297
134	1.33000	0.145
135	1.34000	-0.150
136	1.35000	-0.306
137	1.36000	-0.322
138	1.37000	-0.295
139	1.38000	-0.207
140	1.39000	-0.178
141	1.40000	-0.077
142	1.41000	0.139
143	1.42000	0.242
144	1.43000	0.154
145	1.44000	0.121
146	1.45000	0.192
147	1.46000	0.254
148	1.47000	0.198
149	1.48000	-0.010
150	1.49000	-0.402
151	1.50000	-0.846
152	1.51000	-0.970
153	1.52000	-0.650
154	1.53000	0.145
155	1.54000	1.184
156	1.55000	2.109
157	1.56000	2.839
158	1.57000	3.294
159	1.58000	3.384
160	1.59000	3.069
161	1.60000	2.590
162	1.61000	2.257
163	1.62000	2.127
164	1.63000	2.242
165	1.64000	2.374
166	1.65000	2.362
167	1.66000	2.240
168	1.67000	2.033
169	1.68000	1.698
170	1.69000	1.289
171	1.70000	1.557
