NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:40:22
DATA_INCLUDED	Angle
DATA_TYPES	KR_Angle

Frame	Time	KR_Angle	
1	0.00000	165.469
2	0.01000	165.457
3	0.02000	165.450
4	0.03000	165.447
5	0.04000	165.448
6	0.05000	165.454
7	0.06000	165.465
8	0.07000	165.480
9	0.08000	165.502
10	0.09000	165.522
11	0.10000	165.537
12	0.11000	165.549
13	0.12000	165.558
14	0.13000	165.569
15	0.14000	165.582
16	0.15000	165.601
17	0.16000	165.624
18	0.17000	165.653
19	0.18000	165.685
20	0.19000	165.720
21	0.20000	165.756
22	0.21000	165.790
23	0.22000	165.821
24	0.23000	165.852
25	0.24000	165.881
26	0.25000	165.905
27	0.26000	165.926
28	0.27000	165.945
29	0.28000	165.961
30	0.29000	165.976
31	0.30000	165.987
32	0.31000	165.994
33	0.32000	165.995
34	0.33000	165.977
35	0.34000	165.977
36	0.35000	165.991
37	0.36000	166.035
38	0.37000	166.045
39	0.38000	166.080
40	0.39000	166.100
41	0.40000	166.105
42	0.41000	166.077
43	0.42000	166.056
44	0.43000	166.037
45	0.44000	166.060
46	0.45000	166.106
47	0.46000	166.167
48	0.47000	166.195
49	0.48000	166.254
50	0.49000	166.283
51	0.50000	166.294
52	0.51000	166.285
53	0.52000	166.294
54	0.53000	166.301
55	0.54000	166.310
56	0.55000	166.318
57	0.56000	166.323
58	0.57000	166.325
59	0.58000	166.330
60	0.59000	166.330
61	0.60000	166.326
62	0.61000	166.322
63	0.62000	166.313
64	0.63000	166.303
65	0.64000	166.295
66	0.65000	166.286
67	0.66000	166.280
68	0.67000	166.278
69	0.68000	166.274
70	0.69000	166.265
71	0.70000	166.254
72	0.71000	166.242
73	0.72000	166.231
74	0.73000	166.221
75	0.74000	166.215
76	0.75000	166.212
77	0.76000	166.210
78	0.77000	166.212
79	0.78000	166.215
80	0.79000	166.216
81	0.80000	166.220
82	0.81000	166.224
83	0.82000	166.230
84	0.83000	166.236
85	0.84000	166.246
86	0.85000	166.259
87	0.86000	166.274
88	0.87000	166.290
89	0.88000	166.306
90	0.89000	166.322
91	0.90000	166.338
92	0.91000	166.351
93	0.92000	166.360
94	0.93000	166.367
95	0.94000	166.373
96	0.95000	166.379
97	0.96000	166.388
98	0.97000	166.398
99	0.98000	166.412
100	0.99000	166.429
101	1.00000	166.447
102	1.01000	166.464
103	1.02000	166.479
104	1.03000	166.487
105	1.04000	166.491
106	1.05000	166.487
107	1.06000	166.481
108	1.07000	166.471
109	1.08000	166.464
110	1.09000	166.460
111	1.10000	166.458
112	1.11000	166.462
113	1.12000	166.467
114	1.13000	166.471
115	1.14000	166.475
116	1.15000	166.472
117	1.16000	166.471
118	1.17000	166.468
119	1.18000	166.470
120	1.19000	166.472
121	1.20000	166.476
122	1.21000	166.484
