NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
264	2.63000	-94.674
265	2.64000	-92.501
266	2.65000	-90.298
267	2.66000	-88.650
268	2.67000	-86.817
269	2.68000	-85.524
270	2.69000	-85.131
271	2.70000	-85.101
272	2.71000	-84.905
273	2.72000	-84.694
274	2.73000	-84.355
275	2.74000	-83.514
276	2.75000	-82.650
277	2.76000	-82.048
278	2.77000	-80.953
279	2.78000	-79.315
280	2.79000	-77.681
281	2.80000	-75.920
282	2.81000	-73.811
283	2.82000	-71.852
284	2.83000	-70.116
285	2.84000	-68.295
286	2.85000	-66.619
287	2.86000	-65.010
288	2.87000	-63.222
289	2.88000	-61.499
290	2.89000	-60.174
291	2.90000	-58.756
292	2.91000	-57.021
293	2.92000	-55.431
294	2.93000	-53.864
295	2.94000	-52.425
296	2.95000	-51.319
297	2.96000	-50.341
298	2.97000	-49.477
299	2.98000	-48.597
300	2.99000	-47.629
301	3.00000	-46.119
302	3.01000	-44.254
303	3.02000	-42.822
304	3.03000	-41.642
305	3.04000	-40.529
306	3.05000	-39.231
307	3.06000	-37.366
308	3.07000	-34.848
309	3.08000	-31.395
310	3.09000	-26.757
311	3.10000	-20.830
312	3.11000	-13.899
313	3.12000	-6.472
314	3.13000	1.338
315	3.14000	9.067
316	3.15000	15.953
317	3.16000	21.082
318	3.17000	23.682
319	3.18000	23.777
320	3.19000	21.943
321	3.20000	18.843
322	3.21000	15.013
323	3.22000	11.194
324	3.23000	8.069
325	3.24000	5.988
326	3.25000	4.668
327	3.26000	3.285
328	3.27000	1.041
329	3.28000	-2.404
330	3.29000	-6.941
331	3.30000	-12.207
332	3.31000	-17.542
333	3.32000	-21.966
334	3.33000	-24.550
335	3.34000	-24.783
336	3.35000	-22.968
337	3.36000	-19.965
338	3.37000	-16.453
339	3.38000	-12.834
340	3.39000	-9.616
341	3.40000	-7.156
342	3.41000	-5.205
343	3.42000	-3.661
344	3.43000	-2.502
345	3.44000	-1.641
346	3.45000	-1.226
347	3.46000	-1.421
348	3.47000	-1.803
349	3.48000	-2.149
350	3.49000	-2.613
351	3.50000	-3.270
352	3.51000	-3.853
353	3.52000	-4.168
354	3.53000	-4.220
355	3.54000	-3.917
356	3.55000	-3.206
357	3.56000	-2.167
358	3.57000	-0.972
359	3.58000	0.231
360	3.59000	1.263
361	3.60000	2.019
362	3.61000	2.540
363	3.62000	2.917
364	3.63000	3.167
365	3.64000	3.093
366	3.65000	3.096
367	3.66000	3.272
368	3.67000	3.194
369	3.68000	3.116
370	3.69000	3.026
371	3.70000	2.984
372	3.71000	3.022
373	3.72000	3.052
374	3.73000	2.916
375	3.74000	2.472
376	3.75000	2.002
377	3.76000	1.394
378	3.77000	0.577
379	3.78000	-0.163
380	3.79000	-0.795
381	3.80000	-1.105
382	3.81000	-1.150
383	3.82000	-1.093
384	3.83000	-0.988
385	3.84000	-0.799
386	3.85000	-0.517
387	3.86000	-0.308
388	3.87000	-0.056
389	3.88000	-0.074
390	3.89000	-0.336
391	3.90000	-0.615
392	3.91000	-1.105
393	3.92000	-1.574
394	3.93000	-1.770
395	3.94000	-1.493
396	3.95000	-0.588
397	3.96000	1.010
398	3.97000	3.199
399	3.98000	5.269
400	3.99000	7.201
401	4.00000	9.244
402	4.01000	11.193
403	4.02000	13.010
404	4.03000	14.254
405	4.04000	14.592
406	4.05000	14.097
407	4.06000	13.341
408	4.07000	12.511
409	4.08000	11.488
