NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:22:08
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-324.160
3	0.02000	-163.998
4	0.03000	-36.221
5	0.04000	59.169
6	0.05000	122.173
7	0.06000	152.791
8	0.07000	202.842
9	0.08000	-252.615
10	0.09000	38.091
11	0.10000	19.429
12	0.11000	7.644
13	0.12000	9.714
14	0.13000	2.200
15	0.14000	-3.523
16	0.15000	-6.502
17	0.16000	19.093
18	0.17000	-17.215
19	0.18000	-4.527
20	0.19000	15.657
21	0.20000	9.010
22	0.21000	-10.031
23	0.22000	-11.295
24	0.23000	-11.163
25	0.24000	-21.067
26	0.25000	-25.126
27	0.26000	10.023
28	0.27000	-9.466
29	0.28000	5.686
30	0.29000	28.036
31	0.30000	-11.719
32	0.31000	14.773
33	0.32000	-16.093
34	0.33000	8.537
35	0.34000	3.026
36	0.35000	5.083
37	0.36000	11.539
38	0.37000	6.024
39	0.38000	27.767
40	0.39000	-1.108
41	0.40000	-21.379
42	0.41000	-0.903
43	0.42000	-21.863
44	0.43000	6.786
45	0.44000	11.359
46	0.45000	7.480
47	0.46000	0.975
48	0.47000	-3.877
49	0.48000	25.519
50	0.49000	-19.668
51	0.50000	-2.725
52	0.51000	-18.170
53	0.52000	-22.194
54	0.53000	2.730
55	0.54000	6.882
56	0.55000	-19.093
57	0.56000	-6.732
58	0.57000	-17.374
59	0.58000	-0.486
60	0.59000	1.458
61	0.60000	13.075
62	0.61000	-3.090
63	0.62000	-3.122
64	0.63000	17.645
65	0.64000	9.762
66	0.65000	-3.586
67	0.66000	-4.240
68	0.67000	-9.136
69	0.68000	-17.612
70	0.69000	6.544
71	0.70000	2.293
72	0.71000	3.718
73	0.72000	0.714
74	0.73000	1.570
75	0.74000	20.641
76	0.75000	15.430
77	0.76000	15.215
78	0.77000	5.090
79	0.78000	-10.833
80	0.79000	6.216
81	0.80000	-16.653
82	0.81000	-0.556
