NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:45
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LR_Angular_Velocity

Frame	Time	LR_Angular_Velocity	
269	2.68000	-40.686
270	2.69000	-34.885
271	2.70000	-20.803
272	2.71000	-3.810
273	2.72000	12.089
274	2.73000	24.337
275	2.74000	30.973
276	2.75000	30.476
277	2.76000	23.554
278	2.77000	15.581
279	2.78000	11.587
280	2.79000	10.503
281	2.80000	7.338
282	2.81000	0.601
283	2.82000	-7.470
284	2.83000	-15.613
285	2.84000	-23.791
286	2.85000	-31.427
287	2.86000	-37.087
288	2.87000	-39.429
289	2.88000	-37.467
290	2.89000	-32.257
291	2.90000	-26.162
292	2.91000	-19.679
293	2.92000	-13.335
294	2.93000	-8.012
295	2.94000	-4.047
296	2.95000	-1.708
297	2.96000	-0.833
298	2.97000	-1.094
299	2.98000	-1.541
300	2.99000	-2.094
301	3.00000	-2.566
302	3.01000	-2.746
303	3.02000	-2.696
304	3.03000	-2.333
305	3.04000	-1.977
306	3.05000	-2.157
307	3.06000	-3.307
308	3.07000	-5.474
309	3.08000	-8.128
310	3.09000	-10.706
311	3.10000	-12.402
312	3.11000	-12.589
313	3.12000	-11.211
314	3.13000	-8.693
315	3.14000	-5.585
316	3.15000	-2.208
317	3.16000	0.737
318	3.17000	2.501
319	3.18000	2.925
320	3.19000	2.392
321	3.20000	1.494
322	3.21000	0.814
323	3.22000	0.201
324	3.23000	-0.452
325	3.24000	-0.897
326	3.25000	-0.806
327	3.26000	0.203
328	3.27000	2.333
329	3.28000	5.436
330	3.29000	8.394
331	3.30000	9.962
332	3.31000	9.603
333	3.32000	7.289
334	3.33000	3.714
335	3.34000	-0.378
336	3.35000	-4.185
337	3.36000	-6.675
338	3.37000	-7.186
339	3.38000	-5.800
340	3.39000	-3.458
341	3.40000	-1.016
342	3.41000	1.182
343	3.42000	2.715
344	3.43000	3.007
345	3.44000	1.800
346	3.45000	-0.257
347	3.46000	-2.458
348	3.47000	-4.866
349	3.48000	-7.235
350	3.49000	-9.175
351	3.50000	-10.672
352	3.51000	-11.196
353	3.52000	-10.777
354	3.53000	-9.513
355	3.54000	-6.482
356	3.55000	-1.590
357	3.56000	3.558
358	3.57000	6.706
359	3.58000	6.560
360	3.59000	3.119
361	3.60000	-2.494
362	3.61000	-8.943
363	3.62000	-14.982
364	3.63000	-19.259
365	3.64000	-20.913
366	3.65000	-19.907
367	3.66000	-16.712
368	3.67000	-11.604
369	3.68000	-5.178
370	3.69000	1.315
371	3.70000	6.520
372	3.71000	9.164
373	3.72000	9.027
374	3.73000	6.540
375	3.74000	2.059
376	3.75000	-3.031
377	3.76000	-6.725
378	3.77000	-7.936
379	3.78000	-6.889
380	3.79000	-4.502
381	3.80000	-1.390
382	3.81000	2.378
383	3.82000	6.725
384	3.83000	11.418
385	3.84000	15.427
386	3.85000	18.003
387	3.86000	18.726
388	3.87000	17.279
389	3.88000	14.057
390	3.89000	10.743
391	3.90000	7.982
392	3.91000	5.676
393	3.92000	5.146
394	3.93000	7.390
395	3.94000	12.176
396	3.95000	18.226
397	3.96000	24.019
398	3.97000	28.445
399	3.98000	30.160
400	3.99000	28.494
401	4.00000	23.446
402	4.01000	16.183
403	4.02000	9.370
404	4.03000	4.470
405	4.04000	1.842
406	4.05000	1.209
407	4.06000	1.994
408	4.07000	3.239
409	4.08000	3.316
410	4.09000	1.361
411	4.10000	-1.244
412	4.11000	-3.454
413	4.12000	-5.101
414	4.13000	-6.012
415	4.14000	-5.432
416	4.15000	-2.800
417	4.16000	1.179
418	4.17000	5.099
419	4.18000	7.497
420	4.19000	7.838
421	4.20000	6.523
422	4.21000	3.867
423	4.22000	-0.176
424	4.23000	-4.147
425	4.24000	-6.096
426	4.25000	-5.370
427	4.26000	-2.490
428	4.27000	1.395
429	4.28000	5.410
430	4.29000	8.802
431	4.30000	10.695
432	4.31000	10.513
433	4.32000	8.407
434	4.33000	5.277
435	4.34000	1.725
436	4.35000	-1.572
437	4.36000	-3.992
438	4.37000	-5.094
439	4.38000	-4.674
440	4.39000	-3.618
441	4.40000	-3.192
442	4.41000	-3.684
443	4.42000	-4.706
444	4.43000	-6.300
445	4.44000	-7.903
446	4.45000	-8.736
447	4.46000	-8.790
448	4.47000	-8.689
449	4.48000	-9.076
450	4.49000	-9.975
451	4.50000	-11.228
452	4.51000	-12.251
453	4.52000	-12.653
454	4.53000	-12.286
455	4.54000	-10.918
456	4.55000	-9.031
457	4.56000	-7.553
458	4.57000	-7.285
459	4.58000	-7.907
460	4.59000	-8.325
461	4.60000	-8.223
462	4.61000	-7.800
463	4.62000	-7.260
464	4.63000	-6.475
465	4.64000	-5.251
466	4.65000	-3.802
467	4.66000	-2.240
468	4.67000	-0.634
469	4.68000	0.657
470	4.69000	1.407
471	4.70000	1.740
472	4.71000	1.554
473	4.72000	0.942
474	4.73000	0.142
475	4.74000	-0.983
476	4.75000	-2.019
477	4.76000	-1.845
478	4.77000	-0.097
479	4.78000	2.412
480	4.79000	4.810
481	4.80000	6.209
482	4.81000	5.830
483	4.82000	3.705
484	4.83000	0.225
485	4.84000	-3.425
486	4.85000	-5.824
487	4.86000	-6.202
488	4.87000	-5.073
489	4.88000	-3.397
490	4.89000	-1.372
491	4.90000	0.389
492	4.91000	1.602
493	4.92000	2.088
