NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
267	2.66000	-14.720
268	2.67000	-11.874
269	2.68000	-8.964
270	2.69000	-7.861
271	2.70000	-5.669
272	2.71000	-1.244
273	2.72000	2.737
274	2.73000	6.960
275	2.74000	9.875
276	2.75000	10.919
277	2.76000	11.206
278	2.77000	11.164
279	2.78000	10.609
280	2.79000	9.131
281	2.80000	7.182
282	2.81000	6.547
283	2.82000	7.904
284	2.83000	9.855
285	2.84000	10.889
286	2.85000	10.758
287	2.86000	9.836
288	2.87000	8.770
289	2.88000	7.641
290	2.89000	6.185
291	2.90000	5.163
292	2.91000	5.278
293	2.92000	6.182
294	2.93000	7.048
295	2.94000	7.547
296	2.95000	7.934
297	2.96000	8.234
298	2.97000	8.169
299	2.98000	7.756
300	2.99000	7.212
301	3.00000	6.792
302	3.01000	6.652
303	3.02000	6.915
304	3.03000	7.255
305	3.04000	7.557
306	3.05000	8.103
307	3.06000	8.764
308	3.07000	9.243
309	3.08000	8.993
310	3.09000	8.034
311	3.10000	7.053
312	3.11000	6.352
313	3.12000	6.348
314	3.13000	8.485
315	3.14000	14.955
316	3.15000	25.385
317	3.16000	35.634
318	3.17000	41.938
319	3.18000	43.375
320	3.19000	40.613
321	3.20000	34.720
322	3.21000	27.727
323	3.22000	23.378
324	3.23000	28.184
325	3.24000	47.179
326	3.25000	71.886
327	3.26000	88.907
328	3.27000	93.563
329	3.28000	86.233
330	3.29000	68.993
331	3.30000	45.324
332	3.31000	20.396
333	3.32000	-0.490
334	3.33000	-11.214
335	3.34000	-9.333
336	3.35000	-1.671
337	3.36000	6.185
338	3.37000	12.712
339	3.38000	16.304
340	3.39000	17.585
341	3.40000	16.907
342	3.41000	14.172
343	3.42000	9.679
344	3.43000	4.752
345	3.44000	1.063
346	3.45000	-0.204
347	3.46000	0.730
348	3.47000	2.166
349	3.48000	3.426
350	3.49000	4.667
351	3.50000	5.427
352	3.51000	5.630
353	3.52000	5.427
354	3.53000	5.024
355	3.54000	4.748
356	3.55000	4.331
357	3.56000	4.030
358	3.57000	4.003
359	3.58000	4.104
360	3.59000	4.441
361	3.60000	4.722
362	3.61000	4.979
363	3.62000	5.119
364	3.63000	5.083
365	3.64000	4.941
366	3.65000	4.545
367	3.66000	4.280
368	3.67000	3.907
369	3.68000	3.495
370	3.69000	3.283
371	3.70000	2.982
372	3.71000	2.732
373	3.72000	2.481
374	3.73000	2.152
375	3.74000	1.886
376	3.75000	1.643
377	3.76000	1.464
378	3.77000	1.267
379	3.78000	0.982
380	3.79000	0.700
381	3.80000	0.604
382	3.81000	0.434
383	3.82000	0.092
384	3.83000	-0.177
385	3.84000	-0.660
386	3.85000	-1.556
387	3.86000	-2.430
388	3.87000	-3.489
389	3.88000	-5.439
390	3.89000	-8.332
391	3.90000	-11.864
392	3.91000	-16.696
393	3.92000	-22.765
394	3.93000	-28.817
395	3.94000	-34.068
396	3.95000	-37.650
397	3.96000	-38.595
398	3.97000	-37.699
399	3.98000	-37.226
400	3.99000	-37.706
401	4.00000	-38.350
402	4.01000	-39.126
403	4.02000	-39.686
404	4.03000	-39.338
405	4.04000	-38.252
406	4.05000	-36.616
407	4.06000	-34.584
408	4.07000	-33.267
409	4.08000	-33.954
410	4.09000	-36.015
411	4.10000	-38.227
412	4.11000	-39.347
413	4.12000	-38.788
414	4.13000	-37.445
415	4.14000	-35.970
416	4.15000	-34.260
417	4.16000	-32.407
418	4.17000	-30.478
419	4.18000	-28.487
420	4.19000	-27.224
421	4.20000	-26.808
422	4.21000	-26.203
423	4.22000	-25.108
424	4.23000	-24.473
425	4.24000	-24.196
426	4.25000	-23.324
427	4.26000	-21.465
428	4.27000	-18.617
429	4.28000	-15.596
430	4.29000	-13.339
431	4.30000	-11.880
432	4.31000	-10.795
433	4.32000	-9.681
434	4.33000	-9.030
435	4.34000	-9.009
436	4.35000	-8.909
437	4.36000	-7.905
438	4.37000	-7.118
439	4.38000	-6.894
440	4.39000	-6.132
441	4.40000	-5.378
442	4.41000	-4.633
443	4.42000	-3.738
444	4.43000	-3.054
445	4.44000	-2.697
446	4.45000	-1.468
447	4.46000	2.177
448	4.47000	6.772
449	4.48000	12.218
450	4.49000	18.592
451	4.50000	23.394
452	4.51000	26.551
453	4.52000	28.946
