NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:18
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
281	2.80000	136.803
282	2.81000	136.578
283	2.82000	136.351
284	2.83000	136.118
285	2.84000	135.875
286	2.85000	135.618
287	2.86000	135.342
288	2.87000	135.040
289	2.88000	134.714
290	2.89000	134.363
291	2.90000	133.994
292	2.91000	133.619
293	2.92000	133.249
294	2.93000	132.881
295	2.94000	132.503
296	2.95000	132.101
297	2.96000	131.669
298	2.97000	131.202
299	2.98000	130.721
300	2.99000	130.234
301	3.00000	129.745
302	3.01000	129.251
303	3.02000	128.740
304	3.03000	128.199
305	3.04000	127.612
306	3.05000	126.964
307	3.06000	126.272
308	3.07000	125.545
309	3.08000	124.810
310	3.09000	124.076
311	3.10000	123.345
312	3.11000	122.611
313	3.12000	121.864
314	3.13000	121.088
315	3.14000	120.278
316	3.15000	119.421
317	3.16000	118.532
318	3.17000	117.616
319	3.18000	116.684
320	3.19000	115.751
321	3.20000	114.818
322	3.21000	113.893
323	3.22000	112.975
324	3.23000	112.061
325	3.24000	111.155
326	3.25000	110.253
327	3.26000	109.367
328	3.27000	108.499
329	3.28000	107.652
330	3.29000	106.827
331	3.30000	106.017
332	3.31000	105.221
333	3.32000	104.435
334	3.33000	103.661
335	3.34000	102.902
336	3.35000	102.160
337	3.36000	101.440
338	3.37000	100.742
339	3.38000	100.066
340	3.39000	99.409
341	3.40000	98.770
342	3.41000	98.145
343	3.42000	97.528
344	3.43000	96.921
345	3.44000	96.323
346	3.45000	95.734
347	3.46000	95.155
348	3.47000	94.587
349	3.48000	94.036
350	3.49000	93.501
351	3.50000	92.986
352	3.51000	92.489
353	3.52000	92.009
354	3.53000	91.548
355	3.54000	91.115
356	3.55000	90.693
357	3.56000	90.278
358	3.57000	89.872
359	3.58000	89.479
360	3.59000	89.102
361	3.60000	88.740
362	3.61000	88.398
363	3.62000	88.078
364	3.63000	87.785
365	3.64000	87.523
366	3.65000	87.272
367	3.66000	87.028
368	3.67000	86.788
369	3.68000	86.552
370	3.69000	86.315
371	3.70000	86.071
372	3.71000	85.825
373	3.72000	85.573
374	3.73000	85.315
375	3.74000	85.054
376	3.75000	84.790
377	3.76000	84.522
378	3.77000	84.248
379	3.78000	83.965
380	3.79000	83.667
381	3.80000	83.351
382	3.81000	83.017
383	3.82000	82.663
384	3.83000	82.290
385	3.84000	81.907
386	3.85000	81.517
387	3.86000	81.128
388	3.87000	80.744
389	3.88000	80.367
390	3.89000	79.998
391	3.90000	79.636
392	3.91000	79.281
393	3.92000	78.934
394	3.93000	78.594
395	3.94000	78.262
396	3.95000	77.941
397	3.96000	77.629
398	3.97000	77.335
399	3.98000	77.066
400	3.99000	76.819
401	4.00000	76.598
402	4.01000	76.401
403	4.02000	76.231
404	4.03000	76.088
405	4.04000	75.973
406	4.05000	75.884
407	4.06000	75.818
408	4.07000	75.776
409	4.08000	75.757
410	4.09000	75.755
411	4.10000	75.770
412	4.11000	75.799
